,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3842000000.0,5851000000.0,6612000000.0,5371000000.0
Repurchase Of Capital Stock,-1464000000.0,-2199000000.0,-368000000.0,-1407000000.0
Repayment Of Debt,-1179000000.0,-1144000000.0,-3482000000.0,-2716000000.0
Issuance Of Debt,1000000.0,1000000.0,1750000000.0,6281000000.0
Issuance Of Capital Stock,,,,547000000.0
Capital Expenditure,-1749000000.0,-1603000000.0,-1501000000.0,-1699000000.0
Interest Paid Supplemental Data,,,524000000.0,370000000.0
Income Tax Paid Supplemental Data,,,1351000000.0,1198000000.0
End Cash Position,3655000000.0,4564000000.0,4634000000.0,2353000000.0
Beginning Cash Position,4564000000.0,4634000000.0,2353000000.0,2853000000.0
Effect Of Exchange Rate Changes,-104000000.0,-62000000.0,48000000.0,-2000000.0
Changes In Cash,-805000000.0,-8000000.0,2233000000.0,-498000000.0
Financing Cash Flow,-5350000000.0,-6145000000.0,-5300000000.0,-1124000000.0
Cash Flow From Continuing Financing Activities,-5350000000.0,-6145000000.0,-5300000000.0,-1124000000.0
Net Other Financing Charges,-60000000.0,-20000000.0,-98000000.0,-197000000.0
Proceeds From Stock Option Exercised,381000000.0,639000000.0,429000000.0,547000000.0
Cash Dividends Paid,-3369000000.0,-3420000000.0,-3388000000.0,-3316000000.0
Common Stock Dividend Paid,-3369000000.0,-3420000000.0,-3388000000.0,-3316000000.0
Net Common Stock Issuance,-1464000000.0,-2199000000.0,-368000000.0,-1407000000.0
Common Stock Payments,-1464000000.0,-2199000000.0,-368000000.0,-1407000000.0
Common Stock Issuance,,,,547000000.0
Net Issuance Payments Of Debt,-838000000.0,-1145000000.0,-1875000000.0,3249000000.0
Net Short Term Debt Issuance,340000000.0,-2000000.0,-143000000.0,-316000000.0
Net Long Term Debt Issuance,-838000000.0,-1145000000.0,-1875000000.0,3249000000.0
Long Term Debt Payments,-1179000000.0,-1144000000.0,-3482000000.0,-2716000000.0
Long Term Debt Issuance,1000000.0,1000000.0,1750000000.0,6281000000.0
Investing Cash Flow,-1046000000.0,-1317000000.0,-580000000.0,-6444000000.0
Cash Flow From Continuing Investing Activities,-1046000000.0,-1317000000.0,-580000000.0,-6444000000.0
Net Other Investing Changes,201000000.0,82000000.0,138000000.0,195000000.0
Net Investment Purchase And Sale,11000000.0,204000000.0,232000000.0,-192000000.0
Sale Of Investment,1261000000.0,2406000000.0,1811000000.0,1443000000.0
Purchase Of Investment,-1250000000.0,-2202000000.0,-1579000000.0,-1635000000.0
Net Business Purchase And Sale,491000000.0,0.0,551000000.0,-4748000000.0
Sale Of Business,491000000.0,0.0,576000000.0,236000000.0
Purchase Of Business,0.0,0.0,-25000000.0,-4984000000.0
Net PPE Purchase And Sale,-1749000000.0,-1603000000.0,-1501000000.0,-1699000000.0
Sale Of PPE,200000000.0,51000000.0,128000000.0,123000000.0
Purchase Of PPE,-1749000000.0,-1603000000.0,-1501000000.0,-1699000000.0
Operating Cash Flow,5591000000.0,7454000000.0,8113000000.0,7070000000.0
Cash Flow From Continuing Operating Activities,5591000000.0,7454000000.0,8113000000.0,7070000000.0
Change In Working Capital,-670000000.0,-751000000.0,458000000.0,803000000.0
Change In Payables And Accrued Expense,64000000.0,274000000.0,384000000.0,88000000.0
Change In Payable,64000000.0,274000000.0,384000000.0,88000000.0
Change In Account Payable,111000000.0,518000000.0,252000000.0,-117000000.0
Change In Tax Payable,-47000000.0,-244000000.0,132000000.0,205000000.0
Change In Income Tax Payable,-47000000.0,-244000000.0,132000000.0,205000000.0
Change In Inventory,-629000000.0,-903000000.0,-91000000.0,370000000.0
Change In Receivables,-105000000.0,-122000000.0,165000000.0,345000000.0
Changes In Account Receivables,-105000000.0,-122000000.0,165000000.0,345000000.0
Other Non Cash Items,696000000.0,47000000.0,242000000.0,-321000000.0
Stock Based Compensation,263000000.0,274000000.0,262000000.0,278000000.0
Asset Impairment Charge,889000000.0,,,
Deferred Tax,-663000000.0,-166000000.0,-165000000.0,-273000000.0
Deferred Income Tax,-663000000.0,-166000000.0,-165000000.0,-273000000.0
Depreciation Amortization Depletion,1831000000.0,1915000000.0,1911000000.0,1593000000.0
Depreciation And Amortization,1831000000.0,1915000000.0,1911000000.0,1593000000.0
Operating Gains Losses,-2546000000.0,206000000.0,17000000.0,408000000.0
Pension And Employee Benefit Expense,178000000.0,206000000.0,406000000.0,357000000.0
Gain Loss On Sale Of Business,-2724000000.0,0.0,-389000000.0,51000000.0
Net Income From Continuing Operations,5791000000.0,5929000000.0,5388000000.0,4582000000.0
