,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,14707000000.0,9661000000.0,5569000000.0,9967000000.0
Repurchase Of Capital Stock,0.0,-840000000.0,-1281000000.0,-4780000000.0
Repayment Of Debt,-2251000000.0,-2319000000.0,-1957000000.0,0.0
Issuance Of Debt,0.0,7936000000.0,4419000000.0,4958000000.0
Capital Expenditure,-4388000000.0,-4448000000.0,-4684000000.0,-3473000000.0
End Cash Position,12773000000.0,8167000000.0,8165000000.0,9934000000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,,
Beginning Cash Position,8167000000.0,8153000000.0,9934000000.0,7967000000.0
Effect Of Exchange Rate Changes,-410000000.0,-133000000.0,253000000.0,17000000.0
Changes In Cash,5016000000.0,147000000.0,-2022000000.0,1950000000.0
Financing Cash Flow,-9119000000.0,2593000000.0,-2832000000.0,-8861000000.0
Cash From Discontinued Financing Activities,0.0,-504000000.0,,
Cash Flow From Continuing Financing Activities,-9119000000.0,3097000000.0,-2832000000.0,-8861000000.0
Net Other Financing Charges,-240000000.0,8714000000.0,-436000000.0,5000000.0
Proceeds From Stock Option Exercised,384000000.0,202000000.0,89000000.0,361000000.0
Cash Dividends Paid,-7012000000.0,-6610000000.0,-6215000000.0,-5695000000.0
Common Stock Dividend Paid,-7012000000.0,,-6215000000.0,-5695000000.0
Net Common Stock Issuance,0.0,-840000000.0,-1281000000.0,-4780000000.0
Common Stock Payments,0.0,-840000000.0,-1281000000.0,-4780000000.0
Net Issuance Payments Of Debt,-2251000000.0,1631000000.0,5011000000.0,1248000000.0
Net Short Term Debt Issuance,0.0,-3986000000.0,2549000000.0,-3710000000.0
Net Long Term Debt Issuance,-2251000000.0,5617000000.0,2462000000.0,4958000000.0
Long Term Debt Payments,-2251000000.0,-2319000000.0,-1957000000.0,0.0
Long Term Debt Issuance,0.0,7936000000.0,4419000000.0,4958000000.0
Investing Cash Flow,-4960000000.0,-16555000000.0,-9443000000.0,-2629000000.0
Cash From Discontinued Investing Activities,0.0,-134000000.0,,
Cash Flow From Continuing Investing Activities,-4960000000.0,-16421000000.0,-9443000000.0,-2629000000.0
Net Other Investing Changes,32000000.0,-91000000.0,130000000.0,378000000.0
Net Investment Purchase And Sale,-483000000.0,1025000000.0,1717000000.0,5420000000.0
Sale Of Investment,721000000.0,1026000000.0,2812000000.0,8622000000.0
Purchase Of Investment,-1204000000.0,-1000000.0,-1095000000.0,-3202000000.0
Net Business Purchase And Sale,-121000000.0,-12907000000.0,-6606000000.0,-4954000000.0
Purchase Of Business,-121000000.0,-12907000000.0,-6606000000.0,-4954000000.0
Capital Expenditure Reported,-4388000000.0,-4448000000.0,-4684000000.0,-3473000000.0
Operating Cash Flow,19095000000.0,14109000000.0,10253000000.0,13440000000.0
Cash From Discontinued Operating Activities,0.0,987000000.0,,
Cash Flow From Continuing Operating Activities,19095000000.0,13122000000.0,10253000000.0,13440000000.0
Change In Working Capital,-2782000000.0,-3839000000.0,-4590000000.0,-2067000000.0
Change In Other Working Capital,-1473000000.0,-1758000000.0,-2426000000.0,-32000000.0
Change In Other Current Liabilities,-545000000.0,484000000.0,-453000000.0,-237000000.0
Change In Payables And Accrued Expense,41000000.0,142000000.0,146000000.0,-1584000000.0
Change In Accrued Expense,-50000000.0,277000000.0,-1138000000.0,376000000.0
Change In Payable,91000000.0,-135000000.0,1284000000.0,-1960000000.0
Change In Account Payable,-289000000.0,405000000.0,724000000.0,399000000.0
Change In Tax Payable,380000000.0,-540000000.0,560000000.0,-2359000000.0
Change In Income Tax Payable,380000000.0,-540000000.0,560000000.0,-2359000000.0
Change In Inventory,-161000000.0,-674000000.0,-855000000.0,-508000000.0
Change In Receivables,-644000000.0,-2033000000.0,-1002000000.0,294000000.0
Changes In Account Receivables,-644000000.0,-2033000000.0,-1002000000.0,294000000.0
Other Non Cash Items,1301000000.0,2361000000.0,2611000000.0,1177000000.0
Stock Based Compensation,541000000.0,479000000.0,475000000.0,417000000.0
Provisionand Write Offof Assets,,,,0.0
Asset Impairment Charge,1749000000.0,302000000.0,1718000000.0,1040000000.0
Deferred Tax,-1568000000.0,187000000.0,-668000000.0,-556000000.0
Deferred Income Tax,-1568000000.0,187000000.0,-668000000.0,-556000000.0
Depreciation Amortization Depletion,3909000000.0,3214000000.0,3625000000.0,3652000000.0
Depreciation And Amortization,3909000000.0,3214000000.0,3625000000.0,3652000000.0
Amortization Cash Flow,2085000000.0,1636000000.0,1899000000.0,
Amortization Of Intangibles,2085000000.0,1636000000.0,1899000000.0,
Depreciation,1824000000.0,1578000000.0,1726000000.0,
Operating Gains Losses,1419000000.0,-1940000000.0,,
Gain Loss On Investment Securities,1419000000.0,-1940000000.0,,
Net Income From Continuing Operations,14526000000.0,12358000000.0,7082000000.0,9777000000.0
