,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.197,0.178,0.185,0.172
Normalized EBITDA,21823000000.0,21241000000.0,20852000000.0,19312000000.0
Total Unusual Items,,,0.0,0.0
Total Unusual Items Excluding Goodwill,,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,14653000000.0,14742000000.0,14306000000.0,13027000000.0
Reconciled Depreciation,2714000000.0,2807000000.0,2735000000.0,3013000000.0
Reconciled Cost Of Revenue,42760000000.0,42157000000.0,37108000000.0,35250000000.0
EBITDA,21823000000.0,21241000000.0,20852000000.0,19312000000.0
EBIT,19109000000.0,18434000000.0,18117000000.0,16299000000.0
Net Interest Income,-449000000.0,-388000000.0,-457000000.0,-310000000.0
Interest Expense,756000000.0,439000000.0,502000000.0,465000000.0
Interest Income,307000000.0,51000000.0,45000000.0,155000000.0
Normalized Income,14653000000.0,14742000000.0,14306000000.0,13027000000.0
Net Income From Continuing And Discontinued Operation,14653000000.0,14742000000.0,14306000000.0,13027000000.0
Total Expenses,63872000000.0,62374000000.0,58132000000.0,55244000000.0
Total Operating Income As Reported,18134000000.0,17813000000.0,17986000000.0,15706000000.0
Diluted Average Shares,2483900000.0,2539100000.0,2601000000.0,2625800000.0
Basic Average Shares,2414003295.0,2457000000.0,2514235501.0,2539376218.0
Diluted EPS,5.9,5.81,5.5,4.96
Basic EPS,6.07,6.0,5.69,5.13
Diluted NI Availto Com Stockholders,14653000000.0,14742000000.0,14306000000.0,13027000000.0
Average Dilution Earnings,282000000.0,281000000.0,271000000.0,263000000.0
Net Income Common Stockholders,14653000000.0,14742000000.0,14306000000.0,13027000000.0
Preferred Stock Dividends,282000000.0,281000000.0,271000000.0,263000000.0
Net Income,14653000000.0,14742000000.0,14306000000.0,13027000000.0
Minority Interests,-85000000.0,-51000000.0,-46000000.0,-76000000.0
Net Income Including Noncontrolling Interests,14738000000.0,14793000000.0,14352000000.0,13103000000.0
Net Income Continuous Operations,14738000000.0,14793000000.0,14352000000.0,13103000000.0
Tax Provision,3615000000.0,3202000000.0,3263000000.0,2731000000.0
Pretax Income,18353000000.0,17995000000.0,17615000000.0,15834000000.0
Other Income Expense,668000000.0,570000000.0,86000000.0,438000000.0
Other Non Operating Income Expenses,668000000.0,570000000.0,86000000.0,438000000.0
Special Income Charges,,,0.0,0.0
Impairment Of Capital Assets,,,0.0,0.0
Net Non Operating Interest Income Expense,-449000000.0,-388000000.0,-457000000.0,-310000000.0
Interest Expense Non Operating,756000000.0,439000000.0,502000000.0,465000000.0
Interest Income Non Operating,307000000.0,51000000.0,45000000.0,155000000.0
Operating Income,18134000000.0,17813000000.0,17986000000.0,15706000000.0
Operating Expense,21112000000.0,20217000000.0,21024000000.0,19994000000.0
Selling General And Administration,21112000000.0,20217000000.0,21024000000.0,19994000000.0
Gross Profit,39246000000.0,38030000000.0,39010000000.0,35700000000.0
Cost Of Revenue,42760000000.0,42157000000.0,37108000000.0,35250000000.0
Total Revenue,82006000000.0,80187000000.0,76118000000.0,70950000000.0
Operating Revenue,82006000000.0,80187000000.0,76118000000.0,70950000000.0
