,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,7274000000.0,7274000000.0,6519000000.0,5205000000.0
Repurchase Of Capital Stock,-2200000000.0,-2200000000.0,-672000000.0,-1548000000.0
Repayment Of Debt,0.0,0.0,-500000000.0,-500000000.0
Issuance Of Debt,739000000.0,739000000.0,490000000.0,492000000.0
Interest Paid Supplemental Data,337000000.0,337000000.0,339000000.0,338000000.0
Income Tax Paid Supplemental Data,707000000.0,707000000.0,578000000.0,428000000.0
End Cash Position,761000000.0,761000000.0,721000000.0,494000000.0
Beginning Cash Position,721000000.0,721000000.0,494000000.0,373000000.0
Effect Of Exchange Rate Changes,-1000000.0,-1000000.0,16000000.0,5000000.0
Changes In Cash,41000000.0,41000000.0,211000000.0,116000000.0
Financing Cash Flow,-2037000000.0,-2037000000.0,-1416000000.0,-2187000000.0
Cash Flow From Continuing Financing Activities,-2037000000.0,-2037000000.0,-1416000000.0,-2187000000.0
Proceeds From Stock Option Exercised,293000000.0,293000000.0,127000000.0,213000000.0
Cash Dividends Paid,-869000000.0,-869000000.0,-861000000.0,-844000000.0
Common Stock Dividend Paid,-875000000.0,,-861000000.0,-844000000.0
Net Common Stock Issuance,-2200000000.0,-2200000000.0,-672000000.0,-1548000000.0
Common Stock Payments,-2200000000.0,-2200000000.0,-672000000.0,-1548000000.0
Net Issuance Payments Of Debt,739000000.0,739000000.0,-10000000.0,-8000000.0
Net Long Term Debt Issuance,739000000.0,739000000.0,-10000000.0,-8000000.0
Long Term Debt Payments,0.0,0.0,-500000000.0,-500000000.0
Long Term Debt Issuance,739000000.0,739000000.0,490000000.0,492000000.0
Investing Cash Flow,-5196000000.0,-5196000000.0,-4892000000.0,-2902000000.0
Cash Flow From Continuing Investing Activities,-5196000000.0,-5196000000.0,-4892000000.0,-2902000000.0
Net Other Investing Changes,-279000000.0,-279000000.0,-330000000.0,-325000000.0
Net Investment Purchase And Sale,-4882000000.0,-4882000000.0,-4449000000.0,-2470000000.0
Sale Of Investment,14217000000.0,14217000000.0,10836000000.0,9631000000.0
Purchase Of Investment,-19099000000.0,-19099000000.0,-15285000000.0,-12101000000.0
Net Investment Properties Purchase And Sale,3000000.0,3000000.0,-113000000.0,-107000000.0
Sale Of Investment Properties,31000000.0,31000000.0,0.0,0.0
Purchase Of Investment Properties,-28000000.0,-28000000.0,-113000000.0,-107000000.0
Net Business Purchase And Sale,-38000000.0,-38000000.0,,0.0
Purchase Of Business,-38000000.0,-38000000.0,,0.0
Operating Cash Flow,7274000000.0,7274000000.0,6519000000.0,5205000000.0
Cash Flow From Continuing Operating Activities,7274000000.0,7274000000.0,6519000000.0,5205000000.0
Change In Working Capital,-1199000000.0,-1199000000.0,-1579000000.0,-2384000000.0
Change In Other Working Capital,750000000.0,750000000.0,129000000.0,535000000.0
Change In Receivables,-359000000.0,-359000000.0,-68000000.0,-227000000.0
Changes In Account Receivables,-359000000.0,-359000000.0,-68000000.0,-227000000.0
Other Non Cash Items,45000000.0,,129000000.0,535000000.0
Asset Impairment Charge,12000000.0,,,
Amortization Of Securities,5043000000.0,5043000000.0,4773000000.0,4601000000.0
Deferred Tax,62000000.0,62000000.0,-29000000.0,-33000000.0
Deferred Income Tax,62000000.0,62000000.0,-29000000.0,-33000000.0
Depreciation And Amortization,870000000.0,870000000.0,789000000.0,763000000.0
Operating Gains Losses,-1164000000.0,-1164000000.0,-132000000.0,-364000000.0
Earnings Losses From Equity Investments,-993000000.0,-993000000.0,-130000000.0,-251000000.0
Gain Loss On Investment Securities,-171000000.0,-171000000.0,-2000000.0,-113000000.0
Net Income From Continuing Operations,3662000000.0,3662000000.0,2697000000.0,2622000000.0
