,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.152654,0.178555,0.166821,0.164436
Total Unusual Items,-12000000.0,,,
Total Unusual Items Excluding Goodwill,-12000000.0,,,
Net Income From Continuing Operation Net Minority Interest,2842000000.0,3662000000.0,2697000000.0,2622000000.0
Reconciled Depreciation,870000000.0,870000000.0,789000000.0,763000000.0
EBIT,3705000000.0,4798000000.0,3576000000.0,3482000000.0
Net Interest Income,-351000000.0,-340000000.0,-339000000.0,-344000000.0
Interest Expense,351000000.0,340000000.0,339000000.0,344000000.0
Normalized Income,2842000000.0,3662000000.0,2697000000.0,2622000000.0
Net Income From Continuing And Discontinued Operation,2842000000.0,3662000000.0,2697000000.0,2622000000.0
Total Expenses,33530000000.0,30358000000.0,28744000000.0,28443000000.0
Diluted Average Shares,239700000.0,250800000.0,254600000.0,262300000.0
Basic Average Shares,237000000.0,248500000.0,253500000.0,260000000.0
Diluted EPS,11.77,14.49,10.52,9.92
Basic EPS,11.91,14.63,10.56,10.01
Diluted NI Availto Com Stockholders,2822000000.0,3635000000.0,2678000000.0,2603000000.0
Net Income Common Stockholders,2822000000.0,3635000000.0,2678000000.0,2603000000.0
Otherunder Preferred Stock Dividend,20000000.0,27000000.0,19000000.0,19000000.0
Net Income,2842000000.0,3662000000.0,2697000000.0,2622000000.0
Net Income Including Noncontrolling Interests,2842000000.0,3662000000.0,2697000000.0,2622000000.0
Net Income Continuous Operations,2842000000.0,3662000000.0,2697000000.0,2622000000.0
Tax Provision,512000000.0,796000000.0,540000000.0,516000000.0
Pretax Income,3354000000.0,4458000000.0,3237000000.0,3138000000.0
Other Income Expense,351000000.0,355000000.0,279000000.0,269000000.0
Special Income Charges,-12000000.0,,,
Impairment Of Capital Assets,12000000.0,,,
Net Non Operating Interest Income Expense,-351000000.0,-340000000.0,-339000000.0,-344000000.0
Interest Expense Non Operating,351000000.0,340000000.0,339000000.0,344000000.0
Selling General And Administration,4810000000.0,4677000000.0,4509000000.0,4365000000.0
General And Administrative Expense,4810000000.0,4677000000.0,4509000000.0,4365000000.0
Other Gand A,4810000000.0,4677000000.0,4509000000.0,4365000000.0
Total Revenue,36884000000.0,34816000000.0,31981000000.0,31581000000.0
Operating Revenue,36884000000.0,34816000000.0,31981000000.0,31581000000.0
