,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,6775000000.0,2779000000.0,8185200000.0,6080400000.0
Repayment Of Debt,,0.0,-4050800000.0,-2709300000.0
Issuance Of Debt,,0.0,756700000.0,2823700000.0
Issuance Of Capital Stock,4000000.0,32000000.0,14600000.0,15200000.0
Capital Expenditure,-368000000.0,-568000000.0,-394900000.0,-781800000.0
End Cash Position,4744000000.0,5054000000.0,3492100000.0,4883400000.0
Other Cash Adjustment Outside Changein Cash,,195000000.0,,
Beginning Cash Position,5054000000.0,3492000000.0,4883400000.0,3137900000.0
Effect Of Exchange Rate Changes,8000000.0,14000000.0,-19600000.0,3900000.0
Changes In Cash,-318000000.0,1353000000.0,-1371700000.0,1741600000.0
Financing Cash Flow,-2186000000.0,-1826000000.0,-4669100000.0,-1967900000.0
Interest Paid Cff,-36000000.0,-6000000.0,-36800000.0,-118400000.0
Cash Dividends Paid,-1132000000.0,-881000000.0,-270600000.0,-1197400000.0
Common Stock Dividend Paid,,,-270600000.0,-1197400000.0
Net Common Stock Issuance,4000000.0,32000000.0,14600000.0,15200000.0
Common Stock Issuance,4000000.0,32000000.0,14600000.0,15200000.0
Net Issuance Payments Of Debt,,0.0,-3294100000.0,114400000.0
Net Short Term Debt Issuance,,0.0,-2235100000.0,531700000.0
Short Term Debt Payments,,0.0,-2991800000.0,-2292000000.0
Short Term Debt Issuance,,,756700000.0,2823700000.0
Net Long Term Debt Issuance,,0.0,-1059000000.0,-417300000.0
Long Term Debt Payments,,0.0,-1059000000.0,-417300000.0
Long Term Debt Issuance,,0.0,0.0,0.0
Investing Cash Flow,-5275000000.0,-168000000.0,-5282700000.0,-3152700000.0
Net Other Investing Changes,-420000000.0,-143000000.0,,
Interest Received Cfi,296000000.0,201000000.0,76400000.0,52200000.0
Net Investment Purchase And Sale,-4817000000.0,2105000000.0,-5400300000.0,-1827000000.0
Sale Of Investment,22846000000.0,21372000000.0,15701400000.0,10581400000.0
Purchase Of Investment,-27663000000.0,-19267000000.0,-21101700000.0,-12408400000.0
Net Business Purchase And Sale,0.0,-1906000000.0,434300000.0,-597000000.0
Sale Of Business,,0.0,505000000.0,0.0
Purchase Of Business,0.0,-1906000000.0,-70700000.0,-597000000.0
Net PPE Purchase And Sale,-334000000.0,-568000000.0,-393100000.0,-780900000.0
Sale Of PPE,34000000.0,0.0,1800000.0,900000.0
Purchase Of PPE,-368000000.0,-568000000.0,-394900000.0,-781800000.0
Capital Expenditure Reported,,,,-781800000.0
Operating Cash Flow,7143000000.0,3347000000.0,8580100000.0,6862200000.0
Taxes Refund Paid,-925000000.0,-1517000000.0,-1400100000.0,-1146700000.0
Change In Working Capital,2113000000.0,-2427000000.0,3148400000.0,2354000000.0
Change In Other Current Liabilities,,,,-766100000.0
Change In Other Current Assets,388000000.0,92000000.0,746000000.0,876100000.0
Change In Payable,735000000.0,94000000.0,769000000.0,-326200000.0
Change In Inventory,,0.0,0.0,43400000.0
Change In Receivables,903000000.0,-2597000000.0,1620700000.0,2400900000.0
Other Non Cash Items,-147000000.0,99000000.0,286200000.0,465500000.0
Stock Based Compensation,143000000.0,160000000.0,-184800000.0,64500000.0
Provisionand Write Offof Assets,51000000.0,-581000000.0,-594500000.0,-433000000.0
Depreciation And Amortization,1830000000.0,1848000000.0,1747100000.0,1591800000.0
Amortization Cash Flow,805000000.0,837000000.0,,
Depreciation,1830000000.0,1011000000.0,1747100000.0,1591800000.0
Gain Loss On Investment Securities,-134000000.0,-73000000.0,-103900000.0,-72600000.0
Net Foreign Currency Exchange Gain Loss,-218000000.0,22000000.0,234600000.0,-154400000.0
Gain Loss On Sale Of PPE,-21000000.0,1000000.0,2700000.0,-500000.0
Gain Loss On Sale Of Business,,0.0,0.0,0.0
Net Income From Continuing Operations,4441000000.0,5741000000.0,4820400000.0,3757900000.0
