,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1140001121.0,1099810083.0,1099810083.0,1099810083.0
Share Issued,1140001121.0,1099810083.0,1099810083.0,1099810083.0
Net Debt,364372900000.0,401115400000.0,153350500000.0,102946100000.0
Total Debt,532004600000.0,416040300000.0,161768400000.0,128702500000.0
Tangible Book Value,197018600000.0,96480900000.0,125193300000.0,134536700000.0
Invested Capital,713706300000.0,632802800000.0,331597700000.0,293658700000.0
Working Capital,-77813200000.0,-129043900000.0,-15197800000.0,8940400000.0
Net Tangible Assets,197018600000.0,96480900000.0,125193300000.0,134536700000.0
Capital Lease Obligations,148808400000.0,5802600000.0,1756400000.0,4509500000.0
Common Stock Equity,330510100000.0,222565100000.0,171585700000.0,169465700000.0
Total Capitalization,656410400000.0,430599400000.0,266818700000.0,204623800000.0
Total Equity Gross Minority Interest,378900500000.0,269283700000.0,189100100000.0,182099400000.0
Minority Interest,48390400000.0,46718600000.0,17514400000.0,12633700000.0
Stockholders Equity,330510100000.0,222565100000.0,171585700000.0,169465700000.0
Other Equity Interest,329370100000.0,18171200000.0,0.0,0.0
Retained Earnings,155857300000.0,132224500000.0,126790700000.0,117838000000.0
Additional Paid In Capital,109869400000.0,32909600000.0,10181600000.0,9826400000.0
Capital Stock,1140000000.0,1099800000.0,1099800000.0,1099800000.0
Common Stock,1140000000.0,1099800000.0,1099800000.0,1099800000.0
Total Liabilities Net Minority Interest,1035977700000.0,748318200000.0,327328500000.0,286884200000.0
Total Non Current Liabilities Net Minority Interest,587947200000.0,309820400000.0,112497600000.0,53995400000.0
Other Non Current Liabilities,47627400000.0,7830400000.0,7686900000.0,6358400000.0
Derivative Product Liabilities,856800000.0,0.0,0.0,0.0
Tradeand Other Payables Non Current,3235000000.0,9772400000.0,829400000.0,743500000.0
Non Current Deferred Revenue,53514800000.0,38420500000.0,2697200000.0,5777900000.0
Non Current Deferred Taxes Liabilities,29799100000.0,26062700000.0,261400000.0,233000000.0
Long Term Debt And Capital Lease Obligation,461745800000.0,213200500000.0,96864100000.0,39480800000.0
Long Term Capital Lease Obligation,135845500000.0,5166200000.0,1631100000.0,4322700000.0
Long Term Debt,325900300000.0,208034300000.0,95233000000.0,35158100000.0
Long Term Provisions,4014900000.0,2789700000.0,768200000.0,630000000.0
Current Liabilities,448030500000.0,438497800000.0,214830900000.0,232888800000.0
Other Current Liabilities,34369200000.0,3222500000.0,1143300000.0,1220600000.0
Current Debt And Capital Lease Obligation,70258800000.0,202839800000.0,64904300000.0,89221700000.0
Current Capital Lease Obligation,12962900000.0,636400000.0,125300000.0,186800000.0
Current Debt,57295900000.0,202203400000.0,64779000000.0,89034900000.0
Current Provisions,1210200000.0,957300000.0,647600000.0,614600000.0
Payables,286483400000.0,207235500000.0,133330600000.0,122594600000.0
Other Payable,39389300000.0,24126500000.0,14901600000.0,3657700000.0
Dividends Payable,2900000.0,3700000.0,3700000.0,4100000.0
Total Tax Payable,1014900000.0,1676600000.0,242900000.0,495200000.0
Accounts Payable,285468500000.0,181428700000.0,118182400000.0,118437600000.0
Total Assets,1414878200000.0,1017601900000.0,516428600000.0,468983600000.0
Total Non Current Assets,1044660900000.0,708148000000.0,316795500000.0,227154400000.0
Other Non Current Assets,62026600000.0,322100000.0,360800000.0,414200000.0
Non Current Prepaid Assets,75665000000.0,44915000000.0,19819800000.0,14284000000.0
Non Current Deferred Taxes Assets,2093400000.0,1738300000.0,765400000.0,2727700000.0
Investmentin Financial Assets,118357300000.0,11731200000.0,23540400000.0,2230900000.0
Held To Maturity Securities,0.0,200000.0,800000.0,300000.0
Available For Sale Securities,118357300000.0,11729000000.0,5510100000.0,2139200000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,0.0,2000000.0,18029500000.0,91400000.0
Long Term Equity Investment,59747800000.0,42289700000.0,36704000000.0,16933100000.0
Investmentsin Joint Venturesat Cost,0.0,40895000000.0,19260000000.0,16113600000.0
Investmentsin Associatesat Cost,0.0,1394700000.0,17444000000.0,819500000.0
Investment Properties,683100000.0,465500000.0,314000000.0,318600000.0
Goodwill And Other Intangible Assets,133491500000.0,126084200000.0,46392400000.0,34929000000.0
Other Intangible Assets,124619900000.0,123075000000.0,44872700000.0,33537700000.0
Goodwill,8871600000.0,3009200000.0,1519700000.0,1391300000.0
Net PPE,674888800000.0,410122300000.0,149924300000.0,142984300000.0
Accumulated Depreciation,-49180000000.0,-32546100000.0,-20696400000.0,-18714100000.0
Gross PPE,674888800000.0,442668400000.0,170620700000.0,161698400000.0
Construction In Progress,176989600000.0,195641700000.0,86862700000.0,72311400000.0
Other Properties,497899200000.0,4314800000.0,987300000.0,1003600000.0
Machinery Furniture Equipment,112960500000.0,100104600000.0,50975900000.0,57565900000.0
Buildings And Improvements,143913000000.0,121004700000.0,13892100000.0,11206500000.0
Land And Improvements,27309800000.0,13125200000.0,9863100000.0,12237100000.0
Properties,47862000000.0,8477400000.0,8039600000.0,7373900000.0
Current Assets,370217300000.0,309453900000.0,199633100000.0,241829200000.0
Other Current Assets,50036500000.0,5500000.0,15100000.0,394200000.0
Hedging Assets Current,3094400000.0,32800000.0,40900000.0,1156900000.0
Restricted Cash,1169400000.0,27265700000.0,6142400000.0,5618700000.0
Prepaid Assets,25182600000.0,16256200000.0,8135000000.0,7119500000.0
Inventory,69180500000.0,67882800000.0,17570400000.0,25623700000.0
Other Inventories,0.0,0.0,0.0,881600000.0
Finished Goods,62070800000.0,58478700000.0,12336200000.0,21402000000.0
Work In Process,4690300000.0,5010800000.0,2957700000.0,2375700000.0
Raw Materials,2419400000.0,4393300000.0,2276500000.0,1846000000.0
Other Receivables,45226300000.0,42180900000.0,32214500000.0,38131900000.0
Taxes Receivable,838300000.0,111600000.0,319100000.0,0.0
Accounts Receivable,125528800000.0,137121900000.0,119826500000.0,131465300000.0
Allowance For Doubtful Accounts Receivable,-1128500000.0,-849200000.0,-738500000.0,-1382200000.0
Gross Accounts Receivable,126657300000.0,137971100000.0,120565000000.0,132847500000.0
Cash Cash Equivalents And Short Term Investments,80245200000.0,18596500000.0,15369200000.0,32319000000.0
Other Short Term Investments,61421900000.0,9474200000.0,8707700000.0,11072100000.0
Cash And Cash Equivalents,18823300000.0,9122300000.0,6661500000.0,21246900000.0
Cash Equivalents,2754800000.0,999000000.0,1579700000.0,5328900000.0
Cash Financial,16068500000.0,8123300000.0,5081800000.0,15918000000.0
