,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,2160138945.0,2112373230.0,2031751761.0,2031751761.0
Share Issued,2160138945.0,2112373230.0,2031751761.0,2031751761.0
Net Debt,495864400000.0,370401600000.0,306369200000.0,227831200000.0
Total Debt,532621400000.0,476193800000.0,354395500000.0,305849100000.0
Tangible Book Value,271746700000.0,237604600000.0,210588000000.0,202303300000.0
Invested Capital,961020100000.0,838869300000.0,654632200000.0,554355400000.0
Working Capital,45229600000.0,66651900000.0,56146900000.0,71235600000.0
Net Tangible Assets,271746700000.0,237604600000.0,210588000000.0,203968600000.0
Capital Lease Obligations,27437100000.0,19824500000.0,6045900000.0,6063300000.0
Common Stock Equity,455835800000.0,382500000000.0,306282600000.0,254569600000.0
Preferred Stock Equity,0.0,0.0,0.0,1665300000.0
Total Capitalization,921005200000.0,778261300000.0,634579600000.0,517077300000.0
Total Equity Gross Minority Interest,469220900000.0,386427700000.0,320967300000.0,258430800000.0
Minority Interest,13385100000.0,3927700000.0,14684700000.0,2195900000.0
Stockholders Equity,455835800000.0,382500000000.0,306282600000.0,256234900000.0
Other Equity Interest,451515500000.0,1665300000.0,1665300000.0,1665300000.0
Retained Earnings,307245100000.0,269240600000.0,248756800000.0,202921700000.0
Additional Paid In Capital,104566500000.0,67922400000.0,11640900000.0,10846000000.0
Capital Stock,4320300000.0,4224700000.0,4063500000.0,4063500000.0
Common Stock,4320300000.0,4224700000.0,4063500000.0,2398200000.0
Preferred Stock,0.0,0.0,0.0,1665300000.0
Total Liabilities Net Minority Interest,679830400000.0,562349900000.0,432270500000.0,363605900000.0
Total Non Current Liabilities Net Minority Interest,550584800000.0,450985500000.0,360111000000.0,286642400000.0
Other Non Current Liabilities,11488400000.0,3112200000.0,10657900000.0,1200000.0
Liabilities Heldfor Sale Non Current,0.0,3053600000.0,1145400000.0,0.0
Preferred Securities Outside Stock Equity,1257300000.0,1153500000.0,1058300000.0,970900000.0
Derivative Product Liabilities,251200000.0,0.0,0.0,0.0
Non Current Accrued Expenses,998200000.0,829300000.0,704900000.0,579600000.0
Tradeand Other Payables Non Current,1011400000.0,811000000.0,870600000.0,1042300000.0
Non Current Deferred Revenue,12426200000.0,10458800000.0,11094900000.0,14547900000.0
Non Current Deferred Taxes Liabilities,31863700000.0,22073400000.0,12031600000.0,2869700000.0
Long Term Debt And Capital Lease Obligation,491986800000.0,415280500000.0,334020300000.0,266515200000.0
Long Term Capital Lease Obligation,26817400000.0,19519200000.0,5723300000.0,5672800000.0
Long Term Debt,465169400000.0,395761300000.0,328297000000.0,260842400000.0
Long Term Provisions,12017500000.0,320400000.0,266800000.0,82300000.0
Current Liabilities,129245600000.0,111364400000.0,72159500000.0,76963500000.0
Other Current Liabilities,18141900000.0,2064000000.0,2075000000.0,1268200000.0
Current Debt And Capital Lease Obligation,40634600000.0,60913300000.0,20375200000.0,39333900000.0
Current Capital Lease Obligation,619700000.0,305300000.0,322600000.0,390500000.0
Current Debt,40014900000.0,60608000000.0,20052600000.0,38943400000.0
Pensionand Other Post Retirement Benefit Plans Current,0.0,0.0,957300000.0,1063000000.0
Current Provisions,5480300000.0,1048300000.0,957300000.0,1063000000.0
Payables,23566600000.0,29196900000.0,31780300000.0,22493800000.0
Other Payable,13365500000.0,9530100000.0,8737800000.0,5828300000.0
Dividends Payable,24000000.0,19600000.0,18800000.0,17300000.0
Total Tax Payable,5284300000.0,939200000.0,384900000.0,214600000.0
Accounts Payable,18282300000.0,18708000000.0,22638800000.0,16433600000.0
Total Assets,1149051300000.0,948777600000.0,753237800000.0,622036700000.0
Total Non Current Assets,974576100000.0,770761300000.0,624931400000.0,473837600000.0
Other Non Current Assets,43380400000.0,250000000.0,5215000000.0,6850100000.0
Defined Pension Benefit,9556100000.0,0.0,0.0,0.0
Non Current Prepaid Assets,54734800000.0,42399400000.0,47388400000.0,47619300000.0
Non Current Deferred Assets,215600000.0,142200000.0,107100000.0,85700000.0
Non Current Deferred Taxes Assets,21999000000.0,9943800000.0,8817300000.0,12096200000.0
Financial Assets,0.0,12200000.0,0.0,806000000.0
Investmentin Financial Assets,71802200000.0,40149000000.0,5020200000.0,3907100000.0
Held To Maturity Securities,0.0,0.0,70300000.0,0.0
Available For Sale Securities,71802200000.0,26938200000.0,4949900000.0,3907100000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2670600000.0,13210800000.0,0.0,0.0
Long Term Equity Investment,24983800000.0,39901800000.0,7211200000.0,8873500000.0
Investmentsin Joint Venturesat Cost,0.0,1915900000.0,715900000.0,613400000.0
Investments In Other Ventures Under Equity Method,0.0,39901800000.0,6495300000.0,8260100000.0
Investment Properties,24733800000.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,184089100000.0,144895400000.0,95694600000.0,52266300000.0
Other Intangible Assets,114455100000.0,85716600000.0,55330300000.0,19403800000.0
Goodwill,69634000000.0,59178800000.0,40364300000.0,32862500000.0
Net PPE,587699300000.0,463072300000.0,422645900000.0,307042100000.0
Accumulated Depreciation,-131587400000.0,-100165000000.0,-78333200000.0,-60909400000.0
Gross PPE,587699300000.0,563237300000.0,500979100000.0,367951500000.0
Construction In Progress,68140300000.0,39857600000.0,36971300000.0,32163300000.0
Other Properties,519559000000.0,147301400000.0,141390000000.0,109214400000.0
Machinery Furniture Equipment,263973000000.0,187959900000.0,163052600000.0,130856200000.0
Buildings And Improvements,109466900000.0,87135300000.0,81446400000.0,47213100000.0
Land And Improvements,114547800000.0,100983100000.0,78118800000.0,48504500000.0
Properties,0.0,0.0,0.0,0.0
