,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,28084700000.0,60510500000.0,52040800000.0,37804000000.0
Repurchase Of Capital Stock,0.0,0.0,0.0,-19724000000.0
Repayment Of Debt,-17106900000.0,-22931000000.0,-136026000000.0,-154471000000.0
Issuance Of Debt,74458700000.0,72443100000.0,190934500000.0,158486200000.0
Issuance Of Capital Stock,0.0,8000000000.0,0.0,0.0
Capital Expenditure,-91247800000.0,-37491700000.0,-23517000000.0,-36214100000.0
End Cash Position,9367000000.0,86198000000.0,42009700000.0,71954600000.0
Other Cash Adjustment Outside Changein Cash,28783100000.0,221400000.0,785500000.0,26300000.0
Beginning Cash Position,86760500000.0,42009700000.0,71954600000.0,47981900000.0
Changes In Cash,-106176600000.0,43966900000.0,-30730400000.0,23946400000.0
Other Cash Adjustment Inside Changein Cash,-2135100000.0,-2334500000.0,0.0,-11200000.0
Financing Cash Flow,-27338000000.0,20415300000.0,35138500000.0,-42556300000.0
Net Other Financing Charges,4377700000.0,-26496200000.0,-209400000.0,-368100000.0
Interest Paid Cff,-23710000000.0,-25499400000.0,-19377300000.0,-19238700000.0
Cash Dividends Paid,-10929100000.0,-10266500000.0,-2300000.0,-6999300000.0
Common Stock Dividend Paid,0.0,0.0,-2300000.0,-6999300000.0
Net Preferred Stock Issuance,0.0,0.0,0.0,-124000000.0
Preferred Stock Payments,0.0,0.0,0.0,-124000000.0
Net Common Stock Issuance,0.0,8000000000.0,0.0,-19600000000.0
Common Stock Payments,0.0,0.0,0.0,-19600000000.0
Common Stock Issuance,0.0,8000000000.0,0.0,0.0
Net Issuance Payments Of Debt,3453500000.0,75275900000.0,54908500000.0,4015200000.0
Net Short Term Debt Issuance,-53898300000.0,25763800000.0,-11500000000.0,-47342100000.0
Short Term Debt Payments,0.0,0.0,-63500000000.0,-83837100000.0
Short Term Debt Issuance,0.0,0.0,52000000000.0,36495000000.0
Net Long Term Debt Issuance,57351800000.0,49512100000.0,66408500000.0,51357300000.0
Long Term Debt Payments,-17106900000.0,-22931000000.0,-72526000000.0,-70633900000.0
Long Term Debt Issuance,74458700000.0,72443100000.0,138934500000.0,121991200000.0
Investing Cash Flow,-196036000000.0,-72116100000.0,-141426700000.0,-7504200000.0
Net Other Investing Changes,5490000000.0,7722200000.0,-1386100000.0,-3792500000.0
Interest Received Cfi,14610000000.0,17168600000.0,21562000000.0,19773700000.0
Dividends Received Cfi,3500000.0,40100000.0,70100000.0,80000000.0
Net Investment Purchase And Sale,3458100000.0,-32151100000.0,-14124500000.0,16932600000.0
Sale Of Investment,6664500000.0,2881600000.0,724000000.0,6285200000.0
Purchase Of Investment,-3206400000.0,-35032700000.0,-14848500000.0,10647400000.0
Net Business Purchase And Sale,-144290700000.0,-31641800000.0,-134386900000.0,-7539700000.0
Sale Of Business,0.0,1162700000.0,2520600000.0,0.0
Purchase Of Business,-144290700000.0,-32804500000.0,-136907500000.0,-7539700000.0
Net PPE Purchase And Sale,-89209900000.0,-37364700000.0,-23479000000.0,629900000.0
Sale Of PPE,2037900000.0,127000000.0,38000000.0,629900000.0
Purchase Of PPE,-91247800000.0,-37491700000.0,-23517000000.0,0.0
Capital Expenditure Reported,0.0,0.0,0.0,-36214100000.0
Operating Cash Flow,119332500000.0,98002200000.0,75557800000.0,74018100000.0
Taxes Refund Paid,-8339300000.0,-8484200000.0,-8728300000.0,-8495700000.0
Change In Working Capital,-8546200000.0,6735000000.0,4083900000.0,9909300000.0
Change In Other Current Liabilities,4481500000.0,-2895800000.0,-809200000.0,12210000000.0
Change In Other Current Assets,-5310300000.0,1450800000.0,2759300000.0,-1003800000.0
Change In Payable,2499600000.0,-401700000.0,-689200000.0,843400000.0
Change In Inventory,-666600000.0,6090300000.0,-235800000.0,-446500000.0
Change In Receivables,-7870700000.0,2400700000.0,2952000000.0,-1756600000.0
Other Non Cash Items,25175300000.0,10357500000.0,2902500000.0,2147800000.0
Provisionand Write Offof Assets,0.0,0.0,250000000.0,781000000.0
Depreciation And Amortization,34232400000.0,27396300000.0,21073400000.0,16802800000.0
Depreciation,34232400000.0,27396300000.0,21073400000.0,16802800000.0
Gain Loss On Investment Securities,-2595300000.0,-125800000.0,1067300000.0,-1942000000.0
Net Foreign Currency Exchange Gain Loss,25277600000.0,9179100000.0,-7291400000.0,17097300000.0
Gain Loss On Sale Of PPE,-603200000.0,35200000.0,35500000.0,38600000.0
Gain Loss On Sale Of Business,0.0,-592300000.0,-922800000.0,-4805700000.0
Net Income From Continuing Operations,54891300000.0,55411600000.0,62920100000.0,42439200000.0
