,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,133276117.0,133251060.0,133251060.0,127481835.0
Share Issued,133276117.0,133251060.0,133251060.0,127481835.0
Net Debt,0.0,151860000.0,1121660000.0,46710000.0
Total Debt,1056260000.0,1486400000.0,1187320000.0,675010000.0
Tangible Book Value,6095590000.0,4391920000.0,-389730000.0,662610000.0
Invested Capital,15415060000.0,13265500000.0,4756010000.0,2929430000.0
Working Capital,7605420000.0,5141670000.0,570790000.0,1045140000.0
Net Tangible Assets,6095590000.0,4391920000.0,-389730000.0,662610000.0
Capital Lease Obligations,25360000.0,2050000.0,18890000.0,37170000.0
Common Stock Equity,14384160000.0,11781150000.0,3587580000.0,2291590000.0
Total Capitalization,14904910000.0,12672410000.0,4480790000.0,2572190000.0
Total Equity Gross Minority Interest,14405310000.0,11793530000.0,3591820000.0,2291590000.0
Minority Interest,21150000.0,12380000.0,4240000.0,0.0
Stockholders Equity,14384160000.0,11781150000.0,3587580000.0,2291590000.0
Other Equity Interest,-266350000.0,33070000.0,0.0,0.0
Treasury Stock,80930000.0,0.0,0.0,0.0
Retained Earnings,6936370000.0,4594900000.0,2455850000.0,1106190000.0
Additional Paid In Capital,6740930000.0,6740930000.0,845560000.0,845560000.0
Capital Stock,266350000.0,266500000.0,254960000.0,254960000.0
Common Stock,266350000.0,266500000.0,254960000.0,254960000.0
Total Liabilities Net Minority Interest,5701600000.0,6475490000.0,3933820000.0,1708670000.0
Total Non Current Liabilities Net Minority Interest,1668520000.0,2187690000.0,1997840000.0,432850000.0
Other Non Current Liabilities,266350000.0,1217560000.0,893040000.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,18370000.0,15540000.0,12790000.0
Non Current Deferred Revenue,0.0,0.0,174060000.0,0.0
Non Current Deferred Taxes Liabilities,54620000.0,60500000.0,14520000.0,1800000.0
Long Term Debt And Capital Lease Obligation,539120000.0,891260000.0,900680000.0,300680000.0
Long Term Capital Lease Obligation,18370000.0,0.0,7470000.0,20080000.0
Long Term Debt,520750000.0,891260000.0,893210000.0,280600000.0
Long Term Provisions,19190000.0,18370000.0,15540000.0,0.0
Current Liabilities,4033080000.0,4287800000.0,1935980000.0,1275820000.0
Other Current Liabilities,173720000.0,669670000.0,166210000.0,18650000.0
Current Deferred Taxes Liabilities,67380000.0,0.0,0.0,0.0
Current Debt And Capital Lease Obligation,517140000.0,595140000.0,286640000.0,374330000.0
Current Capital Lease Obligation,6990000.0,2050000.0,11420000.0,17090000.0
Current Debt,510150000.0,593090000.0,275220000.0,357240000.0
Pensionand Other Post Retirement Benefit Plans Current,32400000.0,0.0,0.0,0.0
Current Provisions,32400000.0,30950000.0,11620000.0,6590000.0
Payables,2589270000.0,2951030000.0,1412860000.0,868220000.0
Other Payable,297600000.0,322790000.0,127460000.0,100920000.0
Total Tax Payable,67300000.0,69000000.0,25510000.0,17120000.0
Accounts Payable,2521970000.0,2559240000.0,1259890000.0,750180000.0
Total Assets,20106910000.0,18269020000.0,7525640000.0,4000260000.0
Total Non Current Assets,8469410000.0,8839550000.0,5018870000.0,1679300000.0
Other Non Current Assets,900000.0,0.0,0.0,0.0
Non Current Prepaid Assets,90930000.0,0.0,0.0,0.0
Non Current Deferred Taxes Assets,27730000.0,28510000.0,0.0,0.0
Financial Assets,0.0,0.0,237800000.0,0.0
Investmentin Financial Assets,10730000.0,260000.0,758430000.0,260000.0
Available For Sale Securities,10730000.0,4830000.0,758430000.0,0.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,260000.0,260000.0,758430000.0,260000.0
Long Term Equity Investment,0.0,1345440000.0,0.0,0.0
Investmentsin Associatesat Cost,0.0,1345440000.0,0.0,0.0
Goodwill And Other Intangible Assets,8288570000.0,7389230000.0,3977310000.0,1628980000.0
Other Intangible Assets,1648470000.0,1226270000.0,827980000.0,522250000.0
Goodwill,6640100000.0,6162960000.0,3149330000.0,1106730000.0
Net PPE,55290000.0,26290000.0,32410000.0,46720000.0
Accumulated Depreciation,-48520000.0,-29990000.0,-20520000.0,-13820000.0
Gross PPE,55290000.0,56280000.0,52930000.0,60540000.0
Other Properties,55290000.0,2050000.0,19030000.0,36540000.0
Machinery Furniture Equipment,79140000.0,54230000.0,33900000.0,24000000.0
Buildings And Improvements,24660000.0,0.0,0.0,0.0
Properties,0.0,0.0,0.0,0.0
Current Assets,11638500000.0,9429470000.0,2506770000.0,2320960000.0
Other Current Assets,249830000.0,219650000.0,68570000.0,0.0
Current Deferred Assets,0.0,0.0,800000.0,-120000.0
Restricted Cash,1606260000.0,1830670000.0,444720000.0,104770000.0
Prepaid Assets,276990000.0,243380000.0,78160000.0,90510000.0
Other Receivables,1046530000.0,770590000.0,688760000.0,216500000.0
Accounts Receivable,2452450000.0,2347110000.0,1079110000.0,744350000.0
Allowance For Doubtful Accounts Receivable,-102610000.0,-100200000.0,-88600000.0,-68460000.0
Gross Accounts Receivable,2555060000.0,2447310000.0,1167710000.0,812810000.0
Cash Cash Equivalents And Short Term Investments,7889690000.0,4237720000.0,215220000.0,1164950000.0
Other Short Term Investments,4569560000.0,2905230000.0,168450000.0,573820000.0
Cash And Cash Equivalents,3320130000.0,1332490000.0,46770000.0,591130000.0
Cash Equivalents,1713770000.0,1332360000.0,46650000.0,449480000.0
Cash Financial,100000.0,130000.0,120000.0,141650000.0
