,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,51877043000.0,65664927000.0,49148748000.0,5673753000.0
Issuance Of Debt,0.0,0.0,0.0,17219649000.0
Issuance Of Capital Stock,20693735000.0,904804000.0,6579785000.0,5457152000.0
Capital Expenditure,-3059355000.0,-2824892000.0,-1412263000.0,-921990000.0
End Cash Position,94251723000.0,59285150000.0,47813355000.0,33696786000.0
Beginning Cash Position,59285150000.0,47813355000.0,33696786000.0,17401934000.0
Changes In Cash,34966573000.0,11471795000.0,14116569000.0,16294852000.0
Financing Cash Flow,23225198000.0,-9484367000.0,-26546993000.0,22373629000.0
Cash Dividends Paid,-315093000.0,0.0,0.0,-264376000.0
Common Stock Dividend Paid,-315093000.0,0.0,0.0,-264376000.0
Net Common Stock Issuance,20693735000.0,904804000.0,6579785000.0,5457152000.0
Common Stock Issuance,20693735000.0,904804000.0,6579785000.0,5457152000.0
Net Issuance Payments Of Debt,3078735000.0,-10389171000.0,-33056279000.0,17219649000.0
Net Long Term Debt Issuance,3078735000.0,-10389171000.0,-33056279000.0,17219649000.0
Long Term Debt Issuance,0.0,0.0,0.0,17219649000.0
Investing Cash Flow,-43195023000.0,-47533657000.0,-9897449000.0,-12674520000.0
Net Investment Purchase And Sale,-40158532000.0,-44723597000.0,-8500756000.0,-11767548000.0
Purchase Of Investment,-40158532000.0,-44723597000.0,-8500756000.0,-11767548000.0
Net PPE Purchase And Sale,-3036491000.0,-2810060000.0,-1396693000.0,-906972000.0
Sale Of PPE,22864000.0,14832000.0,15570000.0,15018000.0
Purchase Of PPE,-3059355000.0,-2824892000.0,-1412263000.0,-921990000.0
Operating Cash Flow,54936398000.0,68489819000.0,50561011000.0,6595743000.0
Taxes Refund Paid,-3699341000.0,-3848564000.0,-3143287000.0,-2689189000.0
Change In Working Capital,35516554000.0,51742208000.0,31347182000.0,-3728339000.0
Change In Other Current Liabilities,4832447000.0,2768858000.0,9847181000.0,-3426003000.0
Change In Other Current Assets,-13430402000.0,-1800989000.0,-1786122000.0,-1798640000.0
Other Non Cash Items,916921000.0,766311000.0,356451000.0,235808000.0
Stock Based Compensation,207581000.0,184834000.0,767915000.0,237378000.0
Provisionand Write Offof Assets,1743157000.0,3605012000.0,5682866000.0,2313919000.0
Depreciation And Amortization,1854177000.0,1401666000.0,1043685000.0,886177000.0
Depreciation,1854177000.0,1401666000.0,1043685000.0,886177000.0
Pension And Employee Benefit Expense,-255650000.0,91281000.0,-88187000.0,189123000.0
Gain Loss On Sale Of PPE,6631000.0,6366000.0,9304000.0,11114000.0
Net Income From Continuing Operations,18646368000.0,14540704000.0,14585082000.0,9139752000.0
