,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,206853600000.0,267283300000.0,116944446000.0,293113662000.0
Issuance Of Capital Stock,3802300000.0,2770300000.0,101505888000.0,152377130000.0
Capital Expenditure,-13894200000.0,-14089700000.0,-9384365000.0,-11042694000.0
End Cash Position,1087079300000.0,1123435100000.0,634243526000.0,977997744000.0
Beginning Cash Position,1123435100000.0,634243600000.0,977997744000.0,680043082000.0
Effect Of Exchange Rate Changes,3434800000.0,1198700000.0,-928136000.0,1735596000.0
Changes In Cash,-39790600000.0,487992800000.0,-342826082000.0,296219066000.0
Financing Cash Flow,66405400000.0,478940800000.0,72793319000.0,88651340000.0
Net Other Financing Charges,1320400000.0,876000000.0,601914000.0,289410000.0
Cash Dividends Paid,-3071400000.0,0.0,0.0,-3318569000.0
Common Stock Dividend Paid,-3071400000.0,0.0,0.0,-3318569000.0
Net Common Stock Issuance,3802300000.0,2770300000.0,101505888000.0,152377130000.0
Common Stock Issuance,3802300000.0,2770300000.0,101505888000.0,152377130000.0
Net Issuance Payments Of Debt,64354100000.0,475294500000.0,-29314483000.0,-60696631000.0
Net Long Term Debt Issuance,64354100000.0,475294500000.0,-29314483000.0,-60696631000.0
Investing Cash Flow,-326943800000.0,-272321000000.0,-541948212000.0,-96588630000.0
Net Investment Purchase And Sale,-197141500000.0,-258303800000.0,-532699292000.0,-85819362000.0
Net Business Purchase And Sale,-116025400000.0,0.0,0.0,0.0
Purchase Of Business,-116025400000.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-13776900000.0,-14017200000.0,-9248920000.0,-10769268000.0
Sale Of PPE,117300000.0,72500000.0,135445000.0,273426000.0
Purchase Of PPE,-13894200000.0,-14089700000.0,-9384365000.0,-11042694000.0
Operating Cash Flow,220747800000.0,281373000000.0,126328811000.0,304156356000.0
Taxes Refund Paid,-66865200000.0,-44460600000.0,-20269943000.0,-30370292000.0
Change In Working Capital,-104878200000.0,21713600000.0,-136101324000.0,83165612000.0
Change In Other Current Liabilities,63132300000.0,74014500000.0,-7159309000.0,56982825000.0
Change In Other Current Assets,29686100000.0,29200400000.0,48017058000.0,-265223513000.0
Other Non Cash Items,8891100000.0,8237800000.0,5921192000.0,3546142000.0
Stock Based Compensation,2860200000.0,1507700000.0,0.0,0.0
Provisionand Write Offof Assets,58116500000.0,98049700000.0,156674610000.0,185799386000.0
Depreciation And Amortization,131456500000.0,10489900000.0,9793903000.0,8060735000.0
Depreciation,131456500000.0,10489900000.0,9793903000.0,8060735000.0
Gain Loss On Sale Of PPE,76900000.0,61100000.0,87674000.0,50818000.0
Net Income From Continuing Operations,185211200000.0,188418600000.0,96931875000.0,52544043000.0
