,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1610854967.0,1610765867.0,1610599201.0,1610247843.0
Share Issued,1610854967.0,1610765867.0,1610599201.0,1610247843.0
Net Debt,164610987000.0,105998752000.0,110372651261.0,58408116111.0
Total Debt,247108226000.0,199212280000.0,172302097811.0,141937161170.0
Tangible Book Value,195841525000.0,173811507000.0,174081836703.0,151954593270.0
Invested Capital,442949751000.0,373023787000.0,346383934514.0,293891754440.0
Net Tangible Assets,195841525000.0,173811507000.0,174081836703.0,151954593270.0
Common Stock Equity,195841525000.0,173811507000.0,174081836703.0,151954593270.0
Total Capitalization,442949751000.0,373023787000.0,346383934514.0,293891754440.0
Total Equity Gross Minority Interest,195841525000.0,173811507000.0,174081836703.0,151954593270.0
Stockholders Equity,195841525000.0,173811507000.0,174081836703.0,151954593270.0
Other Equity Interest,119456000.0,52395000.0,0.0,0.0
Retained Earnings,74537813000.0,60099356000.0,61710030324.0,47587096399.0
Additional Paid In Capital,54187887000.0,54172016000.0,54143673708.0,54074512773.0
Capital Stock,16108365000.0,16107659000.0,16105992010.0,16102478430.0
Common Stock,16108365000.0,16107659000.0,16105992010.0,16102478430.0
Total Liabilities Net Minority Interest,1361858156000.0,1214853947000.0,975848698559.0,765223398095.0
Long Term Debt And Capital Lease Obligation,247108226000.0,199212280000.0,172302097811.0,141937161170.0
Payables,1195556000.0,7705860000.0,8554195555.0,2754357227.0
Other Payable,0.0,6602212000.0,4400144943.0,0.0
Accounts Payable,1195556000.0,1103648000.0,4154050612.0,2754357227.0
Total Assets,1557699681000.0,1388665454000.0,1149930535262.0,917177991365.0
Investments And Advances,323658918000.0,290787101000.0,251553875017.0,153517744034.0
Investmentin Financial Assets,323658918000.0,290787101000.0,251553875017.0,153517744034.0
Available For Sale Securities,2181463000.0,4396711000.0,558650604.0,2471309350.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,8545906000.0,5878852000.0,4867120768.0,3687674414.0
Accumulated Depreciation,-6536270000.0,-5407107000.0,-4430608373.0,-3617657506.0
Gross PPE,15082176000.0,11285959000.0,9297729141.0,7305331920.0
Construction In Progress,3456755000.0,1733026000.0,547498678.0,215001047.0
Other Properties,9948257000.0,8015308000.0,5633796560.0,4204087318.0
Properties,1677164000.0,1537625000.0,3116433903.0,2886243555.0
Prepaid Assets,436230000.0,0.0,2361933702.0,0.0
Receivables,9672082000.0,10351100000.0,5415024808.0,4659283886.0
Cash And Cash Equivalents,82497239000.0,93213528000.0,61929446550.0,83529045059.0
Cash Equivalents,0.0,249993000.0,0.0,2567005639.0
Cash Financial,73265829000.0,11730810000.0,7643780647.0,5515377245.0
