,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,89262.9262,2806231.7157,1235675.0637
Tax Rate For Calcs,0.2413,0.0220,0.2520,0.2540
Total Unusual Items,0.0,4057000.0,11133775.0,4864336.0
Total Unusual Items Excluding Goodwill,0.0,4057000.0,11133775.0,4864336.0
Net Income From Continuing Operation Net Minority Interest,21946380000.0,1257940000.0,22054568918.0,30237375528.0
Reconciled Depreciation,1426456000.0,1100374000.0,1030649390.0,802557701.0
Net Interest Income,92596182000.0,87140186000.0,75633554323.0,63239143049.0
Interest Expense,66450814000.0,51571016000.0,49608563443.0,45615790314.0
Interest Income,159046996000.0,138711202000.0,125242117766.0,108854933363.0
Normalized Income,21946380000.0,1253972262.9262,22046241374.7157,30233746867.0637
Net Income From Continuing And Discontinued Operation,21946380000.0,1257940000.0,22054568918.0,30237375528.0
Diluted Average Shares,1611088297.0,1611193362.0,1611072504.0,1611372777.0
Basic Average Shares,1610809940.0,1610691061.0,1610366506.0,1610011850.0
Diluted EPS,13.62,0.78,13.69,18.76
Basic EPS,13.62,0.78,13.7,18.78
Diluted NI Availto Com Stockholders,21946380000.0,1257940000.0,22054568918.0,30237375528.0
Net Income Common Stockholders,21946380000.0,1257940000.0,22054568918.0,30237375528.0
Net Income,21946380000.0,1257940000.0,22054568918.0,30237375528.0
Net Income Including Noncontrolling Interests,21946380000.0,1257935000.0,22054594188.0,30237395755.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,21946380000.0,1257935000.0,22054594188.0,30237395755.0
Tax Provision,6983462000.0,28300000.0,7432000000.0,10296800000.0
Pretax Income,28929842000.0,1286235000.0,29486594188.0,40534195755.0
Special Income Charges,0.0,4057000.0,11133775.0,4864336.0
Other Special Charges,4581000.0,-4057000.0,-11133775.0,-4864336.0
Gain On Sale Of Security,-1059787000.0,2770529000.0,3087127625.0,1133569820.0
Operating Expense,46368194000.0,35415377000.0,28265857370.0,24367421724.0
Other Operating Expenses,19217486000.0,8893201000.0,5863451094.0,5665968881.0
Depreciation And Amortization In Income Statement,1426457000.0,1100374000.0,1030649390.0,802557701.0
Depreciation Income Statement,1426457000.0,1100374000.0,1030649390.0,802557701.0
Selling General And Administration,763072000.0,447954000.0,1547242191.0,1486459779.0
Selling And Marketing Expense,534023000.0,266545000.0,573915310.0,663069025.0
General And Administrative Expense,229049000.0,181409000.0,973326881.0,823390754.0
Insurance And Claims,1373311000.0,1080289000.0,1037324332.0,785078455.0
Rent And Landing Fees,2827627000.0,2511323000.0,2108955837.0,1932224306.0
Total Revenue,117281689000.0,115359355000.0,95844417783.0,78818253143.0
Operating Revenue,117281689000.0,115359355000.0,95844417783.0,78818253143.0
