,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,3139019.0,2943627.0,3429108.0,2260661.0
Ordinary Shares Number,5964501570.0,5881371303.0,5591710971.0,5555724782.0
Share Issued,5967640589.0,5884314930.0,5595140079.0,5557985443.0
Net Debt,1583654000000.0,1268186000000.0,1217040000000.0,1040683000000.0
Total Debt,2260203000000.0,1696779000000.0,1627852000000.0,1482281000000.0
Tangible Book Value,-883563000000.0,-564440000000.0,-512706000000.0,-387336000000.0
Invested Capital,2431077000000.0,1994688000000.0,1887426000000.0,1947638000000.0
Working Capital,-644625000000.0,-619981000000.0,-568830000000.0,-548444000000.0
Net Tangible Assets,-883563000000.0,-564440000000.0,-512706000000.0,-387336000000.0
Capital Lease Obligations,604755000000.0,367634000000.0,329953000000.0,306091000000.0
Common Stock Equity,775629000000.0,665543000000.0,589527000000.0,771448000000.0
Total Capitalization,2291315000000.0,1800893000000.0,1695130000000.0,1682240000000.0
Total Equity Gross Minority Interest,1064443000000.0,919350000000.0,812266000000.0,1021295000000.0
Minority Interest,288814000000.0,253807000000.0,222739000000.0,249847000000.0
Stockholders Equity,775629000000.0,665543000000.0,589527000000.0,771448000000.0
Other Equity Interest,747263000000.0,3542000000.0,3542000000.0,3542000000.0
Treasury Stock,1733000000.0,1555000000.0,1549000000.0,788000000.0
Retained Earnings,64497000000.0,-1429000000.0,-44366000000.0,112401000000.0
Additional Paid In Capital,640511000000.0,581755000000.0,530019000000.0,508319000000.0
Capital Stock,28366000000.0,27950000000.0,27460000000.0,27278000000.0
Common Stock,28366000000.0,27950000000.0,27460000000.0,27278000000.0
Total Liabilities Net Minority Interest,3401889000000.0,2717210000000.0,2648012000000.0,2586495000000.0
Total Non Current Liabilities Net Minority Interest,2182251000000.0,1576950000000.0,1531653000000.0,1271619000000.0
Other Non Current Liabilities,1029000000.0,1363000000.0,35775000000.0,33415000000.0
Preferred Securities Outside Stock Equity,0.0,17706000000.0,0.0,0.0
Derivative Product Liabilities,3523000000.0,44135000000.0,586000000.0,292000000.0
Non Current Accrued Expenses,38026000000.0,21407000000.0,0.0,0.0
Tradeand Other Payables Non Current,412000000.0,729000000.0,4109000000.0,6773000000.0
Non Current Deferred Revenue,30901000000.0,31621000000.0,29724000000.0,25033000000.0
Non Current Deferred Taxes Liabilities,20762000000.0,24488000000.0,16107000000.0,16877000000.0
Long Term Debt And Capital Lease Obligation,2023981000000.0,1425912000000.0,1356689000000.0,1154470000000.0
Long Term Capital Lease Obligation,508295000000.0,290562000000.0,251086000000.0,243678000000.0
Long Term Debt,1515686000000.0,1135350000000.0,1105603000000.0,910792000000.0
Long Term Provisions,4744000000.0,4639000000.0,5020000000.0,7548000000.0
Current Liabilities,1219638000000.0,1140260000000.0,1116359000000.0,1314876000000.0
Other Current Liabilities,51143000000.0,626000000.0,595000000.0,4108000000.0
Current Debt And Capital Lease Obligation,236222000000.0,270867000000.0,271163000000.0,327811000000.0
Current Capital Lease Obligation,96460000000.0,77072000000.0,78867000000.0,62413000000.0
Current Debt,139762000000.0,193795000000.0,192296000000.0,265398000000.0
Current Provisions,257292000000.0,243449000000.0,235160000000.0,451093000000.0
Payables,346918000000.0,452204000000.0,494312000000.0,448932000000.0
Other Payable,171888000000.0,98215000000.0,151316000000.0,140994000000.0
Dividends Payable,18000000.0,10000000.0,256000000.0,0.0
Total Tax Payable,17972000000.0,61238000000.0,64019000000.0,57739000000.0
Accounts Payable,328946000000.0,292741000000.0,278721000000.0,250199000000.0
Total Assets,4466332000000.0,3636560000000.0,3460278000000.0,3607790000000.0
Total Non Current Assets,3891319000000.0,3116281000000.0,2912749000000.0,2841358000000.0
Other Non Current Assets,103898000000.0,2732000000.0,1044000000.0,4194000000.0
Non Current Prepaid Assets,67013000000.0,55536000000.0,114418000000.0,58751000000.0
Non Current Deferred Taxes Assets,189519000000.0,199250000000.0,200864000000.0,270160000000.0
Financial Assets,854000000.0,218000000.0,473000000.0,41000000.0
Investmentin Financial Assets,26619000000.0,12688000000.0,13053000000.0,34884000000.0
Held To Maturity Securities,0.0,0.0,2000000.0,0.0
Available For Sale Securities,26619000000.0,12148000000.0,12807000000.0,14606000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,587000000.0,540000000.0,143000000.0,20278000000.0
Trading Securities,0.0,0.0,101000000.0,0.0
Long Term Equity Investment,281838000000.0,284268000000.0,234346000000.0,96808000000.0
Investmentsin Joint Venturesat Cost,250340000000.0,248920000000.0,200883000000.0,60781000000.0
Investmentsin Associatesat Cost,31498000000.0,35348000000.0,33463000000.0,36027000000.0
Goodwill And Other Intangible Assets,1659192000000.0,1229983000000.0,1102233000000.0,1158784000000.0
Other Intangible Assets,1321451000000.0,891670000000.0,773169000000.0,812592000000.0
Goodwill,337741000000.0,338313000000.0,329064000000.0,346192000000.0
Net PPE,1609000000000.0,1270397000000.0,1189828000000.0,1176594000000.0
Accumulated Depreciation,-1496742000000.0,-1342677000000.0,-1198567000000.0,-1144424000000.0
Gross PPE,1609000000000.0,2613074000000.0,2388395000000.0,2321018000000.0
Construction In Progress,110293000000.0,42386000000.0,43665000000.0,39972000000.0
Other Properties,1498707000000.0,48218000000.0,45783000000.0,259049000000.0
Machinery Furniture Equipment,2885481000000.0,2467346000000.0,2248543000000.0,1998913000000.0
Buildings And Improvements,33409000000.0,29485000000.0,26444000000.0,17241000000.0
