,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,265062000000.0,101685000000.0,209474000000.0,-25881000000.0
Repurchase Of Capital Stock,-496000000.0,-598000000.0,-1111000000.0,-497000000.0
Repayment Of Debt,-178227000000.0,-337212000000.0,-445438000000.0,-439813000000.0
Issuance Of Debt,136077000000.0,254785000000.0,327276000000.0,377400000000.0
Issuance Of Capital Stock,52242000000.0,63113000000.0,9000000.0,391819000000.0
Capital Expenditure,-388184000000.0,-448481000000.0,-272576000000.0,-207168000000.0
End Cash Position,90214000000.0,73987000000.0,90630000000.0,130539000000.0
Beginning Cash Position,73987000000.0,90630000000.0,130539000000.0,53793000000.0
Effect Of Exchange Rate Changes,-1522000000.0,3919000000.0,-3972000000.0,8934000000.0
Changes In Cash,17749000000.0,-20562000000.0,-35937000000.0,67812000000.0
Financing Cash Flow,-244695000000.0,-152032000000.0,-249103000000.0,191444000000.0
Net Other Financing Charges,-4541000000.0,26684000000.0,32584000000.0,155671000000.0
Interest Paid Cff,-66893000000.0,-131588000000.0,-71294000000.0,-109993000000.0
Cash Dividends Paid,-35898000000.0,-14438000000.0,-26906000000.0,-18263000000.0
Common Stock Dividend Paid,-35898000000.0,0.0,0.0,-18263000000.0
Net Preferred Stock Issuance,0.0,10880000000.0,7000000000.0,0.0
Preferred Stock Issuance,0.0,10880000000.0,7000000000.0,0.0
Net Common Stock Issuance,51746000000.0,51635000000.0,-1102000000.0,391322000000.0
Common Stock Payments,-496000000.0,-598000000.0,-1111000000.0,-497000000.0
Common Stock Issuance,52242000000.0,52233000000.0,9000000.0,391819000000.0
Net Issuance Payments Of Debt,-113123000000.0,-18778000000.0,-118162000000.0,-179553000000.0
Net Short Term Debt Issuance,-70972000000.0,63649000000.0,-35659000000.0,-117140000000.0
Short Term Debt Payments,0.0,0.0,-35659000000.0,0.0
Net Long Term Debt Issuance,-42151000000.0,-82427000000.0,-82503000000.0,-62413000000.0
Long Term Debt Payments,-178227000000.0,-337212000000.0,-409779000000.0,-439813000000.0
Long Term Debt Issuance,136077000000.0,254785000000.0,327276000000.0,377400000000.0
Investing Cash Flow,-390802000000.0,-418696000000.0,-268884000000.0,-304919000000.0
Net Other Investing Changes,-123684000000.0,0.0,-63240000000.0,-15424000000.0
Interest Received Cfi,3508000000.0,4052000000.0,3131000000.0,4748000000.0
Dividends Received Cfi,13992000000.0,0.0,24239000000.0,0.0
Net Investment Purchase And Sale,-12012000000.0,21209000000.0,70745000000.0,-82286000000.0
Sale Of Investment,311000000.0,21298000000.0,70846000000.0,2950000000.0
Purchase Of Investment,-12323000000.0,-89000000.0,-101000000.0,-85236000000.0
Net Business Purchase And Sale,-8106000000.0,-19323000000.0,-32620000000.0,-6106000000.0
Sale Of Business,0.0,6885000000.0,0.0,0.0
Purchase Of Business,-8106000000.0,-26208000000.0,-32620000000.0,-6106000000.0
Net Intangibles Purchase And Sale,0.0,-173027000000.0,-24433000000.0,-15266000000.0
Sale Of Intangibles,0.0,10048000000.0,0.0,0.0
Purchase Of Intangibles,-4819000000.0,-183075000000.0,-24433000000.0,-15266000000.0
Net PPE Purchase And Sale,-388184000000.0,-251615000000.0,-246706000000.0,-190585000000.0
Sale Of PPE,0.0,13791000000.0,1437000000.0,1317000000.0
Purchase Of PPE,-388184000000.0,-265406000000.0,-248143000000.0,-191902000000.0
Operating Cash Flow,653246000000.0,550166000000.0,482050000000.0,181287000000.0
Taxes Refund Paid,-37915000000.0,-21754000000.0,-22328000000.0,-22937000000.0
Change In Working Capital,-31120000000.0,-14472000000.0,30432000000.0,-165964000000.0
Change In Other Current Liabilities,-11991000000.0,11655000000.0,24186000000.0,19064000000.0
Change In Other Current Assets,-38208000000.0,-15674000000.0,71993000000.0,-44997000000.0
Change In Payable,12671000000.0,-4877000000.0,6902000000.0,-2477000000.0
Change In Inventory,-1157000000.0,-1181000000.0,-1139000000.0,-522000000.0
Change In Receivables,-5583000000.0,-7131000000.0,-3954000000.0,-8925000000.0
Other Non Cash Items,191818000000.0,154156000000.0,309798000000.0,527914000000.0
Stock Based Compensation,1115000000.0,776000000.0,708000000.0,357000000.0
Provisionand Write Offof Assets,5664000000.0,0.0,0.0,0.0
Depreciation And Amortization,364318000000.0,330907000000.0,297092000000.0,276896000000.0
Amortization Cash Flow,79005000000.0,74925000000.0,0.0,0.0
Depreciation,364318000000.0,255982000000.0,297092000000.0,276896000000.0
Gain Loss On Investment Securities,539000000.0,-120000000.0,-1164000000.0,0.0
Gain Loss On Sale Of PPE,22000000.0,74000000.0,99000000.0,10000000.0
Gain Loss On Sale Of Business,0.0,0.0,-94496000000.0,0.0
Net Income From Continuing Operations,165607000000.0,124831000000.0,-31184000000.0,-428465000000.0
