,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,240868296.0,240868296.0,240868296.0,240468296.0
Share Issued,240868296.0,240868296.0,240868296.0,240468296.0
Net Debt,28781300000.0,23475500000.0,19615600000.0,14528000000.0
Total Debt,29973700000.0,24812000000.0,21215100000.0,15534000000.0
Tangible Book Value,33918700000.0,24028900000.0,34032200000.0,42554900000.0
Invested Capital,65147800000.0,50236400000.0,56519600000.0,59368600000.0
Working Capital,6118300000.0,-1853100000.0,8054100000.0,11096700000.0
Net Tangible Assets,33918700000.0,24028900000.0,34032200000.0,42554900000.0
Capital Lease Obligations,168600000.0,156600000.0,172100000.0,193700000.0
Common Stock Equity,35342700000.0,25581000000.0,35476600000.0,44028300000.0
Total Capitalization,50860700000.0,32650900000.0,42948100000.0,51677100000.0
Total Equity Gross Minority Interest,35645000000.0,25856000000.0,35840000000.0,44384800000.0
Minority Interest,302300000.0,275000000.0,363400000.0,356500000.0
Stockholders Equity,35342700000.0,25581000000.0,35476600000.0,44028300000.0
Other Equity Interest,35101800000.0,25340100000.0,281000000.0,344100000.0
Retained Earnings,32257000000.0,20910600000.0,21870100000.0,31627700000.0
Additional Paid In Capital,2489400000.0,4291800000.0,4291800000.0,1205800000.0
Capital Stock,240900000.0,240900000.0,240900000.0,240500000.0
Common Stock,240900000.0,240900000.0,240900000.0,240500000.0
Total Liabilities Net Minority Interest,57882200000.0,49299300000.0,44247800000.0,34037500000.0
Total Non Current Liabilities Net Minority Interest,16538200000.0,7742000000.0,8105100000.0,8384500000.0
Non Current Pension And Other Postretirement Benefit Plans,191200000.0,102900000.0,0.0,0.0
Non Current Deferred Revenue,410300000.0,411300000.0,380700000.0,295100000.0
Non Current Deferred Taxes Liabilities,18700000.0,8100000.0,86900000.0,126900000.0
Long Term Debt And Capital Lease Obligation,15661600000.0,7207500000.0,7623200000.0,7818700000.0
Long Term Capital Lease Obligation,143600000.0,137600000.0,151700000.0,169900000.0
Long Term Debt,15518000000.0,7069900000.0,7471500000.0,7648800000.0
Long Term Provisions,256400000.0,0.0,0.0,131600000.0
Current Liabilities,41344000000.0,41557300000.0,36142700000.0,25653000000.0
Other Current Liabilities,1763400000.0,1267100000.0,823200000.0,680200000.0
Current Debt And Capital Lease Obligation,14312100000.0,17604500000.0,13591900000.0,7715300000.0
Current Capital Lease Obligation,25000000.0,19000000.0,20400000.0,23800000.0
Current Debt,14287100000.0,17585500000.0,13571500000.0,7691500000.0
Pensionand Other Post Retirement Benefit Plans Current,1212900000.0,743600000.0,0.0,0.0
Current Provisions,5133900000.0,4851100000.0,3874700000.0,1912600000.0
Payables,15172500000.0,16121500000.0,14969400000.0,12377800000.0
Other Payable,3243500000.0,1344500000.0,767900000.0,603100000.0
Dividends Payable,391000000.0,374300000.0,293200000.0,134100000.0
Total Tax Payable,684400000.0,1550500000.0,760800000.0,477800000.0
Accounts Payable,14488100000.0,12852200000.0,13147500000.0,11162800000.0
Total Assets,93527200000.0,75155300000.0,80087800000.0,78422300000.0
Total Non Current Assets,46064900000.0,35451100000.0,35891000000.0,41672600000.0
Other Non Current Assets,485600000.0,991800000.0,1059800000.0,-700000.0
Non Current Prepaid Assets,721300000.0,1251000000.0,1458600000.0,872500000.0
Non Current Deferred Taxes Assets,572500000.0,516700000.0,96600000.0,195600000.0
Investmentin Financial Assets,10516600000.0,9265500000.0,13851500000.0,18829800000.0
Held To Maturity Securities,9313200000.0,8913500000.0,11392100000.0,13530000000.0
Available For Sale Securities,10516600000.0,162800000.0,91300000.0,113200000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,449500000.0,189200000.0,2368100000.0,5186600000.0
Trading Securities,0.0,0.0,0.0,5038800000.0
Long Term Equity Investment,4951600000.0,20900000.0,22900000.0,14800000.0
Investmentsin Associatesat Cost,4951600000.0,20900000.0,22900000.0,14800000.0
Investment Properties,406300000.0,139500000.0,142100000.0,144700000.0
Goodwill And Other Intangible Assets,1424000000.0,1552100000.0,1444400000.0,1473400000.0
Other Intangible Assets,142400000.0,156000000.0,85400000.0,83700000.0
Goodwill,1281600000.0,1396100000.0,1359000000.0,1389700000.0
Net PPE,25771900000.0,21197300000.0,17508200000.0,17559900000.0
Accumulated Depreciation,-14622900000.0,-11671800000.0,-9395400000.0,-7153100000.0
Gross PPE,25771900000.0,32869100000.0,26903600000.0,24713000000.0
Construction In Progress,1050000000.0,5356800000.0,1165200000.0,395500000.0
Other Properties,24721900000.0,15840500000.0,16343000000.0,0.0
Machinery Furniture Equipment,24159300000.0,16357600000.0,14899600000.0,13809700000.0
Buildings And Improvements,11430200000.0,7816700000.0,7578600000.0,7320200000.0
Land And Improvements,3755300000.0,3338000000.0,3260200000.0,3187600000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,47462300000.0,39704200000.0,44196800000.0,36749700000.0
Other Current Assets,1807400000.0,1263400000.0,1220100000.0,337800000.0
Assets Held For Sale Current,323600000.0,0.0,0.0,0.0
Restricted Cash,523000000.0,390900000.0,301800000.0,146600000.0
Prepaid Assets,1924000000.0,1351200000.0,1270700000.0,1468700000.0
Inventory,11932600000.0,13674900000.0,10914900000.0,7409600000.0
Other Inventories,0.0,0.0,0.0,428300000.0
Finished Goods,4350300000.0,3638600000.0,2890900000.0,2510600000.0
Work In Process,18900000.0,5300000.0,400000.0,9500000.0
