,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,5031860000.0,2168640000.0,5329700000.0,2555510000.0
Repurchase Of Capital Stock,-3900000000.0,0.0,0.0,0.0
Repayment Of Debt,0.0,0.0,0.0,-381150000.0
Issuance Of Capital Stock,129170000.0,78960000.0,1610000.0,7950000.0
Capital Expenditure,-577380000.0,-638260000.0,-248720000.0,-568460000.0
End Cash Position,4668520000.0,2905610000.0,4660920000.0,4495650000.0
Beginning Cash Position,2905610000.0,4660920000.0,4495650000.0,3616810000.0
Effect Of Exchange Rate Changes,-1230000.0,-28120000.0,0.0,14150000.0
Changes In Cash,1764140000.0,-1727190000.0,165270000.0,864690000.0
Financing Cash Flow,-6362040000.0,-1467330000.0,-968690000.0,-1796870000.0
Net Other Financing Charges,-788950000.0,0.0,0.0,0.0
Interest Paid Cff,-94570000.0,-30250000.0,-21210000.0,-33690000.0
Cash Dividends Paid,-1249500000.0,-1110820000.0,-554220000.0,-995960000.0
Common Stock Dividend Paid,0.0,0.0,-554220000.0,-995960000.0
Net Common Stock Issuance,-3770830000.0,78960000.0,1610000.0,7950000.0
Common Stock Payments,-3900000000.0,0.0,0.0,0.0
Common Stock Issuance,129170000.0,78960000.0,1610000.0,7950000.0
Net Issuance Payments Of Debt,0.0,0.0,0.0,-381150000.0
Net Short Term Debt Issuance,0.0,0.0,0.0,-381150000.0
Short Term Debt Payments,0.0,0.0,0.0,-381150000.0
Net Long Term Debt Issuance,0.0,0.0,0.0,0.0
Long Term Debt Payments,0.0,0.0,0.0,0.0
Investing Cash Flow,2516940000.0,-3066760000.0,-4444460000.0,-462410000.0
Interest Received Cfi,238280000.0,325740000.0,153820000.0,42810000.0
Dividends Received Cfi,0.0,440000.0,2780000.0,0.0
Net Investment Purchase And Sale,2844050000.0,-2775500000.0,-4354690000.0,38200000.0
Sale Of Investment,43156500000.0,18411320000.0,0.0,1642530000.0
Purchase Of Investment,-40312450000.0,-21186820000.0,-4354690000.0,-1604330000.0
Net PPE Purchase And Sale,-565390000.0,-617440000.0,-246370000.0,-543420000.0
Sale Of PPE,11990000.0,20820000.0,2350000.0,25040000.0
Purchase Of PPE,-577380000.0,-638260000.0,-248720000.0,-568460000.0
Capital Expenditure Reported,0.0,0.0,-248720000.0,0.0
Operating Cash Flow,5609240000.0,2806900000.0,5578420000.0,3123970000.0
Taxes Refund Paid,-1314910000.0,-1783810000.0,-666500000.0,-804810000.0
Change In Working Capital,-800090000.0,-2562680000.0,844960000.0,-884590000.0
Change In Other Current Liabilities,-664140000.0,-680990000.0,1265370000.0,-1089240000.0
Change In Other Current Assets,2082870000.0,-464110000.0,-1463180000.0,695930000.0
Change In Payable,217780000.0,749190000.0,-545900000.0,-272330000.0
Change In Inventory,0.0,0.0,0.0,0.0
Change In Receivables,-2436600000.0,-2166770000.0,125490000.0,-218950000.0
Other Non Cash Items,-2780000.0,-192230000.0,-231150000.0,-99430000.0
Stock Based Compensation,288750000.0,132060000.0,112380000.0,96390000.0
Provisionand Write Offof Assets,1301990000.0,-6270000.0,45590000.0,55680000.0
Deferred Tax,1108380000.0,1530240000.0,1339680000.0,1118560000.0
Depreciation And Amortization,822650000.0,765100000.0,803710000.0,825790000.0
Depreciation,822650000.0,765100000.0,803710000.0,825790000.0
Gain Loss On Investment Securities,-106960000.0,-37640000.0,-9760000.0,-63580000.0
Net Foreign Currency Exchange Gain Loss,633030000.0,342950000.0,-140960000.0,198690000.0
Gain Loss On Sale Of PPE,10910000.0,-19080000.0,510000.0,-4700000.0
Gain Loss On Sale Of Business,0.0,0.0,0.0,0.0
Net Income From Continuing Operations,3315840000.0,4636380000.0,3208310000.0,2243480000.0
