,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1814130252.0,1814130278.0,1646738220.0,1030233351.0
Share Issued,1814130252.0,1814130278.0,1646738220.0,1030233351.0
Total Debt,580731700000.0,478012461000.0,496720447000.0,415907807000.0
Tangible Book Value,780537500000.0,699613252000.0,624095878000.0,412059517000.0
Invested Capital,1361269200000.0,1177625713000.0,1120816325000.0,827967324000.0
Net Tangible Assets,780537500000.0,699613252000.0,624095878000.0,412059517000.0
Common Stock Equity,780537500000.0,699613252000.0,624095878000.0,412059517000.0
Total Capitalization,1361269200000.0,1177625713000.0,1120816325000.0,827967324000.0
Total Equity Gross Minority Interest,789575400000.0,707860161000.0,632029646000.0,419360547000.0
Minority Interest,9037900000.0,8246909000.0,7933768000.0,7301030000.0
Stockholders Equity,780537500000.0,699613252000.0,624095878000.0,412059517000.0
Fixed Assets Revaluation Reserve,74892350000.0,85062325000.0,82842370000.0,63327904000.0
Additional Paid In Capital,139838471000.0,139838471000.0,301563638000.0,183673970000.0
Capital Stock,18141300000.0,18141303000.0,16467382000.0,10302334000.0
Common Stock,18141300000.0,18141303000.0,16467382000.0,10302334000.0
Total Liabilities Net Minority Interest,13020720200000.0,11868775221000.0,11163366349000.0,6995042155000.0
Long Term Debt And Capital Lease Obligation,580731700000.0,478012461000.0,496720447000.0,415907807000.0
Payables,77651134000.0,27982954000.0,26202941000.0,20682523000.0
Accounts Payable,77651134000.0,27982954000.0,26202941000.0,20682523000.0
Total Assets,13810295600000.0,12576635382000.0,11795395995000.0,7414402702000.0
Investments And Advances,3528926500000.0,3113472359000.0,2861912530000.0,1926453716000.0
Investmentin Financial Assets,3528926500000.0,3076391645000.0,2830233296000.0,1910203615000.0
Available For Sale Securities,56506230000.0,53682188000.0,126274385000.0,52981343000.0
Long Term Equity Investment,42857404000.0,37080714000.0,31679234000.0,16250101000.0
Investmentsin Associatesat Cost,42857404000.0,37080714000.0,31679234000.0,16250101000.0
Net PPE,103339600000.0,114497028000.0,112711656000.0,83233502000.0
Accumulated Depreciation,-77276472000.0,-72061073000.0,-66676925000.0,-43946620000.0
Gross PPE,180616139000.0,186558101000.0,179388581000.0,127180122000.0
Construction In Progress,0.0,23423000.0,23423000.0,0.0
Other Properties,80695910000.0,76257930000.0,72704841000.0,44764665000.0
Properties,99920229000.0,110276748000.0,106660317000.0,82415457000.0
Prepaid Assets,196405832000.0,160855066000.0,137206214000.0,130971819000.0
Receivables,135889393000.0,127137762000.0,140491603000.0,213695314000.0
Cash And Cash Equivalents,1417028200000.0,1823914242000.0,1788663784000.0,685898165000.0
Cash Equivalents,206973522000.0,468441165000.0,731234939000.0,214905549000.0
Cash Financial,550452900000.0,41051841000.0,44047042000.0,46011694000.0
