,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,20547600000.0,26247500000.0,29362800000.0,20684400000.0
Repayment Of Debt,-439000000.0,-10412100000.0,-10217500000.0,-19477400000.0
Issuance Of Debt,0.0,0.0,704900000.0,2116300000.0
Issuance Of Capital Stock,700000.0,-27000000.0,-359500000.0,1100000.0
Capital Expenditure,-11828900000.0,-7011500000.0,-8189200000.0,-10000100000.0
End Cash Position,5613300000.0,6581100000.0,7932900000.0,7423800000.0
Beginning Cash Position,6581100000.0,7904300000.0,7423800000.0,5083600000.0
Effect Of Exchange Rate Changes,123700000.0,134500000.0,127900000.0,103500000.0
Changes In Cash,-1091500000.0,-1457700000.0,381200000.0,2236700000.0
Financing Cash Flow,-9582900000.0,-15997900000.0,-13299000000.0,-29488200000.0
Net Other Financing Charges,-42700000.0,-197500000.0,-53600000.0,-4611300000.0
Interest Paid Cff,-650000000.0,-756600000.0,-1207400000.0,-1635200000.0
Cash Dividends Paid,-4035000000.0,-4033500000.0,0.0,-5642600000.0
Common Stock Dividend Paid,-4035000000.0,0.0,0.0,-5642600000.0
Net Common Stock Issuance,700000.0,-27000000.0,-359500000.0,1100000.0
Common Stock Issuance,700000.0,-27000000.0,-359500000.0,1100000.0
Net Issuance Payments Of Debt,-3519000000.0,-10062300000.0,-10835200000.0,-16841900000.0
Net Short Term Debt Issuance,-3080000000.0,349800000.0,-1322600000.0,519200000.0
Net Long Term Debt Issuance,-439000000.0,-10412100000.0,-9512600000.0,-17361100000.0
Long Term Debt Payments,-439000000.0,-10412100000.0,-10217500000.0,-19477400000.0
Long Term Debt Issuance,0.0,0.0,704900000.0,2116300000.0
Investing Cash Flow,-23885100000.0,-18718800000.0,-23871800000.0,1040400000.0
Net Other Investing Changes,-4540200000.0,263400000.0,-4019500000.0,-1383800000.0
Interest Received Cfi,1140100000.0,469900000.0,405500000.0,500900000.0
Dividends Received Cfi,0.0,100000.0,216400000.0,600000.0
Net Investment Purchase And Sale,-8878600000.0,-12462300000.0,-12449800000.0,12100100000.0
Sale Of Investment,0.0,1706400000.0,0.0,12100100000.0
Purchase Of Investment,-8878600000.0,-14168700000.0,-12449800000.0,0.0
Net Business Purchase And Sale,-251300000.0,-180200000.0,-110500000.0,-320500000.0
Sale Of Business,257700000.0,0.0,26000000.0,12700000.0
Purchase Of Business,-509000000.0,-180200000.0,-136500000.0,-333200000.0
Net Intangibles Purchase And Sale,-3235000000.0,-1532600000.0,-1837800000.0,-4272400000.0
Sale Of Intangibles,188600000.0,37800000.0,54800000.0,0.0
Purchase Of Intangibles,-3423600000.0,-1570400000.0,-1892600000.0,-4272400000.0
Net PPE Purchase And Sale,-8120100000.0,-5277100000.0,-6076100000.0,-5584500000.0
Sale Of PPE,285200000.0,164000000.0,220500000.0,143200000.0
Purchase Of PPE,-8405300000.0,-5441100000.0,-6296600000.0,-5727700000.0
Operating Cash Flow,32376500000.0,33259000000.0,37552000000.0,30684500000.0
Taxes Refund Paid,-13018900000.0,-11395000000.0,-10374300000.0,-8482500000.0
Change In Working Capital,-5594200000.0,-1774600000.0,3716600000.0,3729900000.0
Change In Payable,-182100000.0,3622900000.0,2030500000.0,4872800000.0
Change In Inventory,1107700000.0,-6211100000.0,-2543200000.0,-3315500000.0
Change In Receivables,-6519800000.0,813600000.0,4229300000.0,2172600000.0
Other Non Cash Items,-605800000.0,90000000.0,986100000.0,1176200000.0
Stock Based Compensation,390400000.0,241200000.0,195400000.0,236500000.0
Provisionand Write Offof Assets,-366800000.0,-408200000.0,394800000.0,1802700000.0
Depreciation And Amortization,11721100000.0,9900800000.0,10676600000.0,11746500000.0
Amortization Cash Flow,3141700000.0,3065200000.0,0.0,0.0
Depreciation,11721100000.0,6835600000.0,10676600000.0,11746500000.0
Gain Loss On Investment Securities,-1430700000.0,-792500000.0,-865100000.0,-1008000000.0
Net Foreign Currency Exchange Gain Loss,-562000000.0,111500000.0,-86400000.0,-319000000.0
Gain Loss On Sale Of PPE,-15800000.0,-86800000.0,-30100000.0,-26200000.0
Gain Loss On Sale Of Business,0.0,0.0,37800000.0,46600000.0
Net Income From Continuing Operations,42207700000.0,36753900000.0,32900600000.0,21781800000.0
