,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,2134440000.0,-274550000.0,1303560000.0,1305580000.0
Issuance Of Capital Stock,157460000.0,637640000.0,0.0,0.0
Capital Expenditure,-1933180000.0,-2839670000.0,-550860000.0,-835980000.0
End Cash Position,963140000.0,643470000.0,1335140000.0,1591300000.0
Other Cash Adjustment Outside Changein Cash,10000.0,0.0,0.0,0.0
Beginning Cash Position,643470000.0,1335140000.0,1591300000.0,1220330000.0
Changes In Cash,319660000.0,-691670000.0,-256160000.0,370970000.0
Financing Cash Flow,-521730000.0,5690000.0,-617190000.0,-576170000.0
Net Other Financing Charges,0.0,0.0,-20000.0,0.0
Interest Paid Cff,-184460000.0,-143900000.0,-82320000.0,-73150000.0
Cash Dividends Paid,-154060000.0,-226440000.0,-362600000.0,-321160000.0
Net Common Stock Issuance,157460000.0,637640000.0,0.0,0.0
Common Stock Issuance,157460000.0,637640000.0,0.0,0.0
Investing Cash Flow,-3226230000.0,-3262480000.0,-1493390000.0,-1194420000.0
Net Investment Purchase And Sale,-1312620000.0,-285990000.0,-991620000.0,-362730000.0
Sale Of Investment,11337230000.0,8863220000.0,4887100000.0,3670160000.0
Purchase Of Investment,-12649850000.0,-9149210000.0,-5878720000.0,-4032890000.0
Net Business Purchase And Sale,0.0,0.0,0.0,0.0
Purchase Of Business,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-1913610000.0,-2832630000.0,-501770000.0,-831690000.0
Sale Of PPE,19570000.0,7040000.0,49090000.0,4290000.0
Purchase Of PPE,-1933180000.0,-2839670000.0,-550860000.0,-835980000.0
Operating Cash Flow,4067620000.0,2565120000.0,1854420000.0,2141560000.0
Taxes Refund Paid,-1084990000.0,-975820000.0,-569160000.0,-493280000.0
Change In Working Capital,-1317970000.0,-1365990000.0,-978880000.0,-573200000.0
Change In Other Current Assets,853070000.0,-507510000.0,152340000.0,-775130000.0
Change In Payable,-824020000.0,-421030000.0,282540000.0,1325080000.0
Change In Inventory,-106870000.0,265450000.0,-464290000.0,-14060000.0
Change In Receivables,-1251740000.0,-724270000.0,-949820000.0,-1101280000.0
Other Non Cash Items,102980000.0,101240000.0,-43570000.0,52580000.0
Stock Based Compensation,92800000.0,61190000.0,19610000.0,10480000.0
Provisionand Write Offof Assets,0.0,595130000.0,206000000.0,133600000.0
Depreciation And Amortization,1318180000.0,918450000.0,634550000.0,565870000.0
Amortization Cash Flow,91870000.0,82880000.0,0.0,0.0
Depreciation,1318180000.0,835570000.0,634550000.0,565870000.0
Gain Loss On Investment Securities,-41940000.0,-24700000.0,-11560000.0,-17200000.0
Net Foreign Currency Exchange Gain Loss,-780000.0,-1040000.0,-3320000.0,1730000.0
Gain Loss On Sale Of PPE,-11310000.0,-5380000.0,-1400000.0,-3730000.0
Net Income From Continuing Operations,4010170000.0,3014450000.0,2377500000.0,1950610000.0
