,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-225802621.9708,-143564512.0,-201338956.0
Tax Rate For Calcs,0.2587,0.2567,0.2912,0.3094
Normalized EBITDA,5524500000.0,4956140000.0,3587380000.0,3240370000.0
Total Unusual Items,-989080000.0,-879340000.0,-493010000.0,-650740000.0
Total Unusual Items Excluding Goodwill,-989080000.0,-879340000.0,-493010000.0,-650740000.0
Net Income From Continuing Operation Net Minority Interest,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Reconciled Depreciation,1318180000.0,918450000.0,634550000.0,565870000.0
Reconciled Cost Of Revenue,1161740000.0,1807880000.0,2028100000.0,2147520000.0
EBITDA,5524500000.0,4076800000.0,3094370000.0,2589630000.0
EBIT,4206320000.0,3158350000.0,2459820000.0,2023760000.0
Net Interest Income,-126550000.0,-109050000.0,-23130000.0,-43870000.0
Interest Expense,196150000.0,143900000.0,82320000.0,73150000.0
Interest Income,69600000.0,34850000.0,59190000.0,29280000.0
Normalized Income,2972360000.0,2893917378.0291,2034675488.0,1796491044.0
Net Income From Continuing And Discontinued Operation,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Total Expenses,15088160000.0,11908040000.0,10253420000.0,11180870000.0
Diluted Average Shares,159223482.0,156326888.0,151914481.0,151907106.0
Basic Average Shares,153893100.0,148706864.0,148000000.0,148000000.0
Diluted EPS,18.67,14.33,11.09,8.87
Basic EPS,19.31,15.07,11.39,9.1
Diluted NI Availto Com Stockholders,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Net Income Common Stockholders,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Net Income Including Noncontrolling Interests,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Net Income Continuous Operations,2972360000.0,2240380000.0,1685230000.0,1347090000.0
Tax Provision,1037810000.0,774070000.0,692270000.0,603520000.0
Pretax Income,4010170000.0,3014450000.0,2377500000.0,1950610000.0
Other Non Operating Income Expenses,77580000.0,9850000.0,73870000.0,350000.0
Special Income Charges,-1031020000.0,-904040000.0,-504570000.0,-667940000.0
Other Special Charges,-11310000.0,-5380000.0,-1400000.0,-3730000.0
Write Off,1042330000.0,909420000.0,505970000.0,671670000.0
Net Non Operating Interest Income Expense,-126550000.0,-109050000.0,-23130000.0,-43870000.0
Interest Expense Non Operating,196150000.0,143900000.0,82320000.0,73150000.0
Interest Income Non Operating,69600000.0,34850000.0,59190000.0,29280000.0
Operating Income,4059140000.0,3988670000.0,2807480000.0,2651510000.0
Operating Expense,13926420000.0,10100160000.0,8225320000.0,9033350000.0
Other Operating Expenses,9959350000.0,6252000000.0,5001810000.0,5785960000.0
Depreciation And Amortization In Income Statement,1318180000.0,918430000.0,634550000.0,565870000.0
Depreciation Income Statement,1318180000.0,918430000.0,634550000.0,565870000.0
Selling General And Administration,937170000.0,614280000.0,573120000.0,487990000.0
General And Administrative Expense,937170000.0,614280000.0,573120000.0,487990000.0
Gross Profit,17985560000.0,14088830000.0,11032800000.0,11684860000.0
Cost Of Revenue,1161740000.0,1807880000.0,2028100000.0,2147520000.0
Total Revenue,19147300000.0,15896710000.0,13060900000.0,13832380000.0
Operating Revenue,19147300000.0,15896710000.0,13060900000.0,13832380000.0
