,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-500540004.8051,294154580.0,150856930.0,-91615040.0
Tax Rate For Calcs,0.2598,0.2641,0.2947,0.3062
Normalized EBITDA,435529900000.0,283903800000.0,221134300000.0,279863700000.0
Total Unusual Items,-1926000000.0,1113800000.0,511900000.0,-299200000.0
Total Unusual Items Excluding Goodwill,-1926000000.0,1113800000.0,511900000.0,-299200000.0
Net Income From Continuing Operation Net Minority Interest,281651900000.0,173581000000.0,126998900000.0,167141900000.0
Reconciled Depreciation,46752700000.0,44286700000.0,37089200000.0,34508400000.0
Reconciled Cost Of Revenue,207837800000.0,189213600000.0,117635400000.0,120218000000.0
EBITDA,433603900000.0,285017600000.0,221646200000.0,279564500000.0
EBIT,386851200000.0,240730900000.0,184557000000.0,245056100000.0
Net Interest Income,-6843100000.0,11455000000.0,8827200000.0,28067500000.0
Interest Expense,6843100000.0,4568100000.0,4464600000.0,4342900000.0
Interest Income,0.0,16334900000.0,15274100000.0,33096700000.0
Normalized Income,283077359995.1948,172761354580.0,126637856930.0,167349484960.0
Net Income From Continuing And Discontinued Operation,281651900000.0,173581000000.0,126998900000.0,167141900000.0
Total Expenses,855914200000.0,801680100000.0,665925400000.0,654890600000.0
Rent Expense Supplemental,0.0,141186800000.0,109074800000.0,92711400000.0
Diluted Average Shares,6163061269.0,6161909833.0,6162728327.0,6162728327.0
Basic Average Shares,6163061269.0,6161909833.0,6162728327.0,6162728327.0
Diluted EPS,45.7,28.17,20.61,27.12
Basic EPS,45.7,28.17,20.61,27.12
Diluted NI Availto Com Stockholders,281651900000.0,173581000000.0,126998900000.0,167141900000.0
Net Income Common Stockholders,281651900000.0,173581000000.0,126998900000.0,167141900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,281651900000.0,173581000000.0,126998900000.0,167141900000.0
Minority Interests,402500000.0,-203200000.0,-22800000.0,138500000.0
Net Income Including Noncontrolling Interests,281249400000.0,173784200000.0,127021700000.0,167003400000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,281249400000.0,173784200000.0,127021700000.0,167003400000.0
Tax Provision,98758700000.0,62378600000.0,53070700000.0,73709800000.0
Pretax Income,380008100000.0,236162800000.0,180092400000.0,240713200000.0
Other Non Operating Income Expenses,-31501900000.0,20681000000.0,7450300000.0,-29035800000.0
Special Income Charges,-1926000000.0,-270400000.0,-68300000.0,-299200000.0
Other Special Charges,0.0,154800000.0,10200000.0,5500000.0
Write Off,1926000000.0,115600000.0,58100000.0,293700000.0
Net Non Operating Interest Income Expense,-6843100000.0,11455000000.0,8827200000.0,28067500000.0
Total Other Finance Cost,0.0,311800000.0,1982300000.0,686300000.0
Interest Expense Non Operating,6843100000.0,4568100000.0,4464600000.0,4342900000.0
Interest Income Non Operating,0.0,16334900000.0,15274100000.0,33096700000.0
Operating Income,420360500000.0,202960500000.0,163217200000.0,240543600000.0
Operating Expense,648076400000.0,612466500000.0,548290000000.0,534672600000.0
Other Operating Expenses,260229200000.0,154238300000.0,121291900000.0,110829400000.0
Research And Development,0.0,318200000.0,275200000.0,89400000.0
Selling General And Administration,0.0,2209400000.0,1788400000.0,2570800000.0
Selling And Marketing Expense,0.0,267000000.0,226300000.0,557400000.0
General And Administrative Expense,0.0,1942400000.0,1562100000.0,2013400000.0
Rent And Landing Fees,0.0,141186800000.0,109074800000.0,92711400000.0
Gross Profit,1068436900000.0,815427000000.0,711507200000.0,775216200000.0
Cost Of Revenue,207837800000.0,189213600000.0,117635400000.0,120218000000.0
Total Revenue,1276274700000.0,1004640600000.0,829142600000.0,895434200000.0
Operating Revenue,1276274700000.0,1004640600000.0,829142600000.0,895434200000.0
