,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,61095827.0,60913152.0,60592349.0,62494559.0
Share Issued,61095827.0,60913152.0,60592349.0,62494559.0
Total Debt,5622000000.0,4896000000.0,826000000.0,1325000000.0
Tangible Book Value,14526000000.0,12510000000.0,18971000000.0,17977000000.0
Invested Capital,34207000000.0,30876000000.0,24671000000.0,24312000000.0
Working Capital,8671000000.0,10417000000.0,12870000000.0,13568000000.0
Net Tangible Assets,14526000000.0,12510000000.0,18971000000.0,17977000000.0
Capital Lease Obligations,2240000000.0,1351000000.0,816000000.0,978000000.0
Common Stock Equity,30825000000.0,27331000000.0,24661000000.0,23965000000.0
Total Capitalization,34207000000.0,30696000000.0,24664000000.0,24010000000.0
Total Equity Gross Minority Interest,31699000000.0,28314000000.0,24661000000.0,23965000000.0
Minority Interest,874000000.0,983000000.0,0.0,0.0
Stockholders Equity,30825000000.0,27331000000.0,24661000000.0,23965000000.0
Other Equity Interest,30214000000.0,575000000.0,523000000.0,83000000.0
Retained Earnings,25080000000.0,22401000000.0,20375000000.0,19415000000.0
Additional Paid In Capital,671000000.0,420000000.0,75000000.0,1070000000.0
Capital Stock,611000000.0,609000000.0,606000000.0,625000000.0
Common Stock,611000000.0,609000000.0,606000000.0,625000000.0
Total Liabilities Net Minority Interest,25135000000.0,21230000000.0,10473000000.0,10433000000.0
Total Non Current Liabilities Net Minority Interest,7742000000.0,9438000000.0,2048000000.0,2491000000.0
Other Non Current Liabilities,59000000.0,51000000.0,1000000.0,0.0
Derivative Product Liabilities,0.0,0.0,0.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,1276000000.0,1047000000.0,696000000.0,0.0
Non Current Accrued Expenses,0.0,0.0,0.0,0.0
Tradeand Other Payables Non Current,332000000.0,364000000.0,470000000.0,206000000.0
Non Current Deferred Revenue,59000000.0,51000000.0,36000000.0,0.0
Non Current Deferred Taxes Liabilities,583000000.0,766000000.0,295000000.0,397000000.0
Long Term Debt And Capital Lease Obligation,5168000000.0,4302000000.0,551000000.0,706000000.0
Long Term Capital Lease Obligation,1786000000.0,937000000.0,548000000.0,661000000.0
Long Term Debt,3382000000.0,3365000000.0,3000000.0,45000000.0
Long Term Provisions,0.0,0.0,696000000.0,593000000.0
Current Liabilities,17393000000.0,11792000000.0,8425000000.0,7942000000.0
Other Current Liabilities,2721000000.0,1605000000.0,3607000000.0,0.0
Current Debt And Capital Lease Obligation,454000000.0,594000000.0,275000000.0,619000000.0
Current Capital Lease Obligation,454000000.0,414000000.0,268000000.0,317000000.0
Current Debt,0.0,180000000.0,7000000.0,302000000.0
Pensionand Other Post Retirement Benefit Plans Current,360000000.0,316000000.0,1740000000.0,1595000000.0
Current Provisions,0.0,0.0,225000000.0,329000000.0
Payables,6481000000.0,10288000000.0,5105000000.0,3608000000.0
Other Payable,3380000000.0,3949000000.0,1540000000.0,917000000.0
Dividends Payable,23000000.0,20000000.0,17000000.0,16000000.0
Total Tax Payable,6000000.0,159000000.0,150000000.0,41000000.0
Accounts Payable,6481000000.0,6160000000.0,3398000000.0,2634000000.0
Total Assets,56834000000.0,49544000000.0,35134000000.0,34398000000.0
Total Non Current Assets,30770000000.0,27335000000.0,13839000000.0,12888000000.0
Other Non Current Assets,1364000000.0,1045000000.0,254000000.0,0.0
Non Current Prepaid Assets,409000000.0,419000000.0,221000000.0,141000000.0
Non Current Deferred Assets,1178000000.0,819000000.0,64000000.0,22000000.0
Non Current Deferred Taxes Assets,3757000000.0,2736000000.0,1548000000.0,1302000000.0
Financial Assets,0.0,0.0,0.0,0.0
Investmentin Financial Assets,479000000.0,8000000.0,0.0,38000000.0
Available For Sale Securities,479000000.0,8000000.0,1829000000.0,38000000.0
Goodwill And Other Intangible Assets,16299000000.0,14821000000.0,5690000000.0,5988000000.0
Other Intangible Assets,4634000000.0,4113000000.0,1464000000.0,1897000000.0
Goodwill,11665000000.0,10708000000.0,4226000000.0,4091000000.0
Net PPE,6866000000.0,6014000000.0,4518000000.0,4808000000.0
Accumulated Depreciation,-3915000000.0,-4003000000.0,-3553000000.0,-2944000000.0
Gross PPE,6866000000.0,10017000000.0,8071000000.0,7752000000.0
Construction In Progress,46000000.0,86000000.0,2000000.0,3000000.0
Other Properties,6820000000.0,1476000000.0,614000000.0,792000000.0
Machinery Furniture Equipment,5282000000.0,5564000000.0,4695000000.0,4248000000.0
Buildings And Improvements,5046000000.0,2795000000.0,2437000000.0,2435000000.0
Land And Improvements,407000000.0,96000000.0,323000000.0,274000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,26064000000.0,22209000000.0,21295000000.0,21510000000.0
Other Current Assets,2447000000.0,101000000.0,1079000000.0,0.0
Hedging Assets Current,39000000.0,162000000.0,167000000.0,12000000.0
Assets Held For Sale Current,0.0,0.0,0.0,0.0
Current Deferred Assets,734000000.0,336000000.0,43000000.0,34000000.0
Restricted Cash,23000000.0,20000000.0,17000000.0,16000000.0
Prepaid Assets,1837000000.0,1631000000.0,1506000000.0,1441000000.0
Other Receivables,1512000000.0,1184000000.0,1518000000.0,2373000000.0
