,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,7923000000.0,6115000000.0,6841000000.0,2244000000.0
Repurchase Of Capital Stock,0.0,-729000000.0,-4166000000.0,0.0
Repayment Of Debt,-180000000.0,-59000000.0,-306000000.0,-42000000.0
Issuance Of Debt,0.0,3578000000.0,0.0,281000000.0
Issuance Of Capital Stock,18000000.0,51000000.0,18000000.0,275000000.0
Capital Expenditure,-1582000000.0,-1541000000.0,-782000000.0,-725000000.0
End Cash Position,5699000000.0,4468000000.0,7999000000.0,8195000000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,0.0,-115000000.0
Beginning Cash Position,4468000000.0,7999000000.0,8195000000.0,5194000000.0
Effect Of Exchange Rate Changes,24000000.0,-65000000.0,66000000.0,113000000.0
Changes In Cash,1207000000.0,-3466000000.0,-262000000.0,3003000000.0
Other Cash Adjustment Inside Changein Cash,0.0,0.0,0.0,238000000.0
Financing Cash Flow,-5582000000.0,-1558000000.0,-5531000000.0,-1327000000.0
Net Other Financing Charges,0.0,-729000000.0,0.0,0.0
Interest Paid Cff,-714000000.0,-265000000.0,-79000000.0,-85000000.0
Cash Dividends Paid,-3534000000.0,-3152000000.0,-686000000.0,-1469000000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-1469000000.0
Net Common Stock Issuance,18000000.0,-678000000.0,-4148000000.0,275000000.0
Common Stock Payments,0.0,-729000000.0,-4166000000.0,0.0
Common Stock Issuance,18000000.0,51000000.0,18000000.0,275000000.0
Net Issuance Payments Of Debt,-180000000.0,3519000000.0,-306000000.0,239000000.0
Net Long Term Debt Issuance,-180000000.0,3519000000.0,-306000000.0,239000000.0
Long Term Debt Payments,-180000000.0,-59000000.0,-306000000.0,-42000000.0
Long Term Debt Issuance,0.0,3578000000.0,0.0,281000000.0
Investing Cash Flow,-2716000000.0,-9564000000.0,-2354000000.0,1123000000.0
Interest Received Cfi,43000000.0,18000000.0,73000000.0,71000000.0
Dividends Received Cfi,0.0,0.0,0.0,12000000.0
Net Investment Purchase And Sale,0.0,450000000.0,21000000.0,3702000000.0
Sale Of Investment,0.0,450000000.0,21000000.0,10489000000.0
Purchase Of Investment,0.0,0.0,0.0,-6787000000.0
Net Business Purchase And Sale,-1222000000.0,-8557000000.0,-1691000000.0,-1959000000.0
Sale Of Business,0.0,0.0,0.0,897000000.0
Purchase Of Business,-1222000000.0,-8557000000.0,-1691000000.0,-2856000000.0
Net PPE Purchase And Sale,-1537000000.0,-1475000000.0,-757000000.0,-703000000.0
Sale Of PPE,45000000.0,66000000.0,25000000.0,22000000.0
Purchase Of PPE,-1582000000.0,-1541000000.0,-782000000.0,-725000000.0
Capital Expenditure Reported,0.0,0.0,0.0,-725000000.0
Operating Cash Flow,9505000000.0,7656000000.0,7623000000.0,2969000000.0
Taxes Refund Paid,-2800000000.0,-2646000000.0,-1682000000.0,-1814000000.0
Change In Working Capital,-1027000000.0,-1433000000.0,502000000.0,-2664000000.0
Change In Other Current Liabilities,1104000000.0,19000000.0,1112000000.0,35000000.0
Change In Other Current Assets,-487000000.0,-676000000.0,-784000000.0,-1549000000.0
Change In Payable,175000000.0,2153000000.0,785000000.0,958000000.0
Change In Receivables,-2126000000.0,-3152000000.0,-691000000.0,-2071000000.0
Other Non Cash Items,652000000.0,511000000.0,-2000000.0,27000000.0
Stock Based Compensation,544000000.0,355000000.0,476000000.0,63000000.0
Provisionand Write Offof Assets,72000000.0,16000000.0,523000000.0,-64000000.0
Depreciation And Amortization,2585000000.0,2272000000.0,1836000000.0,1730000000.0
Amortization Cash Flow,1271000000.0,1049000000.0,0.0,0.0
Depreciation,2585000000.0,1223000000.0,1836000000.0,1730000000.0
Gain Loss On Investment Securities,-46000000.0,-34000000.0,-8000000.0,-220000000.0
Gain Loss On Sale Of PPE,13000000.0,0.0,16000000.0,13000000.0
Gain Loss On Sale Of Business,0.0,0.0,0.0,-96000000.0
Net Income From Continuing Operations,9512000000.0,8615000000.0,5962000000.0,5954000000.0
