,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,173485827.0,173485827.0,173485827.0,173455827.0
Share Issued,173485827.0,173485827.0,173485827.0,173455827.0
Net Debt,0.0,2107253000.0,0.0,0.0
Total Debt,7829700000.0,18314688000.0,5499194000.0,114330000.0
Tangible Book Value,32036300000.0,26513980000.0,21802268000.0,19606645000.0
Invested Capital,39866000000.0,44828668000.0,27301462000.0,19720975000.0
Net Tangible Assets,32036300000.0,26513980000.0,21802268000.0,19606645000.0
Common Stock Equity,32036300000.0,26513980000.0,21802268000.0,19606645000.0
Total Capitalization,39866000000.0,44828668000.0,27301462000.0,19720975000.0
Total Equity Gross Minority Interest,32036300000.0,26513980000.0,21802268000.0,19606645000.0
Stockholders Equity,32036300000.0,26513980000.0,21802268000.0,19606645000.0
Other Equity Interest,183193000.0,134523000.0,7750000.0,0.0
Fixed Assets Revaluation Reserve,1520217000.0,1532158000.0,1544728000.0,1562181000.0
Retained Earnings,2072918000.0,-1988251000.0,-5094922000.0,-5139586000.0
Additional Paid In Capital,17921080000.0,17921080000.0,17921080000.0,17916962000.0
Capital Stock,1735400000.0,1735381000.0,1735381000.0,1735081000.0
Common Stock,1735400000.0,1735381000.0,1735381000.0,1735081000.0
Total Liabilities Net Minority Interest,259586500000.0,227048742000.0,211571270000.0,169035736000.0
Long Term Debt And Capital Lease Obligation,7829700000.0,18314688000.0,5499194000.0,114330000.0
Payables,1783209000.0,1118279000.0,2199205000.0,910219000.0
Other Payable,934666000.0,314115000.0,1058469000.0,114330000.0
Accounts Payable,848543000.0,804164000.0,1140736000.0,795889000.0
Total Assets,291622800000.0,253562722000.0,233373538000.0,188642381000.0
Investments And Advances,58487000000.0,70116186000.0,61259907000.0,53598353000.0
Investmentin Financial Assets,58487000000.0,70116186000.0,61259907000.0,53598353000.0
Available For Sale Securities,2533589000.0,3402673000.0,6080988000.0,6360818000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,3193600000.0,2878632000.0,2694891000.0,2282684000.0
Accumulated Depreciation,-2696836000.0,-2317408000.0,-1952667000.0,-1308425000.0
Gross PPE,3193600000.0,5196040000.0,4647558000.0,3591109000.0
Other Properties,3193600000.0,3380742000.0,2832260000.0,1764441000.0
Properties,1815561000.0,1815298000.0,1815298000.0,1826668000.0
Prepaid Assets,420715000.0,624561000.0,603184000.0,664600000.0
Receivables,7056591000.0,6108140000.0,7144184000.0,6129617000.0
Cash And Cash Equivalents,18367100000.0,16207435000.0,21193223000.0,11678951000.0
Cash Equivalents,0.0,5250000000.0,4050000000.0,0.0
Cash Financial,14699100000.0,1021376000.0,872707000.0,983849000.0
