,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,311501733.0,310976463.0,310536113.0,310415413.0
Share Issued,311501733.0,310976463.0,310536113.0,310415413.0
Net Debt,17497000000.0,5810210000.0,18152146000.0,1289631000.0
Total Debt,41181200000.0,46717814000.0,48545566000.0,36748331000.0
Tangible Book Value,45661100000.0,40488243000.0,37585879000.0,34221517000.0
Invested Capital,86842300000.0,87206057000.0,86131445000.0,70969848000.0
Net Tangible Assets,45661100000.0,40488243000.0,37585879000.0,34221517000.0
Common Stock Equity,45661100000.0,40488243000.0,37585879000.0,34221517000.0
Total Capitalization,86842300000.0,87206057000.0,86131445000.0,70969848000.0
Total Equity Gross Minority Interest,45661100000.0,40488243000.0,37585879000.0,34221517000.0
Stockholders Equity,45661100000.0,40488243000.0,37585879000.0,34221517000.0
Other Equity Interest,30800000.0,13151000.0,9542000.0,9794000.0
Fixed Assets Revaluation Reserve,2969261000.0,2253342000.0,2313618000.0,2373894000.0
Retained Earnings,13848797000.0,11072702000.0,9385296000.0,7626091000.0
Additional Paid In Capital,13700478000.0,13676061000.0,13656753000.0,13651244000.0
Capital Stock,3115000000.0,3109765000.0,3105361000.0,3104154000.0
Common Stock,3115000000.0,3109765000.0,3105361000.0,3104154000.0
Total Liabilities Net Minority Interest,477997600000.0,407913173000.0,358435410000.0,350829890000.0
Long Term Debt And Capital Lease Obligation,41181200000.0,46717814000.0,48545566000.0,36748331000.0
Payables,4616047000.0,3821848000.0,4249081000.0,4414544000.0
Accounts Payable,4616047000.0,3821848000.0,4249081000.0,4414544000.0
Total Assets,523658700000.0,448401416000.0,396021289000.0,385051407000.0
Investments And Advances,125824600000.0,90982339000.0,84136927000.0,77415027000.0
Investmentin Financial Assets,125824600000.0,90982339000.0,84136927000.0,77415027000.0
Available For Sale Securities,279303000.0,864297000.0,766390000.0,487268000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,8262700000.0,6611838000.0,5685098000.0,5458728000.0
Accumulated Depreciation,-5089435000.0,-4408729000.0,-3924088000.0,-3394053000.0
Gross PPE,13352115000.0,11020567000.0,9609186000.0,8852781000.0
Construction In Progress,435964000.0,528226000.0,0.0,0.0
Other Properties,5776547000.0,4835803000.0,4383578000.0,3741985000.0
Machinery Furniture Equipment,0.0,0.0,4383578000.0,3741985000.0
Properties,7139604000.0,5656538000.0,5225608000.0,5110796000.0
Prepaid Assets,712710000.0,686165000.0,641209000.0,559344000.0
Receivables,12859984000.0,10176834000.0,3230136000.0,2507385000.0
Cash And Cash Equivalents,23684200000.0,40907604000.0,30393420000.0,35458700000.0
Cash Equivalents,0.0,1463523000.0,3599676000.0,0.0
Cash Financial,20306000000.0,1917985000.0,1973833000.0,2218117000.0
