,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,265468580.0,265468580.0,265468580.0,265468580.0
Share Issued,265468580.0,265468580.0,265468580.0,265468580.0
Total Debt,32600000.0,36900000.0,48300000.0,388500000.0
Tangible Book Value,127618100000.0,117206900000.0,92896600000.0,73063200000.0
Invested Capital,127670900000.0,117281800000.0,92949600000.0,73435500000.0
Working Capital,82106600000.0,71559500000.0,50622500000.0,37530000000.0
Net Tangible Assets,127618100000.0,117206900000.0,92896600000.0,73063200000.0
Capital Lease Obligations,32600000.0,36900000.0,44800000.0,52200000.0
Common Stock Equity,127670900000.0,117281800000.0,92946100000.0,73099200000.0
Total Capitalization,127670900000.0,117281800000.0,92946100000.0,73099200000.0
Total Equity Gross Minority Interest,127670900000.0,117281800000.0,92946100000.0,73099200000.0
Stockholders Equity,127670900000.0,117281800000.0,92946100000.0,73099200000.0
Other Equity Interest,127140000000.0,116750900000.0,92415200000.0,0.0
Retained Earnings,109581100000.0,99888500000.0,75977200000.0,57942800000.0
Additional Paid In Capital,798800000.0,798800000.0,798800000.0,798800000.0
Capital Stock,530900000.0,530900000.0,530900000.0,530900000.0
Common Stock,530900000.0,530900000.0,530900000.0,530900000.0
Total Liabilities Net Minority Interest,16716800000.0,16465300000.0,14794600000.0,12257800000.0
Total Non Current Liabilities Net Minority Interest,5706000000.0,4509800000.0,3670000000.0,2989500000.0
Non Current Pension And Other Postretirement Benefit Plans,306200000.0,267100000.0,252500000.0,205200000.0
Non Current Deferred Taxes Liabilities,5372100000.0,4214000000.0,3380600000.0,2739600000.0
Long Term Debt And Capital Lease Obligation,27700000.0,28700000.0,36900000.0,44700000.0
Long Term Capital Lease Obligation,27700000.0,28700000.0,36900000.0,44700000.0
Long Term Provisions,306200000.0,267100000.0,252500000.0,0.0
Current Liabilities,11010800000.0,11955500000.0,11124600000.0,9268300000.0
Other Current Liabilities,2875600000.0,-102400000.0,-47200000.0,5400000.0
Current Deferred Taxes Liabilities,0.0,68000000.0,83400000.0,99300000.0
Current Debt And Capital Lease Obligation,4900000.0,8200000.0,11400000.0,343800000.0
Current Capital Lease Obligation,4900000.0,8200000.0,7900000.0,7500000.0
Current Debt,0.0,0.0,3500000.0,336300000.0
Pensionand Other Post Retirement Benefit Plans Current,49200000.0,41500000.0,25100000.0,24600000.0
Current Provisions,49200000.0,41500000.0,25100000.0,0.0
Payables,7647200000.0,11668000000.0,10849400000.0,8176200000.0
Other Payable,2819800000.0,3683500000.0,3181300000.0,2258100000.0
Dividends Payable,11400000.0,10700000.0,12500000.0,10900000.0
Total Tax Payable,22100000.0,16800000.0,23600000.0,0.0
Accounts Payable,7625100000.0,7957000000.0,7632000000.0,5907200000.0
Total Assets,144387700000.0,133747100000.0,107740700000.0,85357000000.0
Total Non Current Assets,51270300000.0,50232100000.0,45993600000.0,38558700000.0
Other Non Current Assets,210000000.0,548300000.0,562500000.0,100000.0
Non Current Prepaid Assets,987800000.0,1345900000.0,493500000.0,1450700000.0
Non Current Deferred Taxes Assets,142400000.0,144700000.0,32300000.0,43800000.0
Investmentin Financial Assets,1281400000.0,720100000.0,14600000.0,100000.0
Available For Sale Securities,1281400000.0,1297600000.0,14500000.0,0.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,770500000.0,720100000.0,100000.0,100000.0
Goodwill And Other Intangible Assets,52800000.0,74900000.0,49500000.0,36000000.0
Other Intangible Assets,52800000.0,74900000.0,49500000.0,36000000.0
Net PPE,49292000000.0,47874900000.0,44095400000.0,36979300000.0
Accumulated Depreciation,-16208400000.0,-12815200000.0,-9734700000.0,-7208600000.0
Gross PPE,49292000000.0,60690100000.0,53830100000.0,44187900000.0
Construction In Progress,2118800000.0,4699300000.0,7106200000.0,9196900000.0
Other Properties,47173200000.0,2171800000.0,1771600000.0,1438400000.0
Machinery Furniture Equipment,43346800000.0,37688400000.0,31763700000.0,23853500000.0
Buildings And Improvements,60500000.0,53000000.0,53000000.0,53000000.0
Land And Improvements,17536300000.0,16077600000.0,13135600000.0,9646100000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,93117400000.0,83515000000.0,61747100000.0,46798300000.0
Other Current Assets,2017700000.0,2175500000.0,1531900000.0,0.0
Restricted Cash,807300000.0,772200000.0,752100000.0,684700000.0
Prepaid Assets,645100000.0,1178700000.0,567400000.0,439900000.0
Inventory,30004100000.0,28286200000.0,21452300000.0,18638600000.0
Other Inventories,0.0,0.0,83800000.0,0.0
Finished Goods,3020000000.0,3191500000.0,2335700000.0,2673300000.0
Work In Process,15257100000.0,15315900000.0,10933400000.0,9809100000.0
Raw Materials,11727000000.0,9778800000.0,8099400000.0,6156200000.0
Other Receivables,17700000.0,26000000.0,362900000.0,351900000.0
Taxes Receivable,978700000.0,1595400000.0,997600000.0,2294600000.0
Accounts Receivable,17925300000.0,24238800000.0,16765200000.0,14133500000.0
Allowance For Doubtful Accounts Receivable,-58700000.0,-51200000.0,-55500000.0,-132700000.0
Gross Accounts Receivable,17984000000.0,24290000000.0,16820700000.0,14266200000.0
Cash Cash Equivalents And Short Term Investments,42191600000.0,27417700000.0,20849600000.0,10255100000.0
Other Short Term Investments,40494600000.0,15270100000.0,546400000.0,9823600000.0
Cash And Cash Equivalents,1697000000.0,12147600000.0,20303200000.0,431500000.0
Cash Equivalents,1407700000.0,11928800000.0,20085200000.0,200100000.0
Cash Financial,289300000.0,218800000.0,218000000.0,231400000.0
