,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,4018150000.0,3873300000.0,3257480000.0,2984800000.0
Repurchase Of Capital Stock,-3341020000.0,-3147090000.0,-1095000000.0,-2563750000.0
Repayment Of Debt,0.0,-3510000.0,-8160000.0,0.0
Issuance Of Debt,8190000.0,0.0,0.0,0.0
Issuance Of Capital Stock,218620000.0,281960000.0,0.0,6320000.0
Capital Expenditure,-907590000.0,-608410000.0,-388210000.0,-343160000.0
End Cash Position,4180070000.0,4203020000.0,3490200000.0,1745610000.0
Beginning Cash Position,4203020000.0,3490200000.0,1745610000.0,1256240000.0
Effect Of Exchange Rate Changes,295940000.0,14670000.0,27220000.0,60840000.0
Changes In Cash,-318890000.0,698150000.0,1717370000.0,428530000.0
Financing Cash Flow,-4400680000.0,-4163390000.0,-1883070000.0,-3082350000.0
Net Other Financing Charges,-650950000.0,-682380000.0,-252470000.0,-32120000.0
Interest Paid Cff,-211370000.0,-215200000.0,-199920000.0,-188100000.0
Cash Dividends Paid,-33110000.0,-34160000.0,-34010000.0,-36100000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-36100000.0
Net Common Stock Issuance,-3122400000.0,-2865130000.0,-1095000000.0,-2557430000.0
Common Stock Payments,-3341020000.0,-3147090000.0,-1095000000.0,-2563750000.0
Common Stock Issuance,218620000.0,281960000.0,0.0,6320000.0
Net Issuance Payments Of Debt,8190000.0,-3510000.0,-8160000.0,-8070000.0
Net Long Term Debt Issuance,8190000.0,-3510000.0,-8160000.0,-8070000.0
Long Term Debt Payments,0.0,-3510000.0,-8160000.0,0.0
Long Term Debt Issuance,8190000.0,0.0,0.0,0.0
Investing Cash Flow,-843950000.0,379830000.0,-45250000.0,182920000.0
Interest Received Cfi,64570000.0,42650000.0,129380000.0,214070000.0
Dividends Received Cfi,-160000.0,-260000.0,-100000.0,66500000.0
Net Investment Purchase And Sale,-7790000.0,1080660000.0,2373430000.0,237830000.0
Sale Of Investment,17190940000.0,14112500000.0,14501230000.0,13980400000.0
Purchase Of Investment,-17198730000.0,-13031840000.0,-12127800000.0,-13742570000.0
Net Business Purchase And Sale,0.0,-137980000.0,-2160710000.0,0.0
Purchase Of Business,0.0,-137980000.0,-2160710000.0,0.0
Net PPE Purchase And Sale,-900570000.0,-605240000.0,-387250000.0,-335480000.0
Sale Of PPE,7020000.0,3170000.0,960000.0,7680000.0
Purchase Of PPE,-907590000.0,-608410000.0,-388210000.0,-343160000.0
Capital Expenditure Reported,0.0,0.0,0.0,-343160000.0
Operating Cash Flow,4925740000.0,4481710000.0,3645690000.0,3327960000.0
Taxes Refund Paid,-1782030000.0,-1641700000.0,-1004320000.0,-590170000.0
Change In Working Capital,-872590000.0,-703950000.0,72830000.0,487010000.0
Change In Other Current Assets,-31100000.0,-706940000.0,120420000.0,177050000.0
Change In Payable,197930000.0,150450000.0,65920000.0,-2290000.0
Change In Inventory,690000.0,-2040000.0,-150000.0,560000.0
Change In Receivables,-1124010000.0,-373840000.0,-303370000.0,98360000.0
Other Non Cash Items,73770000.0,152350000.0,86180000.0,38860000.0
Stock Based Compensation,74400000.0,42260000.0,21320000.0,9280000.0
Provisionand Write Offof Assets,6720000.0,3800000.0,1040000.0,9120000.0
Depreciation And Amortization,1140140000.0,1031930000.0,815930000.0,708950000.0
Amortization Cash Flow,199950000.0,195370000.0,99440000.0,87400000.0
Depreciation,1140140000.0,836560000.0,716490000.0,621550000.0
Gain Loss On Investment Securities,-147820000.0,-63700000.0,-150780000.0,-188250000.0
Net Foreign Currency Exchange Gain Loss,-95790000.0,54630000.0,-4420000.0,36270000.0
Net Income From Continuing Operations,6529900000.0,5604870000.0,3806180000.0,2805190000.0
