,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-12633316000.0,667081000.0,19939591000.0,3652420000.0
Repayment Of Debt,0.0,0.0,-293738007000.0,0.0
Issuance Of Debt,0.0,0.0,284042471000.0,0.0
Issuance Of Capital Stock,87811000.0,5789693000.0,2827852000.0,2461950000.0
Capital Expenditure,-2656663000.0,-927545000.0,-499828000.0,-743720000.0
End Cash Position,12442577000.0,21325146000.0,33787124000.0,25314850000.0
Beginning Cash Position,21325146000.0,33787124000.0,25314849000.0,12553210000.0
Changes In Cash,-8882569000.0,-12461978000.0,8472275000.0,12761640000.0
Other Cash Adjustment Inside Changein Cash,3105505000.0,0.0,0.0,0.0
Financing Cash Flow,601131000.0,-13165701000.0,-11539099000.0,9082800000.0
Interest Paid Cff,-3060280000.0,-3354779000.0,-4523252000.0,-4997630000.0
Net Common Stock Issuance,87811000.0,5789693000.0,2827852000.0,2461950000.0
Common Stock Issuance,87811000.0,5789693000.0,2827852000.0,2461950000.0
Net Issuance Payments Of Debt,3573600000.0,-15489200000.0,-9695536000.0,11618480000.0
Net Long Term Debt Issuance,0.0,0.0,-9695536000.0,0.0
Long Term Debt Payments,0.0,0.0,-293738007000.0,0.0
Long Term Debt Issuance,0.0,0.0,284042471000.0,0.0
Investing Cash Flow,-2612552000.0,-890903000.0,-428045000.0,-717300000.0
Net Other Investing Changes,0.0,0.0,53576000.0,-620000.0
Interest Received Cfi,19690000.0,18938000.0,5145000.0,4800000.0
Net PPE Purchase And Sale,-2632242000.0,-909841000.0,-486766000.0,-721480000.0
Sale Of PPE,24421000.0,17704000.0,13062000.0,22240000.0
Purchase Of PPE,-2656663000.0,-927545000.0,-499828000.0,-743720000.0
Operating Cash Flow,-9976653000.0,1594626000.0,20439419000.0,4396140000.0
Taxes Refund Paid,-1931460000.0,-1581922000.0,-1538966000.0,-1340760000.0
Change In Working Capital,-24019987000.0,-9708121000.0,7642467000.0,-5622210000.0
Change In Other Current Liabilities,4139906000.0,2470843000.0,1834713000.0,673830000.0
Change In Other Current Assets,-754596000.0,-1422094000.0,-963863000.0,-1230600000.0
Other Non Cash Items,3302716000.0,3396036000.0,3710202000.0,5412530000.0
Stock Based Compensation,44215000.0,12679000.0,0.0,0.0
Provisionand Write Offof Assets,3668734000.0,4938368000.0,4749088000.0,1470040000.0
Depreciation And Amortization,845378000.0,752831000.0,764332000.0,964540000.0
Depreciation,845378000.0,752831000.0,764332000.0,964540000.0
Gain Loss On Investment Securities,-4060000.0,-5040000.0,0.0,0.0
Gain Loss On Sale Of PPE,412000.0,3065000.0,-372000.0,2600000.0
Net Income From Continuing Operations,7688040000.0,3781100000.0,5112668000.0,3509400000.0
