,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-789379.1411,92436.7499,-794987.7471
Tax Rate For Calcs,0.2539,0.2575,0.2484,0.3057
Total Unusual Items,-412000.0,-3065000.0,372000.0,-2600000.0
Total Unusual Items Excluding Goodwill,-412000.0,-3065000.0,372000.0,-2600000.0
Net Income From Continuing Operation Net Minority Interest,5735905000.0,2807318000.0,3842232000.0,2436350000.0
Reconciled Depreciation,845378000.0,752831000.0,764332000.0,964540000.0
Net Interest Income,25447242000.0,20385357000.0,17979603000.0,14953060000.0
Interest Expense,16171539000.0,14211336000.0,13964529000.0,11501380000.0
Interest Income,41618781000.0,34596693000.0,31944132000.0,26454440000.0
Normalized Income,5735905000.0,2809593620.8588,3841952436.7499,2438155012.2528
Net Income From Continuing And Discontinued Operation,5735905000.0,2807318000.0,3842232000.0,2436350000.0
Diluted Average Shares,1229265819.0,1170652926.0,1101406583.0,1011638710.0
Basic Average Shares,1218067551.0,1155479917.0,1089531274.0,1011638710.0
Diluted EPS,4.67,2.4,3.49,2.4083
Basic EPS,4.71,2.43,3.53,2.4083
Diluted NI Availto Com Stockholders,5735905000.0,2807318000.0,3842232000.0,2436350000.0
Net Income Common Stockholders,5735905000.0,2807318000.0,3842232000.0,2436350000.0
Net Income,5735905000.0,2807318000.0,3842232000.0,2436350000.0
Net Income Including Noncontrolling Interests,5735905000.0,2807269000.0,3842164000.0,2436350000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,5735905000.0,2807269000.0,3842164000.0,2436350000.0
Tax Provision,1952135000.0,973800000.0,1270400000.0,1073050000.0
Pretax Income,7688040000.0,3781069000.0,5112564000.0,3509400000.0
Special Income Charges,-412000.0,-3065000.0,372000.0,-2600000.0
Other Special Charges,412000.0,3065000.0,-372000.0,2600000.0
Gain On Sale Of Security,213646000.0,426357000.0,447043000.0,33770000.0
Operating Expense,20383024000.0,16409912000.0,12191453000.0,12614620000.0
Other Operating Expenses,9416264000.0,4504148000.0,1980170000.0,3042350000.0
Depreciation And Amortization In Income Statement,845378000.0,752831000.0,764332000.0,964540000.0
Depreciation Income Statement,845378000.0,752831000.0,764332000.0,964540000.0
Selling General And Administration,812205000.0,634382000.0,346389000.0,427060000.0
Selling And Marketing Expense,332548000.0,323383000.0,124440000.0,181930000.0
General And Administrative Expense,479657000.0,310999000.0,221949000.0,245130000.0
Insurance And Claims,18234000.0,183747000.0,117105000.0,82490000.0
Rent And Landing Fees,1522882000.0,1321036000.0,1042610000.0,980920000.0
Total Revenue,32143099000.0,25129046000.0,22000345000.0,17597150000.0
Operating Revenue,32143099000.0,25129046000.0,22000345000.0,17597150000.0
