,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-6446510000.0,-6385160000.0,10779440000.0,10354840000.0
Issuance Of Capital Stock,0.0,0.0,1625870000.0,0.0
Capital Expenditure,-716510000.0,-540140000.0,-495010000.0,-533930000.0
End Cash Position,7664240000.0,15112790000.0,18187950000.0,6760350000.0
Beginning Cash Position,15112790000.0,18187950000.0,6760350000.0,7209830000.0
Changes In Cash,-7448550000.0,-3075160000.0,11427600000.0,-449480000.0
Financing Cash Flow,4013620000.0,12588330000.0,6532700000.0,-4990410000.0
Net Common Stock Issuance,0.0,0.0,1625870000.0,0.0
Common Stock Issuance,0.0,0.0,1625870000.0,0.0
Net Issuance Payments Of Debt,4013620000.0,12588330000.0,4906830000.0,-4990410000.0
Investing Cash Flow,-5732170000.0,-9818470000.0,-6379550000.0,-6347840000.0
Net Investment Purchase And Sale,-5026380000.0,-9281160000.0,-5886430000.0,-5814900000.0
Net PPE Purchase And Sale,-705790000.0,-537310000.0,-493120000.0,-532940000.0
Sale Of PPE,10720000.0,2830000.0,1890000.0,990000.0
Purchase Of PPE,-716510000.0,-540140000.0,-495010000.0,-533930000.0
Operating Cash Flow,-5730000000.0,-5845020000.0,11274450000.0,10888770000.0
Taxes Refund Paid,-613040000.0,-169020000.0,-1093070000.0,-736040000.0
Change In Working Capital,-15360950000.0,-10845580000.0,8062380000.0,8175290000.0
Change In Other Current Liabilities,834320000.0,1378630000.0,521250000.0,-86240000.0
Change In Other Current Assets,-1693470000.0,-497390000.0,-424030000.0,-498780000.0
Other Non Cash Items,62700000.0,80350000.0,68460000.0,35250000.0
Stock Based Compensation,10690000.0,48060000.0,0.0,0.0
Provisionand Write Offof Assets,4931350000.0,4177070000.0,2755720000.0,666130000.0
Depreciation And Amortization,417890000.0,327740000.0,285730000.0,231670000.0
Depreciation,417890000.0,327740000.0,285730000.0,231670000.0
Gain Loss On Investment Securities,-156350000.0,-435140000.0,-230400000.0,-64020000.0
Gain Loss On Sale Of PPE,3380000.0,-60000.0,23340000.0,-390000.0
Net Income From Continuing Operations,4060450000.0,738500000.0,1413730000.0,2562560000.0
