,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,83214302.0,83214302.0,83214302.0,83214302.0
Share Issued,83214302.0,83214302.0,83214302.0,83214302.0
Total Debt,4340600000.0,2496554000.0,1807980000.0,1107900000.0
Tangible Book Value,5525400000.0,4798315000.0,1505470000.0,1300730000.0
Invested Capital,9866000000.0,7294869000.0,3313450000.0,2408630000.0
Net Tangible Assets,5525400000.0,4798315000.0,1505470000.0,1300730000.0
Common Stock Equity,5525400000.0,4798315000.0,1505470000.0,1300730000.0
Total Capitalization,9866000000.0,7294869000.0,3313450000.0,2408630000.0
Total Equity Gross Minority Interest,5525400000.0,4798315000.0,1505470000.0,1300730000.0
Stockholders Equity,5525400000.0,4798315000.0,1505470000.0,1300730000.0
Other Equity Interest,108100000.0,31857000.0,0.0,0.0
Fixed Assets Revaluation Reserve,0.0,0.0,0.0,0.0
Retained Earnings,-2467642000.0,-2716759000.0,-3036240000.0,-3189790000.0
Additional Paid In Capital,6491950000.0,6491950000.0,4044720000.0,4044720000.0
Capital Stock,832100000.0,832143000.0,445800000.0,445800000.0
Common Stock,832100000.0,832143000.0,445800000.0,445800000.0
Total Liabilities Net Minority Interest,19138600000.0,12001708000.0,8597440000.0,4939280000.0
Long Term Debt And Capital Lease Obligation,4340600000.0,2496554000.0,1807980000.0,1107900000.0
Payables,3611000.0,347000.0,200000.0,370000.0
Accounts Payable,3611000.0,347000.0,200000.0,370000.0
Total Assets,24664000000.0,16800023000.0,10102910000.0,6240010000.0
Investments And Advances,11464300000.0,6313985000.0,5035580000.0,1282700000.0
Investmentin Financial Assets,11464300000.0,6313985000.0,5035580000.0,1282700000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,1449100000.0,927485000.0,642180000.0,494920000.0
Accumulated Depreciation,-1867596000.0,-1444219000.0,-1144690000.0,-609460000.0
Gross PPE,3316714000.0,2371704000.0,1786870000.0,1104380000.0
Construction In Progress,54802000.0,4586000.0,18100000.0,4400000.0
Other Properties,3261912000.0,2367118000.0,1768770000.0,1099980000.0
Prepaid Assets,88406000.0,123273000.0,47990000.0,143050000.0
Receivables,53925000.0,42785000.0,13600000.0,11160000.0
Cash And Cash Equivalents,8339400000.0,7661632000.0,2708170000.0,3019800000.0
Cash Equivalents,0.0,0.0,0.0,0.0
Cash Financial,2199400000.0,96466000.0,63870000.0,105760000.0
