,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,16325728.0,16325728.0,17010000.0,0.0
Ordinary Shares Number,698482852.0,683529250.0,696099216.0,693826780.0
Share Issued,714808580.0,699854978.0,713109216.0,693826780.0
Net Debt,6754360000.0,9140580000.0,4631380000.0,6411790000.0
Total Debt,13931600000.0,17837040000.0,11943170000.0,13556520000.0
Tangible Book Value,3203600000.0,1906210000.0,5502970000.0,4826480000.0
Invested Capital,41938210000.0,40426060000.0,34037610000.0,36087190000.0
Working Capital,-1514050000.0,-1137510000.0,-1702630000.0,-2265600000.0
Net Tangible Assets,3203600000.0,1906210000.0,5502970000.0,4826480000.0
Capital Lease Obligations,5661840000.0,7740420000.0,5898430000.0,5123150000.0
Common Stock Equity,33668450000.0,30329440000.0,27992870000.0,27653820000.0
Total Capitalization,35062110000.0,33062460000.0,28838390000.0,27681580000.0
Total Equity Gross Minority Interest,33671950000.0,30333130000.0,27998260000.0,27659700000.0
Minority Interest,3500000.0,3690000.0,5390000.0,5880000.0
Stockholders Equity,33668450000.0,30329440000.0,27992870000.0,27653820000.0
Other Equity Interest,26698540000.0,514330000.0,284040000.0,119960000.0
Treasury Stock,1158140000.0,1198250000.0,742160000.0,89350000.0
Retained Earnings,17425980000.0,15524680000.0,13810250000.0,12076460000.0
Additional Paid In Capital,2251220000.0,2251220000.0,2205150000.0,2108360000.0
Capital Stock,6969910000.0,6969910000.0,6960990000.0,6938270000.0
Common Stock,6969910000.0,6969910000.0,6960990000.0,6938270000.0
Total Liabilities Net Minority Interest,22971740000.0,26753780000.0,20298660000.0,18210810000.0
Total Non Current Liabilities Net Minority Interest,7375200000.0,11404570000.0,6283160000.0,4901970000.0
Non Current Pension And Other Postretirement Benefit Plans,137030000.0,137460000.0,103900000.0,85880000.0
Non Current Deferred Taxes Liabilities,1195980000.0,959020000.0,469980000.0,734950000.0
Long Term Debt And Capital Lease Obligation,5860810000.0,8986550000.0,5709280000.0,4081140000.0
Long Term Capital Lease Obligation,4467150000.0,6253530000.0,4863760000.0,4053380000.0
Long Term Debt,1393660000.0,2733020000.0,845520000.0,27760000.0
Long Term Provisions,137030000.0,0.0,0.0,0.0
Current Liabilities,15596540000.0,15349210000.0,14015500000.0,13308840000.0
Other Current Liabilities,828870000.0,838310000.0,2136540000.0,73300000.0
Current Deferred Taxes Liabilities,0.0,5900000.0,180970000.0,59380000.0
Current Debt And Capital Lease Obligation,8070790000.0,8850490000.0,6233890000.0,9475380000.0
Current Capital Lease Obligation,1194690000.0,1486890000.0,1034670000.0,1069770000.0
Current Debt,6876100000.0,7363600000.0,5199220000.0,8405610000.0
Pensionand Other Post Retirement Benefit Plans Current,826430000.0,527470000.0,642620000.0,401400000.0
Current Provisions,826430000.0,0.0,0.0,0.0
Payables,2314460000.0,4166020000.0,5834120000.0,3057490000.0
Other Payable,2159990000.0,1942960000.0,1944560000.0,1643180000.0
Dividends Payable,40210000.0,30040000.0,18480000.0,15260000.0
Total Tax Payable,643430000.0,412430000.0,1083050000.0,446240000.0
Accounts Payable,2314460000.0,1780590000.0,2788030000.0,952810000.0
Total Assets,56643690000.0,57086910000.0,48296920000.0,45870510000.0
Total Non Current Assets,42561200000.0,42875210000.0,35984050000.0,34827270000.0
Other Non Current Assets,1025950000.0,201940000.0,286210000.0,369460000.0
Non Current Prepaid Assets,555390000.0,621490000.0,865490000.0,744860000.0
Non Current Deferred Assets,791940000.0,809880000.0,1059850000.0,1219040000.0
Non Current Deferred Taxes Assets,2948060000.0,2817840000.0,2691890000.0,2511300000.0
Financial Assets,0.0,21380000.0,142130000.0,341210000.0
Other Investments,115590000.0,0.0,0.0,0.0
Investmentin Financial Assets,488400000.0,643590000.0,701840000.0,122090000.0
Held To Maturity Securities,0.0,0.0,2000000.0,8000000.0
Available For Sale Securities,488400000.0,643590000.0,701840000.0,122090000.0
Long Term Equity Investment,70000.0,87990000.0,89990000.0,95990000.0
Investmentsin Associatesat Cost,70000.0,87990000.0,89990000.0,95990000.0
Goodwill And Other Intangible Assets,30464850000.0,28423230000.0,22489900000.0,22827340000.0
Other Intangible Assets,1015090000.0,1215280000.0,542270000.0,503780000.0
Goodwill,29449760000.0,27207950000.0,21947630000.0,22323560000.0
Net PPE,6731790000.0,9042520000.0,7485680000.0,5881220000.0
Accumulated Depreciation,-5302550000.0,-5203010000.0,-6616670000.0,-6281770000.0
Gross PPE,6731790000.0,14245530000.0,14102350000.0,12162990000.0
Construction In Progress,34240000.0,0.0,0.0,0.0
Other Properties,6697550000.0,950940000.0,1382260000.0,1369730000.0
Machinery Furniture Equipment,4159810000.0,4122450000.0,5222530000.0,4555400000.0
Buildings And Improvements,7136640000.0,9172140000.0,7497560000.0,6237860000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,14082490000.0,14211700000.0,12312870000.0,11043240000.0
Other Current Assets,1506780000.0,81590000.0,111860000.0,138950000.0
Hedging Assets Current,0.0,500860000.0,94370000.0,107300000.0
Current Deferred Assets,113580000.0,335270000.0,239940000.0,232360000.0
Restricted Cash,-92990000.0,-57700000.0,-40020000.0,-114090000.0
Prepaid Assets,1035630000.0,1210110000.0,819010000.0,664150000.0
Other Receivables,3584400000.0,3175650000.0,2704030000.0,2035570000.0
Taxes Receivable,275210000.0,360490000.0,360790000.0,374830000.0
Accounts Receivable,6800470000.0,6445250000.0,5767380000.0,5567180000.0
Allowance For Doubtful Accounts Receivable,-515500000.0,-301170000.0,-186460000.0,-216230000.0
Gross Accounts Receivable,7315970000.0,6746420000.0,5953840000.0,5783410000.0
Cash Cash Equivalents And Short Term Investments,2190840000.0,2141420000.0,2239060000.0,2021580000.0
Other Short Term Investments,675440000.0,1185380000.0,825700000.0,0.0
Cash And Cash Equivalents,1515400000.0,956040000.0,1413360000.0,2021580000.0
Cash Equivalents,0.0,0.0,0.0,282500000.0
Cash Financial,1648530000.0,956040000.0,1413360000.0,1739080000.0
