,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,146863556.0,146863556.0,146863556.0,146863556.0
Share Issued,146863556.0,146863556.0,146863556.0,146863556.0
Net Debt,3975600000.0,1233500000.0,804700000.0,349000000.0
Total Debt,5337500000.0,2497500000.0,1927500000.0,1139000000.0
Tangible Book Value,5970600000.0,5625300000.0,4398900000.0,2583300000.0
Invested Capital,13063700000.0,8564400000.0,7122900000.0,3437400000.0
Working Capital,4965800000.0,5603800000.0,4657400000.0,2334800000.0
Net Tangible Assets,5970600000.0,5625300000.0,4398900000.0,2583300000.0
Capital Lease Obligations,662000000.0,591100000.0,264500000.0,354700000.0
Common Stock Equity,8388200000.0,6658000000.0,5459900000.0,2653100000.0
Preferred Stock Equity,0.0,0.0,0.0,363400000.0
Total Capitalization,9516000000.0,6830400000.0,5826000000.0,2666300000.0
Total Equity Gross Minority Interest,8388200000.0,6658000000.0,5459900000.0,2653100000.0
Minority Interest,0.0,0.0,0.0,0.0
Stockholders Equity,8388200000.0,6658000000.0,5459900000.0,2653100000.0
Other Equity Interest,8101600000.0,38500000.0,36100000.0,408800000.0
Retained Earnings,3906400000.0,2177300000.0,1055000000.0,-559700000.0
Additional Paid In Capital,4155600000.0,4120500000.0,4045400000.0,2778100000.0
Capital Stock,286600000.0,285400000.0,283700000.0,87900000.0
Common Stock,286600000.0,285400000.0,283700000.0,87900000.0
Preferred Stock,0.0,0.0,0.0,363400000.0
Total Liabilities Net Minority Interest,8020100000.0,4592100000.0,3759600000.0,2428400000.0
Total Non Current Liabilities Net Minority Interest,2256100000.0,922000000.0,971700000.0,311800000.0
Derivative Product Liabilities,70400000.0,0.0,0.0,0.0
Non Current Pension And Other Postretirement Benefit Plans,246600000.0,161800000.0,165300000.0,125500000.0
Non Current Deferred Taxes Liabilities,206000000.0,46800000.0,72500000.0,0.0
Long Term Debt And Capital Lease Obligation,1603900000.0,584300000.0,488400000.0,186300000.0
Long Term Capital Lease Obligation,476100000.0,411900000.0,122300000.0,173100000.0
Long Term Debt,1127800000.0,172400000.0,366100000.0,13200000.0
Long Term Provisions,0.0,0.0,165300000.0,0.0
Current Liabilities,5764000000.0,3670100000.0,2787900000.0,2116600000.0
Other Current Liabilities,237500000.0,242600000.0,193000000.0,0.0
Current Debt And Capital Lease Obligation,3733600000.0,1913200000.0,1439100000.0,952700000.0
Current Capital Lease Obligation,185900000.0,179200000.0,142200000.0,181600000.0
Current Debt,3547700000.0,1734000000.0,1296900000.0,771100000.0
Pensionand Other Post Retirement Benefit Plans Current,381500000.0,425400000.0,358400000.0,485300000.0
Current Provisions,177500000.0,169800000.0,150800000.0,124600000.0
Payables,756900000.0,874400000.0,603100000.0,397300000.0
Other Payable,238100000.0,242600000.0,193000000.0,53100000.0
Dividends Payable,1300000.0,700000.0,0.0,0.0
Total Tax Payable,51700000.0,23900000.0,0.0,0.0
Accounts Payable,705200000.0,607200000.0,410100000.0,344200000.0
Total Assets,16408300000.0,11250100000.0,9219500000.0,5081500000.0
Total Non Current Assets,5678500000.0,1976200000.0,1774200000.0,630100000.0
Other Non Current Assets,11900000.0,100000.0,700000.0,100000.0
Non Current Prepaid Assets,65700000.0,34000000.0,35600000.0,80000000.0
Non Current Deferred Taxes Assets,124600000.0,69700000.0,102600000.0,0.0
Investmentin Financial Assets,1068500000.0,187500000.0,173300000.0,18300000.0
Available For Sale Securities,1068500000.0,187500000.0,173300000.0,18300000.0
Goodwill And Other Intangible Assets,2417600000.0,1032700000.0,1061000000.0,69800000.0
Other Intangible Assets,1026300000.0,243100000.0,296600000.0,8800000.0
Goodwill,1391300000.0,789600000.0,764400000.0,61000000.0
Net PPE,1924900000.0,546800000.0,223300000.0,309900000.0
Accumulated Depreciation,-62600000.0,-42700000.0,-38300000.0,-47900000.0
Gross PPE,1924900000.0,589500000.0,261600000.0,357800000.0
Construction In Progress,18500000.0,0.0,1400000.0,0.0
Other Properties,1906400000.0,546800000.0,221900000.0,0.0
Machinery Furniture Equipment,270900000.0,201800000.0,125000000.0,121700000.0
Buildings And Improvements,1255800000.0,387700000.0,135200000.0,236100000.0
Land And Improvements,442300000.0,0.0,0.0,0.0
Properties,0.0,0.0,0.0,0.0
Current Assets,10729800000.0,9273900000.0,7445300000.0,4451400000.0
Other Current Assets,449500000.0,339200000.0,133300000.0,0.0
Hedging Assets Current,52900000.0,24900000.0,52300000.0,1900000.0
Restricted Cash,1600900000.0,97900000.0,299500000.0,442200000.0
Prepaid Assets,304400000.0,184700000.0,213100000.0,109600000.0
Other Receivables,6400000.0,1070500000.0,594100000.0,460800000.0
Accounts Receivable,2131900000.0,1673800000.0,1219200000.0,1148700000.0
Allowance For Doubtful Accounts Receivable,-78100000.0,-151000000.0,-140100000.0,-279500000.0
Gross Accounts Receivable,2210000000.0,1824800000.0,1359300000.0,1428200000.0
Cash Cash Equivalents And Short Term Investments,8142000000.0,6222100000.0,5067100000.0,2288200000.0
Other Short Term Investments,7442100000.0,5549200000.0,4208800000.0,1852900000.0
Cash And Cash Equivalents,699900000.0,672900000.0,858300000.0,435300000.0
Cash Equivalents,0.0,0.0,237500000.0,100000000.0
Cash Financial,699900000.0,672900000.0,620800000.0,335300000.0
