,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,163480000000.0,2011781880.9072,2411846558.9591,1523866348.4486
Repurchase Of Capital Stock,0.0,-106029015.5522,0.0,0.0
Repayment Of Debt,-19720000000.0,-18067133.2470,-655993943.8334,-176478387.6955
Issuance Of Debt,1240000000.0,10154520.1461,621819082.9155,143861044.8156
Capital Expenditure,-16610000000.0,-216937475.8500,-259238785.6078,-247414478.9180
End Cash Position,90650000000.0,1386026061.5100,887865609.7421,498541500.9281
Beginning Cash Position,105100000000.0,859969167.1842,511942139.6458,782418456.6428
Effect Of Exchange Rate Changes,3580000000.0,15825226.2018,8850063.5843,5568814.6380
Changes In Cash,-18030000000.0,510231668.1239,367073406.5120,-289445770.3526
Financing Cash Flow,-158810000000.0,-1913269847.8008,-1522210936.5001,-420047732.6968
Net Other Financing Charges,-310000000.0,-147306480.5620,-887457145.2690,-74648634.3145
Interest Paid Cff,-800000000.0,-9099505.0660,-18925520.5879,-18032352.1612
Cash Dividends Paid,-129950000000.0,-1501945843.4384,-443320108.1613,-179925749.1381
Common Stock Dividend Paid,0.0,0.0,-32560000000.0,-13570000000.0
Net Common Stock Issuance,0.0,-106029015.5522,0.0,0.0
Common Stock Payments,0.0,-106029015.5522,0.0,0.0
Net Issuance Payments Of Debt,-18480000000.0,-7912613.1009,-34174860.9178,-32617342.8798
Net Short Term Debt Issuance,0.0,0.0,-100890724.8610,-530363.2988
Short Term Debt Payments,-880000000.0,-6857598.0207,-211856906.7257,-124237602.7578
Short Term Debt Issuance,880000000.0,6857598.0207,110966181.8647,123707239.4590
Net Long Term Debt Issuance,-18480000000.0,-7912613.1009,66715863.9432,-32086979.5810
Long Term Debt Payments,-18840000000.0,-11209535.2262,-444137037.1076,-52240784.9376
Long Term Debt Issuance,360000000.0,3296922.1253,510852901.0508,20153805.3566
Investing Cash Flow,-39310000000.0,194782159.1674,-781801001.5548,-1640678865.0225
Net Other Investing Changes,-1740000000.0,-13319565.3865,-12390089.0180,-18430124.6353
Interest Received Cfi,6360000000.0,77807362.1589,92040661.2767,37390612.5696
Dividends Received Cfi,10000000.0,0.0,0.0,10000000.0
Net Investment Purchase And Sale,-22500000000.0,116183535.6984,-262098036.9197,-376557942.1904
Sale Of Investment,433180000000.0,4758249888.2343,2899689294.6907,4356934500.1325
Purchase Of Investment,-455680000000.0,-4642066352.5359,-3161787331.6105,-4733492442.3229
Net Business Purchase And Sale,-7000000000.0,3824429.6654,-167061969.5067,-808008485.8127
Sale Of Business,90000000.0,5275075.4006,0.0,0.0
Purchase Of Business,-7090000000.0,-1450645.7351,-167061969.5067,-808008485.8127
Net PPE Purchase And Sale,-14440000000.0,-205068556.1986,-238679407.1274,4905860.5144
Sale Of PPE,2170000000.0,11868919.6513,20559378.4804,4905860.5144
Purchase Of PPE,-16610000000.0,-216937475.8500,-259238785.6078,0.0
Capital Expenditure Reported,0.0,0.0,0.0,-247414478.9180
Operating Cash Flow,180090000000.0,2228719356.7573,2671085344.5670,1771280827.3667
Taxes Refund Paid,-36980000000.0,-454052115.1074,-469053369.9680,-339167329.6207
Change In Working Capital,-13050000000.0,-72400409.8733,414046820.9210,-206841686.5552
Change In Other Current Liabilities,12300000000.0,147174603.6769,0.0,0.0
Change In Other Current Assets,9170000000.0,28881037.8183,46837259.5846,-162954123.5746
Change In Payable,-1750000000.0,94687603.4409,73251295.5131,-27578891.5407
Change In Inventory,-370000000.0,27298515.1981,9803147.3549,3182179.7931
Change In Receivables,-32400000000.0,-370442170.0077,86186003.8286,-259480243.9671
Other Non Cash Items,-6860000000.0,-47343801.7204,-35264099.5128,-1723680.7212
Stock Based Compensation,3080000000.0,10682027.6862,0.0,0.0
Provisionand Write Offof Assets,250000000.0,2769414.5853,2586941.6631,26518164.9429
Depreciation And Amortization,41450000000.0,570499404.5758,627809895.1880,453460620.5250
Depreciation,41450000000.0,570499404.5758,627809895.1880,453460620.5250
Gain Loss On Investment Securities,-1060000000.0,-15033964.8917,-13615482.4373,-14584990.7186
Gain Loss On Sale Of PPE,-1620000000.0,-1978153.2752,-13887792.0861,0.0
Net Income From Continuing Operations,194880000000.0,2235445077.8930,2158462430.7993,1853619729.5147
