,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,23749100000.0,21972867000.0,134557403000.0,105379395000.0
Repayment Of Debt,0.0,0.0,-116111000000.0,-125862047000.0
Issuance Of Debt,27494900000.0,71765139000.0,0.0,0.0
Issuance Of Capital Stock,22595500000.0,30340750000.0,20129152000.0,475496000.0
Capital Expenditure,-11881000000.0,-4818448000.0,-5859728000.0,-4275961000.0
End Cash Position,137786800000.0,157023727000.0,57731245000.0,41628440000.0
Other Cash Adjustment Outside Changein Cash,0.0,-100000.0,0.0,0.0
Beginning Cash Position,157023700000.0,57731245000.0,41628440000.0,95261534000.0
Changes In Cash,-19236900000.0,99292482000.0,16102805000.0,-53633094000.0
Financing Cash Flow,65090400000.0,102105889000.0,-95981848000.0,-125386551000.0
Net Other Financing Charges,15000000000.0,1500000000.0,0.0,0.0
Net Common Stock Issuance,22595500000.0,30340750000.0,20129152000.0,475496000.0
Common Stock Issuance,22595500000.0,30340750000.0,20129152000.0,475496000.0
Net Issuance Payments Of Debt,27494900000.0,70265139000.0,-116111000000.0,-125862047000.0
Net Long Term Debt Issuance,27494900000.0,70265139000.0,-116111000000.0,-125862047000.0
Long Term Debt Payments,0.0,0.0,-116111000000.0,-125862047000.0
Long Term Debt Issuance,27494900000.0,71765139000.0,0.0,0.0
Investing Cash Flow,-119957400000.0,-29604722000.0,-28332478000.0,-37901899000.0
Net Investment Purchase And Sale,-108157800000.0,-24813820000.0,-22838021000.0,-33710082000.0
Purchase Of Investment,-108157800000.0,-24813820000.0,-22838021000.0,-33710082000.0
Net PPE Purchase And Sale,-11799600000.0,-4790902000.0,-5494457000.0,-4191817000.0
Sale Of PPE,81400000.0,27546000.0,365271000.0,84144000.0
Purchase Of PPE,-11881000000.0,-4818448000.0,-5859728000.0,-4275961000.0
Operating Cash Flow,35630100000.0,26791315000.0,140417131000.0,109655356000.0
Taxes Refund Paid,-3559400000.0,1348275000.0,5175591000.0,-1493593000.0
Change In Working Capital,-18027000000.0,-13357878000.0,105073188000.0,86965467000.0
Change In Other Current Liabilities,20222800000.0,-4852482000.0,-6320221000.0,23853657000.0
Change In Other Current Assets,-22103900000.0,9708954000.0,30489977000.0,-25751783000.0
Other Non Cash Items,2911900000.0,2088783000.0,1062103000.0,1286952000.0
Provisionand Write Offof Assets,21211600000.0,35203649000.0,28852800000.0,32640667000.0
Depreciation And Amortization,4349900000.0,3824062000.0,3425065000.0,3200069000.0
Depreciation,4349900000.0,3824062000.0,3425065000.0,3200069000.0
Gain Loss On Sale Of PPE,-7500000.0,52505000.0,-157597000.0,-161000.0
Net Income From Continuing Operations,33314000000.0,1749716000.0,5189840000.0,-23458949000.0
