,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,18902412256.0,18902412256.0,16436988324.0,16436988324.0
Share Issued,18902412256.0,18902412256.0,16436988324.0,16436988324.0
Net Debt,8017345000.0,0.0,0.0,0.0
Total Debt,208037700000.0,37714056000.0,43308365000.0,57640327000.0
Tangible Book Value,248760400000.0,232241846000.0,169448108000.0,161549750000.0
Invested Capital,456798100000.0,269955902000.0,212756473000.0,219190077000.0
Net Tangible Assets,248760400000.0,232241846000.0,169448108000.0,161549750000.0
Common Stock Equity,248760400000.0,232241846000.0,169448108000.0,161549750000.0
Total Capitalization,456798100000.0,269955902000.0,212756473000.0,219190077000.0
Total Equity Gross Minority Interest,248760400000.0,232241846000.0,169448108000.0,161549750000.0
Minority Interest,0.0,0.0,0.0,0.0
Stockholders Equity,248760400000.0,232241846000.0,169448108000.0,161549750000.0
Fixed Assets Revaluation Reserve,27531536000.0,27495613000.0,22204588000.0,23313626000.0
Retained Earnings,-164544478000.0,-180013224000.0,-188138622000.0,-189771239000.0
Additional Paid In Capital,85579011000.0,85579011000.0,69233250000.0,69233250000.0
Capital Stock,189024100000.0,191084931000.0,164369883000.0,164369883000.0
Common Stock,189024100000.0,191084931000.0,164369883000.0,164369883000.0
Total Liabilities Net Minority Interest,2885738600000.0,2764322222000.0,2570655428000.0,2445718556000.0
Long Term Debt And Capital Lease Obligation,208037700000.0,37714056000.0,43308365000.0,57640327000.0
Payables,1624402000.0,414374000.0,402235000.0,561314000.0
Accounts Payable,1624402000.0,414374000.0,402235000.0,561314000.0
Total Assets,3134499000000.0,2996564068000.0,2740103536000.0,2607268306000.0
Investments And Advances,936425200000.0,982672208000.0,954942238000.0,794160799000.0
Investmentin Financial Assets,936425200000.0,980737789000.0,953007819000.0,792226380000.0
Available For Sale Securities,1259316000.0,12456351000.0,16480358000.0,20787956000.0
Long Term Equity Investment,0.0,1934419000.0,1934419000.0,1934419000.0
Net PPE,37107400000.0,33660362000.0,29187796000.0,31273428000.0
Accumulated Depreciation,-35784071000.0,-33416079000.0,-31690466000.0,-29234966000.0
Gross PPE,72891458000.0,67076441000.0,60878262000.0,60508394000.0
Construction In Progress,879000.0,1111000.0,11163000.0,34800000.0
Other Properties,27170980000.0,22162253000.0,21132141000.0,20699084000.0
Properties,45719599000.0,44913077000.0,39734958000.0,39774510000.0
Prepaid Assets,45230018000.0,41309777000.0,34520614000.0,33383576000.0
Receivables,81903620000.0,59985362000.0,51065289000.0,53982545000.0
Cash And Cash Equivalents,208208300000.0,369512603000.0,307763369000.0,240606557000.0
Cash Equivalents,3877851000.0,3348674000.0,7137000000.0,5328740000.0
Cash Financial,171501800000.0,11540435000.0,9598336000.0,14476917000.0
