,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,1031479861.0,932886594.0,713450938.0,713450938.0
Share Issued,1031479861.0,932886594.0,713450938.0,713450938.0
Total Debt,28923100000.0,26418766000.0,22925416000.0,22642972000.0
Tangible Book Value,98963200000.0,80771162000.0,68022684000.0,63458508000.0
Invested Capital,127886300000.0,107189928000.0,90948100000.0,86101480000.0
Net Tangible Assets,98963200000.0,80771162000.0,68022684000.0,63458508000.0
Common Stock Equity,98963200000.0,80771162000.0,68022684000.0,63458508000.0
Total Capitalization,127886300000.0,107189928000.0,90948100000.0,86101480000.0
Total Equity Gross Minority Interest,98963200000.0,80771162000.0,68022684000.0,63458508000.0
Minority Interest,0.0,0.0,0.0,0.0
Stockholders Equity,98963200000.0,80771162000.0,68022684000.0,63458508000.0
Other Equity Interest,0.0,935000000.0,0.0,0.0
Fixed Assets Revaluation Reserve,0.0,9498454000.0,9726180000.0,9960007000.0
Additional Paid In Capital,0.0,17604651000.0,10959119000.0,10959119000.0
Capital Stock,1031600000.0,933030000.0,713594000.0,713594000.0
Common Stock,1031600000.0,933030000.0,713594000.0,713594000.0
Total Liabilities Net Minority Interest,1360162700000.0,1224989169000.0,1134706041000.0,1024832966000.0
Long Term Debt And Capital Lease Obligation,28923100000.0,26418766000.0,22925416000.0,22642972000.0
Payables,0.0,180428000.0,198250000.0,230460000.0
Accounts Payable,0.0,180428000.0,198250000.0,230460000.0
Total Assets,1459125900000.0,1305760331000.0,1202728725000.0,1088291474000.0
Investments And Advances,347804000000.0,307466646000.0,307740976000.0,214541554000.0
Investmentin Financial Assets,347804000000.0,307466646000.0,307780737000.0,214541315000.0
Held To Maturity Securities,0.0,0.0,0.0,176497650000.0
Available For Sale Securities,0.0,168827000.0,374456000.0,793121000.0
Trading Securities,0.0,0.0,0.0,110414000.0
Long Term Equity Investment,0.0,0.0,-39761000.0,239000.0
Investments In Other Ventures Under Equity Method,0.0,0.0,239000.0,239000.0
Investmentsin Subsidiariesat Cost,0.0,0.0,-40000000.0,0.0
Net PPE,22717500000.0,19539371000.0,20128381000.0,20711368000.0
Accumulated Depreciation,0.0,-13949047000.0,-12553258000.0,-11228168000.0
Gross PPE,0.0,33488419000.0,32681639000.0,31939536000.0
Construction In Progress,0.0,464288000.0,414202000.0,348167000.0
Other Properties,0.0,15217125000.0,14473869000.0,13816355000.0
Properties,0.0,17807006000.0,17793568000.0,17775014000.0
Prepaid Assets,0.0,2629691000.0,2347789000.0,1836940000.0
Receivables,0.0,8323174000.0,9030990000.0,8958760000.0
Cash And Cash Equivalents,88988600000.0,175217848000.0,95037041000.0,113289207000.0
Cash Equivalents,0.0,0.0,0.0,0.0
Cash Financial,77940600000.0,6160287000.0,5179363000.0,5707474000.0
