,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-5306100000.0,-16532299000.0,-901481000.0,42592475000.0
Repayment Of Debt,0.0,0.0,0.0,-6000000000.0
Issuance Of Capital Stock,4318100000.0,6864968000.0,0.0,4999999000.0
Capital Expenditure,-1235100000.0,-851847000.0,-759827000.0,-1146925000.0
End Cash Position,88988600000.0,87919068000.0,95037041000.0,97926022000.0
Other Cash Adjustment Outside Changein Cash,-300000.0,0.0,0.0,0.0
Beginning Cash Position,87919100000.0,95037041000.0,97926022000.0,58723089000.0
Changes In Cash,1069800000.0,-7117973000.0,-2888981000.0,39202933000.0
Financing Cash Flow,6375900000.0,9414326000.0,-1987500000.0,-3389542000.0
Net Other Financing Charges,4275000000.0,4535000000.0,0.0,0.0
Interest Paid Cff,-2217200000.0,-1985642000.0,-1987500000.0,-2389541000.0
Net Common Stock Issuance,4318100000.0,6864968000.0,0.0,4999999000.0
Common Stock Issuance,4318100000.0,6864968000.0,0.0,4999999000.0
Net Issuance Payments Of Debt,0.0,0.0,0.0,-6000000000.0
Net Long Term Debt Issuance,0.0,0.0,0.0,-6000000000.0
Long Term Debt Payments,0.0,0.0,0.0,-6000000000.0
Investing Cash Flow,-1235100000.0,-851847000.0,-759827000.0,-1146925000.0
Net Business Purchase And Sale,0.0,0.0,0.0,0.0
Purchase Of Business,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-1235100000.0,-851847000.0,-759827000.0,-1146925000.0
Purchase Of PPE,-1235100000.0,-851847000.0,-759827000.0,-1146925000.0
Operating Cash Flow,-4071000000.0,-15680452000.0,-141654000.0,43739400000.0
Taxes Refund Paid,-4550900000.0,-2435297000.0,-877349000.0,-1327775000.0
Change In Working Capital,-21609700000.0,-27609749000.0,-18547686000.0,26610182000.0
Change In Other Current Liabilities,55884500000.0,19083648000.0,7210531000.0,-48660000.0
Change In Other Current Assets,-21644600000.0,-45101062000.0,-15803988000.0,-50365773000.0
Other Non Cash Items,2217200000.0,1985642000.0,1987500000.0,2389541000.0
Provisionand Write Offof Assets,-93200000.0,3404171000.0,10189154000.0,24734124000.0
Depreciation And Amortization,1576600000.0,1440866000.0,1342811000.0,1256738000.0
Depreciation,1576600000.0,1440866000.0,1342811000.0,1256738000.0
Net Income From Continuing Operations,17679700000.0,7371276000.0,5319444000.0,-11440262000.0
