,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,1145600.0,545067.4581,1310100.0
Tax Rate For Calcs,0.3289,0.4,0.1916,0.3
Total Unusual Items,0.0,2864000.0,2844000.0,4367000.0
Total Unusual Items Excluding Goodwill,0.0,2864000.0,2844000.0,4367000.0
Net Income From Continuing Operation Net Minority Interest,11805200000.0,4948511000.0,4284468000.0,-11833854000.0
Reconciled Depreciation,1576600000.0,1440866000.0,1342811000.0,1256738000.0
Net Interest Income,47457900000.0,39116412000.0,37712075000.0,37070462000.0
Interest Expense,46094400000.0,41013373000.0,43398800000.0,47392427000.0
Interest Income,93552300000.0,80129785000.0,81110875000.0,84462889000.0
Normalized Income,11805200000.0,4946792600.0,4282169067.4581,-11836910900.0
Net Income From Continuing And Discontinued Operation,11805200000.0,4948511000.0,4284468000.0,-11833854000.0
Diluted Average Shares,963689796.0,830285235.0,713450938.0,713450938.0
Basic Average Shares,963689796.0,830285235.0,713450938.0,713450938.0
Diluted EPS,12.25,5.96,6.01,-16.59
Basic EPS,12.25,5.96,6.01,-16.59
Diluted NI Availto Com Stockholders,11805200000.0,4948511000.0,4284468000.0,-11833854000.0
Net Income Common Stockholders,11805200000.0,4948511000.0,4284468000.0,-11833854000.0
Net Income,11805200000.0,4948511000.0,4284468000.0,-11833854000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,11805200000.0,4948510000.0,4299948000.0,-11833886000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,11805200000.0,4948510000.0,4299948000.0,-11833886000.0
Tax Provision,5874500000.0,2411400000.0,1019500000.0,393600000.0
Pretax Income,17860400000.0,5044381000.0,5319448000.0,-11440286000.0
Special Income Charges,0.0,2864000.0,2844000.0,4367000.0
Other Special Charges,0.0,-2864000.0,-2844000.0,-4367000.0
Gain On Sale Of Security,0.0,1246070000.0,2521635000.0,590228000.0
Operating Expense,37124800000.0,35986527000.0,29400030000.0,28853318000.0
Other Operating Expenses,10039200000.0,5137031000.0,4955150000.0,6390812000.0
Depreciation And Amortization In Income Statement,0.0,1440866000.0,1342811000.0,1256738000.0
Depreciation Income Statement,0.0,1440866000.0,1342811000.0,1256738000.0
Selling General And Administration,0.0,363214000.0,310874000.0,392593000.0
Selling And Marketing Expense,0.0,13471000.0,16541000.0,118148000.0
General And Administrative Expense,0.0,349743000.0,294333000.0,274445000.0
Insurance And Claims,0.0,1293846000.0,1188219000.0,903365000.0
Rent And Landing Fees,0.0,979733000.0,965767000.0,998900000.0
Total Revenue,55110300000.0,47017620000.0,44993319000.0,42569751000.0
Operating Revenue,55110300000.0,47017620000.0,44993319000.0,42569751000.0
