,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,12864021.0,16716857.0,11454094.0,14816254.0
Ordinary Shares Number,2400503583.0,2400503583.0,2405766346.0,2402404186.0
Share Issued,2400503583.0,2417220440.0,2417220440.0,2417220440.0
Net Debt,634180000000.0,611410000000.0,480790000000.0,553830000000.0
Total Debt,808530000000.0,722110000000.0,623660000000.0,613990000000.0
Tangible Book Value,634820000000.0,651150000000.0,446460000000.0,355000000000.0
Invested Capital,1445370000000.0,1372460000000.0,1067860000000.0,959480000000.0
Working Capital,-18130000000.0,78230000000.0,-74470000000.0,-71190000000.0
Net Tangible Assets,634820000000.0,651150000000.0,446460000000.0,355000000000.0
Capital Lease Obligations,20110000000.0,22620000000.0,23440000000.0,20500000000.0
Common Stock Equity,656950000000.0,672970000000.0,467640000000.0,365990000000.0
Total Capitalization,1276610000000.0,1252000000000.0,964690000000.0,812480000000.0
Total Equity Gross Minority Interest,670390000000.0,685350000000.0,461450000000.0,360240000000.0
Minority Interest,13440000000.0,12380000000.0,-6190000000.0,-5750000000.0
Stockholders Equity,656950000000.0,672970000000.0,467640000000.0,365990000000.0
Other Equity Interest,653940000000.0,2410000000.0,1170000000.0,1220000000.0
Retained Earnings,426270000000.0,426150000000.0,240430000000.0,165610000000.0
Additional Paid In Capital,61910000000.0,61910000000.0,61910000000.0,61910000000.0
Capital Stock,3010000000.0,3010000000.0,3020000000.0,3010000000.0
Common Stock,3010000000.0,3010000000.0,3020000000.0,3010000000.0
Total Liabilities Net Minority Interest,1440390000000.0,1279500000000.0,1021720000000.0,957960000000.0
Total Non Current Liabilities Net Minority Interest,740760000000.0,703990000000.0,588730000000.0,521080000000.0
Other Non Current Liabilities,390000000.0,560000000.0,1640000000.0,140000000.0
Preferred Securities Outside Stock Equity,330000000.0,290000000.0,260000000.0,240000000.0
Derivative Product Liabilities,150000000.0,40000000.0,570000000.0,1300000000.0
Tradeand Other Payables Non Current,10650000000.0,6280000000.0,5410000000.0,4340000000.0
Non Current Deferred Revenue,0.0,10240000000.0,20330000000.0,30440000000.0
Non Current Deferred Taxes Liabilities,79360000000.0,76210000000.0,35090000000.0,16770000000.0
Long Term Debt And Capital Lease Obligation,635600000000.0,594850000000.0,516440000000.0,463930000000.0
Long Term Capital Lease Obligation,15940000000.0,15820000000.0,19390000000.0,17440000000.0
Long Term Debt,619660000000.0,579030000000.0,497050000000.0,446490000000.0
Long Term Provisions,13950000000.0,14810000000.0,8520000000.0,3480000000.0
Current Liabilities,699630000000.0,575510000000.0,432990000000.0,436880000000.0
Other Current Liabilities,44570000000.0,25010000000.0,8680000000.0,4350000000.0
Current Debt And Capital Lease Obligation,172930000000.0,127260000000.0,107220000000.0,150060000000.0
Current Capital Lease Obligation,4170000000.0,6800000000.0,4050000000.0,3060000000.0
Current Debt,168760000000.0,120460000000.0,103170000000.0,147000000000.0
Current Provisions,2800000000.0,2560000000.0,2740000000.0,1610000000.0
Payables,395520000000.0,380660000000.0,277320000000.0,252960000000.0
Other Payable,59290000000.0,57620000000.0,106990000000.0,61350000000.0
Dividends Payable,570000000.0,450000000.0,320000000.0,320000000.0
Total Tax Payable,13490000000.0,3910000000.0,5560000000.0,1290000000.0
Accounts Payable,382030000000.0,318680000000.0,164450000000.0,190000000000.0
Total Assets,2110780000000.0,1964850000000.0,1483170000000.0,1318200000000.0
