,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,800720443.0,800011672.0,799320719.0,799320719.0
Share Issued,800720443.0,800011672.0,799320719.0,799320719.0
Total Debt,14320100000.0,17024081000.0,28258439000.0,11377220000.0
Tangible Book Value,85840500000.0,75961993000.0,69597395000.0,66002752000.0
Invested Capital,100160600000.0,92986074000.0,97855834000.0,77379972000.0
Net Tangible Assets,85840500000.0,75961993000.0,69597395000.0,66002752000.0
Common Stock Equity,85840500000.0,75961993000.0,69597395000.0,66002752000.0
Total Capitalization,100160600000.0,92986074000.0,97855834000.0,77379972000.0
Total Equity Gross Minority Interest,85840500000.0,75961993000.0,69597395000.0,66002752000.0
Stockholders Equity,85840500000.0,75961993000.0,69597395000.0,66002752000.0
Other Equity Interest,0.0,6317000.0,4315000.0,4896000.0
Retained Earnings,0.0,1304150000.0,410307000.0,17434000.0
Additional Paid In Capital,0.0,20679641000.0,20654322000.0,20654322000.0
Capital Stock,1604100000.0,1600023000.0,1598642000.0,1598642000.0
Common Stock,1604100000.0,1600023000.0,1598642000.0,1598642000.0
Total Liabilities Net Minority Interest,815953700000.0,724475178000.0,676634483000.0,616778949000.0
Long Term Debt And Capital Lease Obligation,14320100000.0,17024081000.0,28258439000.0,11377220000.0
Payables,0.0,1462210000.0,1565000000.0,1764629000.0
Accounts Payable,0.0,1462210000.0,1565000000.0,1764629000.0
Total Assets,901794200000.0,800437171000.0,746231878000.0,682781701000.0
Investments And Advances,188083200000.0,172160642000.0,160189253000.0,157624457000.0
Investmentin Financial Assets,188083200000.0,172160642000.0,160189253000.0,157624457000.0
Available For Sale Securities,0.0,2741514000.0,4640945000.0,14958992000.0
Net PPE,4350400000.0,4784876000.0,5390597000.0,5866369000.0
Accumulated Depreciation,0.0,-11770014000.0,-10578219000.0,-9337650000.0
Gross PPE,0.0,16554890000.0,15968816000.0,15204019000.0
Construction In Progress,0.0,148626000.0,205986000.0,231629000.0
Other Properties,0.0,13224291000.0,12694438000.0,11915562000.0
Properties,0.0,3181973000.0,3068392000.0,3056828000.0
Prepaid Assets,0.0,295223000.0,0.0,1117374000.0
Receivables,0.0,16373984000.0,12390405000.0,11418859000.0
Cash And Cash Equivalents,46951300000.0,49261723000.0,63203388000.0,43925525000.0
Cash Financial,42794800000.0,6959819000.0,8355270000.0,7765690000.0
