,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,11549900000.0,2368854000.0,32889704000.0,23688305000.0
Issuance Of Capital Stock,80800000.0,26701000.0,0.0,623000.0
Capital Expenditure,-622200000.0,-586073000.0,-765611000.0,-1349893000.0
End Cash Position,46951300000.0,49261723000.0,63203388000.0,43925525000.0
Beginning Cash Position,49261700000.0,63203388000.0,43925525000.0,36970455000.0
Changes In Cash,-2310400000.0,-13941665000.0,19277863000.0,6955070000.0
Financing Cash Flow,-1780500000.0,-958978000.0,-588906000.0,-2736981000.0
Interest Paid Cff,-582000000.0,-581965000.0,-581965000.0,-653686000.0
Cash Dividends Paid,-1279300000.0,-403714000.0,-6941000.0,-583918000.0
Common Stock Dividend Paid,-1279300000.0,-403714000.0,-6941000.0,-583918000.0
Net Common Stock Issuance,80800000.0,26701000.0,0.0,623000.0
Common Stock Issuance,80800000.0,26701000.0,0.0,623000.0
Net Issuance Payments Of Debt,0.0,0.0,0.0,-1500000000.0
Net Long Term Debt Issuance,0.0,0.0,0.0,-1500000000.0
Investing Cash Flow,-12702000000.0,-15937614000.0,-13788546000.0,-15346147000.0
Net Other Investing Changes,0.0,100000.0,0.0,0.0
Net Investment Purchase And Sale,-12090200000.0,-15362572000.0,-13025166000.0,-13996254000.0
Net PPE Purchase And Sale,-611800000.0,-575042000.0,-763380000.0,-1349893000.0
Sale Of PPE,10400000.0,11031000.0,2231000.0,0.0
Purchase Of PPE,-622200000.0,-586073000.0,-765611000.0,-1349893000.0
Operating Cash Flow,12172100000.0,2954927000.0,33655315000.0,25038198000.0
Taxes Refund Paid,2050000000.0,3150000000.0,-1400000000.0,-1200000000.0
Change In Working Capital,-17296700000.0,-20714357000.0,17162763000.0,5888725000.0
Change In Other Current Liabilities,6859900000.0,5244683000.0,2517107000.0,-665059000.0
Change In Other Current Assets,-8975800000.0,-13022494000.0,570684000.0,1818152000.0
Other Non Cash Items,1657700000.0,1939371000.0,1809246000.0,1324497000.0
Stock Based Compensation,17000000.0,4884000.0,750000.0,2008000.0
Provisionand Write Offof Assets,13697000000.0,7051773000.0,9321241000.0,14856089000.0
Deferred Tax,0.0,2576533000.0,0.0,0.0
Depreciation And Amortization,1056600000.0,1191794000.0,1241383000.0,1188816000.0
Depreciation,1056600000.0,1191794000.0,1241383000.0,1188816000.0
Pension And Employee Benefit Expense,58800000.0,20800000.0,550100000.0,101100000.0
Gain Loss On Sale Of PPE,-10400000.0,-11031000.0,-2231000.0,124566000.0
Net Income From Continuing Operations,11060900000.0,6732674000.0,3593893000.0,2350247000.0
