,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,-22291900000.0,77482239000.0,45125410000.0,461662071000.0
Repayment Of Debt,0.0,0.0,-178378200000.0,0.0
Issuance Of Capital Stock,2678600000.0,3585634000.0,78437487000.0,3606107000.0
Capital Expenditure,-9867600000.0,-6697695000.0,-3685902000.0,-4526218000.0
End Cash Position,429253400000.0,526654843000.0,477166201000.0,640798483000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,0.0,-350.0
Beginning Cash Position,526654800000.0,477166201000.0,640798483000.0,312644613000.0
Changes In Cash,-97401400000.0,49488642000.0,-163632282000.0,328153870350.0
Other Cash Adjustment Inside Changein Cash,1694700000.0,663553000.0,-561770000.0,1304275000.0
Financing Cash Flow,18830000000.0,75489112000.0,-100720461000.0,-7349958000.0
Cash Dividends Paid,-2589200000.0,-2189625000.0,-405000000.0,-2330150000.0
Common Stock Dividend Paid,-2589200000.0,-2189625000.0,-405000000.0,-2330150000.0
Net Preferred Stock Issuance,0.0,0.0,0.0,0.0
Preferred Stock Issuance,0.0,0.0,0.0,0.0
Net Common Stock Issuance,2678600000.0,3585634000.0,78437487000.0,3606107000.0
Common Stock Issuance,2678600000.0,3585634000.0,78437487000.0,3606107000.0
Net Issuance Payments Of Debt,18740600000.0,74093636000.0,-178378154000.0,-8622215000.0
Net Long Term Debt Issuance,18740600000.0,74093636000.0,-178378154000.0,-8622215000.0
Long Term Debt Payments,0.0,0.0,-178378200000.0,0.0
Investing Cash Flow,-105501800000.0,-110843957000.0,-111161363000.0,-131988735650.0
Net Other Investing Changes,0.0,0.0,0.0,350.0
Net Investment Purchase And Sale,-95895500000.0,-104510692000.0,-108159952000.0,-128004464000.0
Purchase Of Investment,-95895500000.0,-104510692000.0,-108159952000.0,-128004464000.0
Net Business Purchase And Sale,0.0,0.0,0.0,142615000.0
Sale Of Business,0.0,0.0,0.0,142615000.0
Purchase Of Business,0.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-9606300000.0,-6333265000.0,-3001411000.0,-4126887000.0
Sale Of PPE,261300000.0,364430000.0,684491000.0,399331000.0
Purchase Of PPE,-9867600000.0,-6697695000.0,-3685902000.0,-4526218000.0
Operating Cash Flow,-12424300000.0,84179934000.0,48811312000.0,466188289000.0
Taxes Refund Paid,-47653800000.0,-37443422000.0,-32260778000.0,-28662809000.0
Change In Working Capital,-182755700000.0,-40232599000.0,-37925604000.0,340955093000.0
Change In Other Current Liabilities,-17465300000.0,83593062000.0,57616962000.0,-5154941000.0
Change In Other Current Assets,95623800000.0,58048065000.0,66182385000.0,31081811000.0
Other Non Cash Items,5776300000.0,5613196000.0,4275065000.0,3141827000.0
Stock Based Compensation,456400000.0,314383000.0,18223000.0,27688000.0
Provisionand Write Offof Assets,4578500000.0,8509098000.0,28804242000.0,23771717000.0
Depreciation And Amortization,5992600000.0,4803507000.0,4610504000.0,4648883000.0
Depreciation,5992600000.0,4803507000.0,4610504000.0,4648883000.0
Gain Loss On Investment Securities,5009000000.0,-15810292000.0,-53799847000.0,6572801000.0
Gain Loss On Sale Of PPE,-107800000.0,-264297000.0,-386560000.0,-294242000.0
Net Income From Continuing Operations,196461800000.0,159483010000.0,131683372000.0,114218010000.0
