,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,17408800000.0,-5240521000.0,32806493000.0,-1471254000.0
Repayment Of Debt,0.0,-3007099000.0,-8852559000.0,-4253750000.0
Issuance Of Debt,985500000.0,0.0,0.0,0.0
Issuance Of Capital Stock,65100000.0,17494000.0,4717000.0,61000.0
Capital Expenditure,-888100000.0,-565959000.0,-876225000.0,-575290000.0
End Cash Position,61594700000.0,44367585000.0,53155662000.0,29194906000.0
Other Cash Adjustment Outside Changein Cash,0.0,-1000.0,0.0,0.0
Beginning Cash Position,44367600000.0,53155662000.0,29194906000.0,36097485000.0
Changes In Cash,17227100000.0,-8788076000.0,23960756000.0,-6902579000.0
Financing Cash Flow,-194600000.0,-3549170000.0,-8847842000.0,-5446134000.0
Cash Dividends Paid,-1245200000.0,-559565000.0,0.0,-1192445000.0
Common Stock Dividend Paid,-1245200000.0,-559565000.0,0.0,-1192445000.0
Net Common Stock Issuance,65100000.0,17494000.0,4717000.0,61000.0
Common Stock Issuance,65100000.0,17494000.0,4717000.0,61000.0
Net Issuance Payments Of Debt,985500000.0,-3007099000.0,-8852559000.0,-4253750000.0
Net Long Term Debt Issuance,985500000.0,-3007099000.0,-8852559000.0,-4253750000.0
Long Term Debt Payments,0.0,-3007099000.0,-8852559000.0,-4253750000.0
Long Term Debt Issuance,985500000.0,0.0,0.0,0.0
Investing Cash Flow,-875200000.0,-564344000.0,-874120000.0,-560481000.0
Net Business Purchase And Sale,-5000000.0,-5000000.0,-5000000.0,0.0
Purchase Of Business,-5000000.0,-5000000.0,-5000000.0,0.0
Net PPE Purchase And Sale,-870200000.0,-559344000.0,-869120000.0,-560481000.0
Sale Of PPE,17900000.0,6615000.0,7105000.0,14809000.0
Purchase Of PPE,-888100000.0,-565959000.0,-876225000.0,-575290000.0
Operating Cash Flow,18296900000.0,-4674562000.0,33682718000.0,-895964000.0
Taxes Refund Paid,-3074600000.0,-2390528000.0,-3343138000.0,-2144741000.0
Change In Working Capital,-4430100000.0,-20555558000.0,15027587000.0,-16724131000.0
Change In Other Current Assets,0.0,0.0,1893703000.0,0.0
Other Non Cash Items,1035500000.0,1192380000.0,1253200000.0,760535000.0
Provisionand Write Offof Assets,7672200000.0,9394319000.0,13872806000.0,11347421000.0
Deferred Tax,2608000000.0,1859442000.0,1293602000.0,902467000.0
Depreciation And Amortization,864400000.0,736935000.0,735226000.0,637649000.0
Depreciation,864400000.0,736935000.0,735226000.0,637649000.0
Gain Loss On Investment Securities,1821700000.0,0.0,0.0,0.0
Gain Loss On Sale Of PPE,3000000.0,8517000.0,18846000.0,7071000.0
Net Income From Continuing Operations,11796800000.0,5079932000.0,4824589000.0,4317765000.0
