,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,186331700000.0,160529500000.0,210364400000.0,32570600000.0
Repayment Of Debt,-327949900000.0,-358064400000.0,-444699800000.0,-336850300000.0
Issuance Of Debt,282983300000.0,273932600000.0,357375200000.0,475026300000.0
Issuance Of Capital Stock,103100000.0,109700000.0,158500000.0,175600000.0
Capital Expenditure,-41437900000.0,-31106300000.0,-18077000000.0,-34368200000.0
End Cash Position,169266900000.0,137702400000.0,132570100000.0,111179500000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,-18600000.0,-1514400000.0
Beginning Cash Position,137702400000.0,133735200000.0,111179500000.0,64602300000.0
Effect Of Exchange Rate Changes,2636800000.0,823000000.0,0.0,0.0
Changes In Cash,28927700000.0,3144200000.0,21409200000.0,48091600000.0
Financing Cash Flow,-115724900000.0,-151814800000.0,-152743800000.0,63715500000.0
Net Other Financing Charges,-5246500000.0,-8757700000.0,8627500000.0,-3734800000.0
Interest Paid Cff,-30467300000.0,-29679200000.0,-33879900000.0,-29024900000.0
Cash Dividends Paid,-30914200000.0,-25283800000.0,-36508900000.0,-39296100000.0
Common Stock Dividend Paid,-30914200000.0,0.0,0.0,-39296100000.0
Net Common Stock Issuance,103100000.0,109700000.0,158500000.0,175600000.0
Common Stock Issuance,103100000.0,109700000.0,158500000.0,175600000.0
Net Issuance Payments Of Debt,-44966600000.0,-84131800000.0,-87324600000.0,138176000000.0
Net Long Term Debt Issuance,-44966600000.0,-84131800000.0,-87324600000.0,138176000000.0
Long Term Debt Payments,-327949900000.0,-358064400000.0,-444699800000.0,-336850300000.0
Long Term Debt Issuance,282983300000.0,273932600000.0,357375200000.0,475026300000.0
Investing Cash Flow,-83117000000.0,-36676800000.0,-54288400000.0,-82562700000.0
Net Other Investing Changes,-7736300000.0,-28439200000.0,9288200000.0,14254800000.0
Interest Received Cfi,16089900000.0,9685500000.0,12754500000.0,8375400000.0
Dividends Received Cfi,1574200000.0,1609500000.0,2035200000.0,1141300000.0
Net Investment Purchase And Sale,-82928500000.0,3068600000.0,-184746000000.0,24535800000.0
Sale Of Investment,8271500000.0,24631000000.0,2401900000.0,43242200000.0
Purchase Of Investment,-91200000000.0,-21562400000.0,-187147900000.0,-18706400000.0
Net Business Purchase And Sale,27627400000.0,9277900000.0,117119000000.0,-96900500000.0
Sale Of Business,28939600000.0,10156400000.0,118336700000.0,2538800000.0
Purchase Of Business,-1312200000.0,-878500000.0,-1217700000.0,-99439300000.0
Net PPE Purchase And Sale,-37934200000.0,-30398800000.0,-9223400000.0,-32994300000.0
Sale Of PPE,3503700000.0,707500000.0,8853600000.0,1373900000.0
Purchase Of PPE,-41437900000.0,-31106300000.0,-18077000000.0,-34368200000.0
Capital Expenditure Reported,0.0,0.0,0.0,-34368200000.0
Operating Cash Flow,227769600000.0,191635800000.0,228441400000.0,66938800000.0
Taxes Refund Paid,-51271600000.0,-45521300000.0,-34710100000.0,-40464500000.0
Change In Working Capital,53791400000.0,47566300000.0,99702000000.0,-77844900000.0
Change In Payable,54127100000.0,96597100000.0,22197800000.0,31342300000.0
Change In Inventory,-4757500000.0,-743300000.0,3489000000.0,3531900000.0
Change In Receivables,4421800000.0,-48287500000.0,74015200000.0,-112719100000.0
Other Non Cash Items,13795300000.0,20075800000.0,25255200000.0,21026400000.0
Stock Based Compensation,2495100000.0,1353100000.0,1376700000.0,1908400000.0
Depreciation And Amortization,35022500000.0,29380300000.0,29042100000.0,24622700000.0
Amortization Cash Flow,9921000000.0,9085900000.0,0.0,0.0
Depreciation,35022500000.0,20294400000.0,29042100000.0,24622700000.0
Gain Loss On Investment Securities,-591500000.0,-4442600000.0,-11472400000.0,-8486300000.0
Net Foreign Currency Exchange Gain Loss,-687500000.0,-848700000.0,-4900000.0,-824500000.0
Gain Loss On Sale Of PPE,-1676500000.0,-176000000.0,-5288100000.0,332800000.0
Gain Loss On Sale Of Business,0.0,-16500000.0,-107079200000.0,0.0
Net Income From Continuing Operations,169730400000.0,144107300000.0,230263000000.0,143142000000.0
