,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,29041000000.0,-16188000000.0,64859000000.0,588000000.0
Capital Expenditure,-63473000000.0,-34593000000.0,-23703000000.0,-34370000000.0
End Cash Position,373000000.0,351000000.0,408000000.0,208000000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,-30000000000.0,0.0
Beginning Cash Position,351000000.0,408000000.0,208000000.0,1859000000.0
Changes In Cash,22000000.0,-57000000.0,200000000.0,-1651000000.0
Financing Cash Flow,-12131000000.0,-16070000000.0,-15449000000.0,-31043000000.0
Net Other Financing Charges,0.0,0.0,0.0,-4968000000.0
Interest Paid Cff,-1858000000.0,-1298000000.0,-1016000000.0,-1355000000.0
Cash Dividends Paid,-18125000000.0,-13594000000.0,-18125000000.0,-24166000000.0
Common Stock Dividend Paid,0.0,-13594000000.0,-18125000000.0,-24166000000.0
Net Issuance Payments Of Debt,8312000000.0,-1097000000.0,3803000000.0,-456000000.0
Net Short Term Debt Issuance,0.0,0.0,3803000000.0,0.0
Investing Cash Flow,-80361000000.0,-2392000000.0,-72913000000.0,-5566000000.0
Interest Received Cfi,1941000000.0,1745000000.0,670000000.0,963000000.0
Dividends Received Cfi,60000000.0,29000000.0,32000000.0,37000000.0
Net Investment Purchase And Sale,-19885000000.0,30526000000.0,-49461000000.0,27584000000.0
Sale Of Investment,646083000000.0,665824000000.0,429195000000.0,469687000000.0
Purchase Of Investment,-665968000000.0,-635298000000.0,-478656000000.0,-442103000000.0
Net Business Purchase And Sale,0.0,-1459000000.0,-871000000.0,-150000000.0
Purchase Of Business,0.0,-1459000000.0,-871000000.0,-150000000.0
Net Intangibles Purchase And Sale,-2307000000.0,-2530000000.0,-2383000000.0,-2423000000.0
Purchase Of Intangibles,-2307000000.0,-2530000000.0,-2383000000.0,-2423000000.0
Net PPE Purchase And Sale,-60170000000.0,-30703000000.0,-20900000000.0,-31577000000.0
Sale Of PPE,996000000.0,1360000000.0,420000000.0,370000000.0
Purchase Of PPE,-61166000000.0,-32063000000.0,-21320000000.0,-31947000000.0
Operating Cash Flow,92514000000.0,18405000000.0,88562000000.0,34958000000.0
Taxes Refund Paid,-22328000000.0,-11783000000.0,-10113000000.0,-14375000000.0
Dividend Received Cfo,0.0,0.0,104000000.0,867000000.0
Change In Working Capital,3727000000.0,-28131000000.0,43365000000.0,-25701000000.0
Change In Other Current Liabilities,3524000000.0,6136000000.0,15023000000.0,-3886000000.0
Change In Other Current Assets,-838000000.0,-19342000000.0,-7565000000.0,-3182000000.0
Change In Payable,20075000000.0,-3959000000.0,26801000000.0,-21551000000.0
Change In Inventory,-7512000000.0,-4833000000.0,1649000000.0,1087000000.0
Change In Receivables,-12573000000.0,-7715000000.0,6905000000.0,1875000000.0
Other Non Cash Items,16000000.0,-481000000.0,290000000.0,336000000.0
Depreciation And Amortization,28257000000.0,27890000000.0,30341000000.0,35284000000.0
Amortization Cash Flow,2080000000.0,1608000000.0,0.0,0.0
Depreciation,28257000000.0,26282000000.0,30341000000.0,35284000000.0
Gain Loss On Investment Securities,-19148000000.0,-15700000000.0,-28052000000.0,-30086000000.0
Net Foreign Currency Exchange Gain Loss,209000000.0,309000000.0,621000000.0,-768000000.0
Gain Loss On Sale Of PPE,115000000.0,458000000.0,590000000.0,424000000.0
Net Income From Continuing Operations,103231000000.0,46972000000.0,53210000000.0,71028000000.0
