,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,129184120.0,128784120.0,128584120.0,122516159.0
Share Issued,129184120.0,128784120.0,128584120.0,122516159.0
Total Debt,1076490000.0,640680000.0,650890000.0,772770000.0
Tangible Book Value,128000180000.0,163398500000.0,53795240000.0,21100350000.0
Invested Capital,134004430000.0,172423780000.0,54597970000.0,21961750000.0
Working Capital,23416930000.0,23313960000.0,24298700000.0,8831610000.0
Net Tangible Assets,128000180000.0,163398500000.0,53795240000.0,21100350000.0
Capital Lease Obligations,1052300000.0,630500000.0,648470000.0,766580000.0
Common Stock Equity,133980240000.0,172413600000.0,54595550000.0,21955560000.0
Total Capitalization,133994220000.0,172420080000.0,54596270000.0,21957980000.0
Total Equity Gross Minority Interest,144258750000.0,180506840000.0,55382820000.0,21955560000.0
Minority Interest,10278510000.0,8093240000.0,787270000.0,0.0
Stockholders Equity,133980240000.0,172413600000.0,54595550000.0,21955560000.0
Other Equity Interest,132690120000.0,1008950000.0,499330000.0,397380000.0
Retained Earnings,138327300000.0,142976850000.0,25001750000.0,10943080000.0
Additional Paid In Capital,26555890000.0,26555890000.0,26457300000.0,8227660000.0
Capital Stock,1290120000.0,1287050000.0,1285230000.0,1222660000.0
Common Stock,1290120000.0,1287050000.0,1285230000.0,1222660000.0
Total Liabilities Net Minority Interest,22344240000.0,24322050000.0,8692060000.0,7033360000.0
Total Non Current Liabilities Net Minority Interest,8854860000.0,12918090000.0,1564090000.0,639550000.0
Other Non Current Liabilities,20350000.0,56740000.0,10000.0,10000.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,0.0,8880000.0,6350000.0
Non Current Accrued Expenses,0.0,0.0,0.0,0.0
Tradeand Other Payables Non Current,1340000.0,4620000.0,12560000.0,0.0
Non Current Deferred Revenue,18980000.0,13730000.0,11490000.0,9750000.0
Non Current Deferred Taxes Liabilities,8004330000.0,12451200000.0,1103520000.0,54820000.0
Long Term Debt And Capital Lease Obligation,798870000.0,386260000.0,440190000.0,568620000.0
Long Term Capital Lease Obligation,784890000.0,379780000.0,439470000.0,566200000.0
Long Term Debt,13980000.0,6480000.0,720000.0,2420000.0
Long Term Provisions,16080000.0,5540000.0,8880000.0,0.0
Current Liabilities,13489380000.0,11403960000.0,7127970000.0,6393810000.0
Other Current Liabilities,11220110000.0,16660000.0,5600390000.0,0.0
Current Deferred Taxes Liabilities,12010000.0,15470000.0,0.0,0.0
