,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-78226130.7690,-598938932.3697,12723182.3207,4324956.7288
Tax Rate For Calcs,0.2658,0.2562,0.2596,0.2637
Normalized EBITDA,38429800000.0,37089000000.0,33424500000.0,31095400000.0
Total Unusual Items,-294300000.0,-2337500000.0,49000000.0,16400000.0
Total Unusual Items Excluding Goodwill,-294300000.0,-2337500000.0,49000000.0,16400000.0
Net Income From Continuing Operation Net Minority Interest,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Reconciled Depreciation,4030100000.0,3901900000.0,3703800000.0,3163600000.0
Reconciled Cost Of Revenue,77498600000.0,64551500000.0,57770700000.0,53124700000.0
EBITDA,38135500000.0,34751500000.0,33473500000.0,31111800000.0
EBIT,34105400000.0,30849600000.0,29769700000.0,27948200000.0
Net Interest Income,-1545700000.0,-810800000.0,-203700000.0,1141300000.0
Interest Expense,1545700000.0,2011900000.0,1641800000.0,1198300000.0
Interest Income,1010000000.0,1201100000.0,1438100000.0,2339600000.0
Normalized Income,24121273869.2309,23187161067.6302,20788023182.3207,19683424956.7288
Net Income From Continuing And Discontinued Operation,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Total Expenses,133942400000.0,113815400000.0,104112700000.0,97094300000.0
Rent Expense Supplemental,0.0,0.0,0.0,578500000.0
Diluted Average Shares,96415716.0,96415716.0,96417724.0,96415716.0
Basic Average Shares,96415716.0,96415716.0,96417724.0,96415716.0
Diluted EPS,247.94,219.72,215.98,204.16
Basic EPS,247.94,219.72,215.98,204.16
Diluted NI Availto Com Stockholders,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Net Income Common Stockholders,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Net Income Including Noncontrolling Interests,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Net Income Continuous Operations,23905200000.0,21448600000.0,20824300000.0,19695500000.0
Tax Provision,8654500000.0,7389100000.0,7303600000.0,7054400000.0
Pretax Income,32559700000.0,28837700000.0,28127900000.0,26749900000.0
Other Non Operating Income Expenses,446800000.0,-534000000.0,-464200000.0,-383100000.0
Special Income Charges,-294300000.0,-2337500000.0,49000000.0,15600000.0
Other Special Charges,-62600000.0,2325300000.0,-49000000.0,-15600000.0
Impairment Of Capital Assets,294300000.0,12200000.0,0.0,0.0
Net Non Operating Interest Income Expense,-1545700000.0,-810800000.0,-203700000.0,1141300000.0
Interest Expense Non Operating,1545700000.0,2011900000.0,1641800000.0,1198300000.0
Interest Income Non Operating,1010000000.0,1201100000.0,1438100000.0,2339600000.0
Operating Income,33952900000.0,32521800000.0,28788900000.0,25858400000.0
Operating Expense,56443800000.0,49263900000.0,46342000000.0,43969600000.0
Other Operating Expenses,37133400000.0,15433400000.0,14073300000.0,14304300000.0
Depreciation And Amortization In Income Statement,4030100000.0,3901900000.0,3703800000.0,3163600000.0
Depreciation Income Statement,4030100000.0,3901900000.0,3703800000.0,3163600000.0
Research And Development,657600000.0,638200000.0,502300000.0,459700000.0
Selling General And Administration,14987500000.0,14681700000.0,13506100000.0,13434800000.0
Selling And Marketing Expense,14877300000.0,14587500000.0,13441000000.0,13376900000.0
General And Administrative Expense,110200000.0,94200000.0,65100000.0,57900000.0
Rent And Landing Fees,0.0,0.0,0.0,578500000.0
Gross Profit,90396700000.0,81785700000.0,75130900000.0,69828000000.0
Cost Of Revenue,77498600000.0,64551500000.0,57770700000.0,53124700000.0
Total Revenue,167895300000.0,146337200000.0,132901600000.0,122952700000.0
Operating Revenue,167895300000.0,146337200000.0,132901600000.0,122952700000.0
