,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,1195828000.0,1300819000.0,2039875000.0,462627000.0
Repayment Of Debt,-23428000.0,0.0,0.0,0.0
Issuance Of Capital Stock,7273000.0,10739000.0,15395000.0,42066000.0
Capital Expenditure,-167715000.0,-126909000.0,-117115000.0,-437906000.0
End Cash Position,1080206000.0,1035707000.0,717494000.0,1001104000.0
Beginning Cash Position,1035707000.0,717117000.0,1001104000.0,1577513000.0
Effect Of Exchange Rate Changes,64422000.0,16522000.0,12137000.0,34711000.0
Changes In Cash,-19923000.0,302068000.0,-295747000.0,-611120000.0
Financing Cash Flow,-440482000.0,-319738000.0,-1023121000.0,-472013000.0
Interest Paid Cff,0.0,0.0,-8671000.0,-63526000.0
Cash Dividends Paid,-314801000.0,-244531000.0,-139911000.0,-251668000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-251668000.0
Net Common Stock Issuance,7273000.0,10739000.0,15395000.0,42066000.0
Common Stock Issuance,7273000.0,10739000.0,15395000.0,42066000.0
Net Issuance Payments Of Debt,-23428000.0,0.0,-745321000.0,45403000.0
Net Short Term Debt Issuance,-23428000.0,0.0,-745321000.0,45403000.0
Short Term Debt Payments,-23428000.0,0.0,0.0,0.0
Investing Cash Flow,-942984000.0,-805922000.0,-1429616000.0,-1039640000.0
Interest Received Cfi,149365000.0,141713000.0,79556000.0,67036000.0
Net Investment Purchase And Sale,-925425000.0,-728842000.0,-1393290000.0,-669049000.0
Sale Of Investment,925149000.0,1540822000.0,1444443000.0,246746000.0
Purchase Of Investment,-1850574000.0,-2269664000.0,-2837733000.0,-915795000.0
Net Business Purchase And Sale,0.0,-68858000.0,0.0,0.0
Purchase Of Business,0.0,-68858000.0,0.0,0.0
Net PPE Purchase And Sale,-166924000.0,-125835000.0,-115882000.0,-437627000.0
Sale Of PPE,791000.0,1074000.0,1233000.0,279000.0
Purchase Of PPE,-167715000.0,-126909000.0,-117115000.0,-437906000.0
Capital Expenditure Reported,0.0,0.0,0.0,-437906000.0
Operating Cash Flow,1363543000.0,1427728000.0,2156990000.0,900533000.0
Taxes Refund Paid,-395005000.0,-479031000.0,-314752000.0,-321785000.0
Change In Working Capital,-726693000.0,-364176000.0,231169000.0,-89247000.0
Change In Other Current Liabilities,405989000.0,133072000.0,118389000.0,290988000.0
Change In Other Current Assets,-28109000.0,-149007000.0,91913000.0,-173017000.0
Change In Payable,47409000.0,148623000.0,-48997000.0,43537000.0
Change In Receivables,-1195324000.0,-532432000.0,1927000.0,-286104000.0
Other Non Cash Items,-173795000.0,-135888000.0,-65450000.0,-16750000.0
Stock Based Compensation,146391000.0,54826000.0,6459000.0,8703000.0
Provisionand Write Offof Assets,93166000.0,189693000.0,306138000.0,225949000.0
Depreciation And Amortization,246691000.0,176302000.0,201023000.0,199110000.0
Amortization Cash Flow,35245000.0,0.0,0.0,0.0
Depreciation,246691000.0,176302000.0,201023000.0,199110000.0
Gain Loss On Investment Securities,-23859000.0,-19738000.0,-16880000.0,-15909000.0
Net Foreign Currency Exchange Gain Loss,23784000.0,-27991000.0,-1371000.0,-36845000.0
Gain Loss On Sale Of PPE,58000.0,-805000.0,-1016000.0,-110000.0
Net Income From Continuing Operations,2172805000.0,2034536000.0,1811670000.0,947417000.0
