,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,3901115.7,5699455.0,3721213.7
Tax Rate For Calcs,0.1887,0.1899,0.307,0.2323
Normalized EBITDA,2462006000.0,2211003000.0,2031548000.0,1229952000.0
Total Unusual Items,23801000.0,20543000.0,18565000.0,16019000.0
Total Unusual Items Excluding Goodwill,23801000.0,20543000.0,18565000.0,16019000.0
Net Income From Continuing Operation Net Minority Interest,1762653000.0,1642147000.0,1264823000.0,727346000.0
Reconciled Depreciation,246691000.0,176302000.0,201023000.0,199110000.0
Reconciled Cost Of Revenue,5158993000.0,163263000.0,124575000.0,225938000.0
EBITDA,2462006000.0,2231546000.0,2050113000.0,1245971000.0
EBIT,2215315000.0,2055243000.0,1848616000.0,1046860000.0
Net Interest Income,-42510000.0,115937000.0,47256000.0,-9245000.0
Interest Expense,42510000.0,20707000.0,36946000.0,99443000.0
Interest Income,207820000.0,150853000.0,103514000.0,99876000.0
Normalized Income,1762653000.0,1625505115.7,1251957455.0,715048213.7
Net Income From Continuing And Discontinued Operation,1762653000.0,1642147000.0,1264823000.0,727346000.0
Total Expenses,5405684000.0,6011107000.0,4962619000.0,5709748000.0
Rent Expense Supplemental,29218000.0,61635000.0,24991000.0,41661000.0
Diluted Average Shares,70500240.0,69889558.0,69892948.0,69229202.0
Basic Average Shares,69612319.0,69421757.0,69190786.0,68880363.0
Diluted EPS,25.0,23.5,18.1,10.51
Basic EPS,25.32,23.65,18.28,10.56
Diluted NI Availto Com Stockholders,1762653000.0,1642147000.0,1264823000.0,727346000.0
Net Income Common Stockholders,1762653000.0,1642147000.0,1264823000.0,727346000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1762653000.0,1642147000.0,1264823000.0,727346000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,1762653000.0,1642147000.0,1264823000.0,727346000.0
Net Income Continuous Operations,1762653000.0,1642147000.0,1264823000.0,727346000.0
Tax Provision,410152000.0,392389000.0,546847000.0,220071000.0
Pretax Income,2172805000.0,2034536000.0,1811670000.0,947417000.0
Other Non Operating Income Expenses,-2118789000.0,7482000.0,-901000.0,-26890000.0
Special Income Charges,-58000.0,805000.0,1004000.0,110000.0
Other Special Charges,58000.0,-805000.0,-1004000.0,-110000.0
Write Off,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-42510000.0,115937000.0,47256000.0,-9245000.0
Total Other Finance Cost,8485000.0,14209000.0,19312000.0,9678000.0
Interest Expense Non Operating,42510000.0,20707000.0,36946000.0,99443000.0
Interest Income Non Operating,207820000.0,150853000.0,103514000.0,99876000.0
Operating Income,4334104000.0,1778508000.0,1763625000.0,897814000.0
Operating Expense,246691000.0,5847844000.0,4838044000.0,5483810000.0
Other Operating Expenses,1275373000.0,694865000.0,744670000.0,1250902000.0
Depreciation And Amortization In Income Statement,246691000.0,176303000.0,201497000.0,199111000.0
Amortization,35245000.0,10934000.0,8401000.0,8868000.0
Depreciation Income Statement,246691000.0,165369000.0,193096000.0,190243000.0
Selling General And Administration,965418000.0,776834000.0,578382000.0,540849000.0
Selling And Marketing Expense,258421000.0,288514000.0,137308000.0,210546000.0
General And Administrative Expense,706997000.0,488320000.0,441074000.0,330303000.0
Rent And Landing Fees,29218000.0,61635000.0,24991000.0,41661000.0
Gross Profit,4580795000.0,7626352000.0,6601669000.0,6381624000.0
Cost Of Revenue,5158993000.0,163263000.0,124575000.0,225938000.0
Total Revenue,9739788000.0,7789615000.0,6726244000.0,6607562000.0
Operating Revenue,9739788000.0,7789615000.0,6726244000.0,6607562000.0
