,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,0.0,0.0,0.0,0.0
Ordinary Shares Number,9696666134.0,9696666134.0,9696666134.0,9894557280.0
Share Issued,9696666134.0,9696666134.0,9696666134.0,9894557280.0
Net Debt,2193395300000.0,2088268100000.0,2083603600000.0,1991845400000.0
Total Debt,2216259700000.0,2107065600000.0,2102078700000.0,2006296700000.0
Tangible Book Value,1464353700000.0,1346934200000.0,1249894700000.0,1179153000000.0
Invested Capital,3668283500000.0,3449290000000.0,3350488500000.0,3186132200000.0
Working Capital,-159153000000.0,-183975800000.0,-142556400000.0,-74322300000.0
Net Tangible Assets,1464353700000.0,1346934200000.0,1249894700000.0,1179153000000.0
Capital Lease Obligations,18207900000.0,11513000000.0,8974900000.0,8556100000.0
Common Stock Equity,1470231700000.0,1353737400000.0,1257384700000.0,1188391600000.0
Total Capitalization,3349067400000.0,3172449300000.0,3062746800000.0,2941217700000.0
Total Equity Gross Minority Interest,1509536200000.0,1391341500000.0,1292621800000.0,1221563500000.0
Minority Interest,39304500000.0,37604100000.0,35237100000.0,33171900000.0
Stockholders Equity,1470231700000.0,1353737400000.0,1257384700000.0,1188391600000.0
Other Equity Interest,1373265000000.0,64217200000.0,69704700000.0,77009700000.0
Retained Earnings,345241100000.0,241333300000.0,140541600000.0,110093500000.0
Additional Paid In Capital,1978900000.0,1978900000.0,1978900000.0,22284600000.0
Capital Stock,96966700000.0,96966700000.0,96966700000.0,98945600000.0
Common Stock,96966700000.0,96966700000.0,96966700000.0,98945600000.0
Total Liabilities Net Minority Interest,2950678300000.0,2773825800000.0,2697040300000.0,2552307800000.0
Total Non Current Liabilities Net Minority Interest,2105328600000.0,2007903100000.0,1986311400000.0,1908926800000.0
Other Non Current Liabilities,26119500000.0,19266500000.0,19964700000.0,0.0
Tradeand Other Payables Non Current,865200000.0,9791200000.0,21691500000.0,14711900000.0
Non Current Deferred Revenue,29504800000.0,42050700000.0,22632800000.0,46138300000.0
Non Current Deferred Taxes Liabilities,126900000000.0,109516700000.0,98878200000.0,76171100000.0
Long Term Debt And Capital Lease Obligation,1894876100000.0,1828338800000.0,1812719100000.0,1760200200000.0
Long Term Capital Lease Obligation,16040400000.0,9626900000.0,7357000000.0,7374100000.0
Long Term Debt,1878835700000.0,1818711900000.0,1805362100000.0,1752826100000.0
Long Term Provisions,19178900000.0,16551900000.0,10423900000.0,11691700000.0
Current Liabilities,845349700000.0,765922700000.0,710728900000.0,643381000000.0
Other Current Liabilities,20885500000.0,16258400000.0,11679400000.0,9772400000.0
Current Debt And Capital Lease Obligation,321383600000.0,278726800000.0,289359600000.0,246096500000.0
Current Capital Lease Obligation,2167500000.0,1886100000.0,1617900000.0,1182000000.0
Current Debt,319216100000.0,276840700000.0,287741700000.0,244914500000.0
Current Provisions,82172600000.0,78756900000.0,81136000000.0,72879100000.0
Payables,139088200000.0,383075600000.0,318305100000.0,306727100000.0
Other Payable,280280500000.0,268711200000.0,230668900000.0,205430700000.0
Dividends Payable,190700000.0,179900000.0,198400000.0,193500000.0
Total Tax Payable,864700000.0,1411300000.0,175000000.0,17100000.0
Accounts Payable,138223500000.0,112773200000.0,87262800000.0,101085800000.0
Total Assets,4460214500000.0,4165167300000.0,3989662100000.0,3773871300000.0
Total Non Current Assets,3774017800000.0,3583220400000.0,3421489600000.0,3204812600000.0
Other Non Current Assets,163339100000.0,158738600000.0,100000.0,100000.0
Non Current Prepaid Assets,146952000000.0,142571200000.0,149940400000.0,111579800000.0
Non Current Deferred Assets,125486600000.0,147992400000.0,135832200000.0,119664600000.0
Non Current Deferred Taxes Assets,9378500000.0,9957000000.0,10758900000.0,93977300000.0
Investmentin Financial Assets,15334000000.0,1439600000.0,1207700000.0,976600000.0
Held To Maturity Securities,5250000000.0,0.0,0.0,0.0
Available For Sale Securities,15334000000.0,1401800000.0,1169900000.0,938800000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,37800000.0,37800000.0,37800000.0,37800000.0
Long Term Equity Investment,132520900000.0,105221400000.0,99921800000.0,92563100000.0
Investmentsin Joint Venturesat Cost,132520900000.0,105221400000.0,99921800000.0,92563100000.0
Goodwill And Other Intangible Assets,5878000000.0,6803200000.0,7490000000.0,9238600000.0
Other Intangible Assets,5878000000.0,6803200000.0,7490000000.0,9238600000.0
Net PPE,3290156200000.0,3153689600000.0,3000022100000.0,2853874000000.0
Accumulated Depreciation,-985537400000.0,-837814300000.0,-700956500000.0,-489278000000.0
Gross PPE,3290156200000.0,3991503900000.0,3700978600000.0,3343152000000.0
Construction In Progress,891331200000.0,910252100000.0,974041600000.0,982109400000.0
Other Properties,2398825000000.0,96490600000.0,85401700000.0,66260900000.0
Machinery Furniture Equipment,2705376500000.0,2455298700000.0,2140476300000.0,1834387400000.0
Buildings And Improvements,205994100000.0,193167800000.0,174618200000.0,149344300000.0
Land And Improvements,202144100000.0,191878000000.0,187064500000.0,177772100000.0
Properties,152628000000.0,144416700000.0,139376300000.0,133277900000.0
Current Assets,686196700000.0,581946900000.0,568172500000.0,569058700000.0
Other Current Assets,111602700000.0,221200000.0,725800000.0,1103500000.0
Hedging Assets Current,0.0,0.0,0.0,0.0
Assets Held For Sale Current,1209200000.0,185100000.0,969400000.0,2492200000.0
Current Deferred Assets,216000000.0,234200000.0,249400000.0,260500000.0
Restricted Cash,28195000000.0,19455400000.0,14810800000.0,16093000000.0
Prepaid Assets,78700900000.0,59898900000.0,58972200000.0,42898900000.0
Inventory,142403700000.0,101392900000.0,98096000000.0,111385400000.0
Inventories Adjustments Allowances,-2134900000.0,-2307100000.0,-2100400000.0,-2838500000.0
Other Inventories,14104800000.0,10424600000.0,9004600000.0,9519400000.0
Raw Materials,130433800000.0,93275400000.0,91191800000.0,104704500000.0
Other Receivables,2687800000.0,99279900000.0,180167000000.0,173078000000.0
Taxes Receivable,935100000.0,626400000.0,647000000.0,832600000.0
Accounts Receivable,288252200000.0,273420800000.0,177180700000.0,203708000000.0
Allowance For Doubtful Accounts Receivable,-5617200000.0,-4794500000.0,-5468400000.0,-1885700000.0
Gross Accounts Receivable,293869400000.0,278215300000.0,182649100000.0,205593700000.0
Cash Cash Equivalents And Short Term Investments,139106000000.0,26496500000.0,35645300000.0,16654300000.0
Other Short Term Investments,134449500000.0,19212000000.0,26145100000.0,10759100000.0
Cash And Cash Equivalents,4656500000.0,7284500000.0,9500200000.0,5895200000.0
Cash Equivalents,925500000.0,2124700000.0,4355600000.0,1643700000.0
Cash Financial,3731000000.0,5159800000.0,5144600000.0,4251500000.0
