,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,152330300000.0,173438100000.0,91317200000.0,63527800000.0
Repurchase Of Capital Stock,0.0,0.0,-27638200000.0,0.0
Repayment Of Debt,-245236600000.0,-265140800000.0,-245044400000.0,-103959300000.0
Issuance Of Debt,283259700000.0,272374300000.0,353619700000.0,336531400000.0
Capital Expenditure,-248185200000.0,-244444200000.0,-233123400000.0,-182304400000.0
End Cash Position,4656500000.0,7284500000.0,9500200000.0,5895200000.0
Beginning Cash Position,6757700000.0,9500200000.0,5895200000.0,3237400000.0
Effect Of Exchange Rate Changes,0.0,0.0,0.0,-300000.0
Changes In Cash,-2101200000.0,-2215700000.0,3605000000.0,2658100000.0
Financing Cash Flow,-141544700000.0,-191715600000.0,-110491100000.0,60042600000.0
Net Other Financing Charges,0.0,0.0,0.0,-6417200000.0
Interest Paid Cff,-148222500000.0,-127328800000.0,-133073700000.0,-133991500000.0
Cash Dividends Paid,-72479100000.0,-71069300000.0,-57784200000.0,-31333700000.0
Common Stock Dividend Paid,0.0,0.0,0.0,-31333700000.0
Net Common Stock Issuance,0.0,0.0,-27638200000.0,0.0
Common Stock Payments,0.0,0.0,-27638200000.0,0.0
Net Issuance Payments Of Debt,81457900000.0,7233500000.0,108575300000.0,232572100000.0
Net Short Term Debt Issuance,43434800000.0,-74341500000.0,-5916100000.0,-8126200000.0
Short Term Debt Payments,0.0,-74341500000.0,-5916100000.0,-8126200000.0
Net Long Term Debt Issuance,38023100000.0,81575000000.0,114491400000.0,240698300000.0
Long Term Debt Payments,-245236600000.0,-190799300000.0,-239128300000.0,-95833100000.0
Long Term Debt Issuance,283259700000.0,272374300000.0,353619700000.0,336531400000.0
Investing Cash Flow,-261072000000.0,-228382400000.0,-210344500000.0,-303216700000.0
Net Other Investing Changes,-11134200000.0,-5458600000.0,-14560200000.0,-407900000.0
Interest Received Cfi,5767400000.0,13257700000.0,41866300000.0,659000000.0
Dividends Received Cfi,69600000.0,90000000.0,90000000.0,48000000.0
Net Investment Purchase And Sale,0.0,2039000000.0,-4999900000.0,-240900000.0
Sale Of Investment,0.0,4999900000.0,0.0,0.0
Purchase Of Investment,-6785000000.0,-2960900000.0,-4999900000.0,-240900000.0
Net Business Purchase And Sale,-8572500000.0,4998700000.0,79100000.0,-122649800000.0
Sale Of Business,0.0,4998700000.0,1266900000.0,0.0
Purchase Of Business,-8572500000.0,0.0,-1187800000.0,-122649800000.0
Net PPE Purchase And Sale,-247202300000.0,-243309200000.0,-232819800000.0,1679300000.0
Sale Of PPE,982900000.0,1135000000.0,303600000.0,1679300000.0
Purchase Of PPE,-248185200000.0,-244444200000.0,-233123400000.0,0.0
Capital Expenditure Reported,0.0,0.0,0.0,-182304400000.0
Operating Cash Flow,400515500000.0,417882300000.0,324440600000.0,245832200000.0
Taxes Refund Paid,-40756500000.0,-20730500000.0,-30682900000.0,-36068700000.0
Change In Working Capital,-66449800000.0,19141000000.0,8286400000.0,-63198000000.0
Change In Payable,34612800000.0,36177300000.0,-242500000.0,15241200000.0
Change In Inventory,-30049800000.0,5386800000.0,20322700000.0,-23096800000.0
Change In Receivables,-71012800000.0,-22423100000.0,-11793800000.0,-55342400000.0
Other Non Cash Items,109994600000.0,76101900000.0,44114900000.0,20643400000.0
Provisionand Write Offof Assets,5289400000.0,99100000.0,8632300000.0,-1013300000.0
Deferred Tax,-926800000.0,3039900000.0,3875000000.0,0.0
Depreciation And Amortization,147922700000.0,137878300000.0,124503100000.0,103561600000.0
Depreciation,147922700000.0,137878300000.0,124503100000.0,103561600000.0
Gain Loss On Investment Securities,-69600000.0,-90000000.0,-90000000.0,-48000000.0
Net Foreign Currency Exchange Gain Loss,8635800000.0,6416900000.0,1153300000.0,2677300000.0
Gain Loss On Sale Of PPE,1367500000.0,1017900000.0,1339100000.0,516000000.0
Gain Loss On Sale Of Business,0.0,0.0,158800000.0,0.0
Net Income From Continuing Operations,243305900000.0,205209100000.0,169989300000.0,222815900000.0
