,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,0.0,0.0,3575000.0,3575000.0
Ordinary Shares Number,76925000.0,76425000.0,76425000.0,76425000.0
Share Issued,76925000.0,76425000.0,80000000.0,80000000.0
Net Debt,0.0,1762060000.0,0.0,0.0
Total Debt,6553690000.0,5782220000.0,984400000.0,713670000.0
Tangible Book Value,23295650000.0,22622350000.0,26641220000.0,22196480000.0
Invested Capital,43935880000.0,38007550000.0,28002890000.0,23908800000.0
Working Capital,15597940000.0,14129700000.0,19005930000.0,13381800000.0
Net Tangible Assets,23295650000.0,22622350000.0,26641220000.0,22196480000.0
Capital Lease Obligations,2268590000.0,1456870000.0,938170000.0,662420000.0
Common Stock Equity,39650780000.0,33682200000.0,27956660000.0,23857550000.0
Total Capitalization,41708370000.0,36482990000.0,28000930000.0,23903770000.0
Total Equity Gross Minority Interest,39650780000.0,33682200000.0,27956660000.0,23857550000.0
Stockholders Equity,39650780000.0,33682200000.0,27956660000.0,23857550000.0
Other Equity Interest,38886530000.0,1144840000.0,470700000.0,290510000.0
Treasury Stock,2435670000.0,0.0,0.0,0.0
Retained Earnings,16607360000.0,13553900000.0,11564420000.0,10087740000.0
Additional Paid In Capital,35750000.0,35750000.0,35750000.0,35750000.0
Capital Stock,764250000.0,764250000.0,764250000.0,764250000.0
Common Stock,764250000.0,764250000.0,764250000.0,764250000.0
Total Liabilities Net Minority Interest,26540670000.0,20458770000.0,8698580000.0,7064140000.0
Total Non Current Liabilities Net Minority Interest,6959600000.0,6249220000.0,1001380000.0,590330000.0
Other Non Current Liabilities,47860000.0,0.0,0.0,361320000.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,245540000.0,240940000.0,182790000.0
Tradeand Other Payables Non Current,2888920000.0,2088600000.0,0.0,0.0
Non Current Deferred Revenue,22960000.0,0.0,0.0,0.0
Long Term Debt And Capital Lease Obligation,3649790000.0,3915080000.0,760440000.0,399580000.0
Long Term Capital Lease Obligation,1592200000.0,1114290000.0,716170000.0,353360000.0
Long Term Debt,2057590000.0,2800790000.0,44270000.0,46220000.0
Long Term Provisions,373030000.0,245540000.0,240940000.0,182790000.0
Current Liabilities,19581070000.0,14209550000.0,7697200000.0,6473810000.0
Other Current Liabilities,2100010000.0,550190000.0,455210000.0,168110000.0
Current Debt And Capital Lease Obligation,2903900000.0,1867140000.0,223960000.0,314090000.0
Current Capital Lease Obligation,676390000.0,342580000.0,222000000.0,309060000.0
Current Debt,2227510000.0,1524560000.0,1960000.0,5030000.0
Pensionand Other Post Retirement Benefit Plans Current,5489280000.0,4094270000.0,2605290000.0,2032160000.0
Current Provisions,4649240000.0,0.0,2477790000.0,1610990000.0
Payables,5983220000.0,6668010000.0,3345040000.0,2807430000.0
Other Payable,3021830000.0,2017640000.0,249750000.0,424130000.0
Dividends Payable,3050000.0,2940000.0,3000000.0,4050000.0
Total Tax Payable,294140000.0,348720000.0,358850000.0,132160000.0
Accounts Payable,5689080000.0,4298710000.0,2733440000.0,2247090000.0
Total Assets,66191450000.0,54140970000.0,36655240000.0,30921690000.0
Total Non Current Assets,31012440000.0,25801720000.0,9952110000.0,11066080000.0
Other Non Current Assets,720780000.0,0.0,0.0,331310000.0
Non Current Prepaid Assets,474990000.0,768580000.0,357090000.0,323690000.0
Non Current Deferred Taxes Assets,1129290000.0,1122720000.0,1037570000.0,960080000.0
Investmentin Financial Assets,5462160000.0,3981490000.0,3647030000.0,4896830000.0
Held To Maturity Securities,3085590000.0,2892740000.0,2643780000.0,2182600000.0
Available For Sale Securities,5462160000.0,252330000.0,196260000.0,539720000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1255280000.0,836420000.0,806990000.0,2174510000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Investmentsin Associatesat Cost,0.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,16355130000.0,11059850000.0,1315440000.0,1661070000.0
Other Intangible Assets,9171420000.0,8269630000.0,1229500000.0,1572130000.0
Goodwill,7183710000.0,2790220000.0,85940000.0,88940000.0
Net PPE,7219540000.0,5347080000.0,3375790000.0,2957590000.0
Accumulated Depreciation,-8004230000.0,-6573490000.0,-5876360000.0,-5412910000.0
Gross PPE,7219540000.0,11920570000.0,9252150000.0,8370500000.0
Construction In Progress,161380000.0,1071200000.0,121810000.0,166180000.0
Other Properties,7058160000.0,0.0,0.0,2791410000.0
Machinery Furniture Equipment,7980910000.0,6245650000.0,5163420000.0,4650740000.0
Buildings And Improvements,5942370000.0,4344600000.0,3707510000.0,3294710000.0
Land And Improvements,1139110000.0,259120000.0,259410000.0,258870000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,35179010000.0,28339250000.0,26703130000.0,19855610000.0
Other Current Assets,3254590000.0,42190000.0,113080000.0,128540000.0
Hedging Assets Current,0.0,84590000.0,294460000.0,0.0
Restricted Cash,1219900000.0,1062000000.0,833280000.0,75150000.0
Prepaid Assets,1237780000.0,16100000.0,71260000.0,13710000.0
Other Receivables,5885890000.0,4656010000.0,3290610000.0,3103620000.0
Taxes Receivable,451710000.0,744870000.0,1343450000.0,1053940000.0
Accounts Receivable,15704640000.0,9484290000.0,5708970000.0,5921960000.0
Allowance For Doubtful Accounts Receivable,-188960000.0,-165780000.0,-271640000.0,-242130000.0
Gross Accounts Receivable,15893600000.0,9650070000.0,5980610000.0,6164090000.0
Cash Cash Equivalents And Short Term Investments,15768070000.0,12249200000.0,15048020000.0,9558690000.0
Other Short Term Investments,11097950000.0,9685910000.0,12783110000.0,7658700000.0
Cash And Cash Equivalents,4670120000.0,2563290000.0,2264910000.0,1899990000.0
Cash Equivalents,0.0,0.0,625790000.0,71470000.0
Cash Financial,4670120000.0,2563290000.0,1639120000.0,1828520000.0
