,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,11011015558.0,11011015558.0,10477682225.0,6737565988.0
Share Issued,11011015558.0,11011015558.0,10477682225.0,6737565988.0
Total Debt,701486200000.0,624533900000.0,555183274000.0,437937300000.0
Tangible Book Value,1028805000000.0,972859600000.0,922092731000.0,637400900000.0
Invested Capital,1730291200000.0,1600353000000.0,1480526599000.0,1076700900000.0
Net Tangible Assets,1028805000000.0,972859600000.0,922092731000.0,637400900000.0
Common Stock Equity,1028805000000.0,975819100000.0,925343325000.0,638763600000.0
Total Capitalization,1730291200000.0,1600353000000.0,1480526599000.0,1076700900000.0
Total Equity Gross Minority Interest,1033398800000.0,980553800000.0,930211216000.0,642370500000.0
Minority Interest,4593800000.0,4734700000.0,4867891000.0,3606900000.0
Stockholders Equity,1028805000000.0,975819100000.0,925343325000.0,638763600000.0
Fixed Assets Revaluation Reserve,84551200000.0,70486200000.0,72004119000.0,47586900000.0
Retained Earnings,32800300000.0,25385400000.0,17381089000.0,-83690800000.0
Additional Paid In Capital,460385300000.0,460385300000.0,443521403000.0,512149200000.0
Capital Stock,22022000000.0,22022000000.0,20955364000.0,13475100000.0
Common Stock,22022000000.0,22022000000.0,20955364000.0,13475100000.0
Total Liabilities Net Minority Interest,13903090600000.0,12412457500000.0,11867039414000.0,7872202000000.0
Long Term Debt And Capital Lease Obligation,701486200000.0,624533900000.0,555183274000.0,437937300000.0
Payables,34511400000.0,27826600000.0,27338959000.0,16538100000.0
Accounts Payable,34511400000.0,27826600000.0,27338959000.0,16538100000.0
Total Assets,14936489400000.0,13393011300000.0,12797250630000.0,8514572500000.0
Investments And Advances,4169138400000.0,3885858200000.0,4043689597000.0,2537824700000.0
Investmentin Financial Assets,4169138400000.0,3850160500000.0,4010926581000.0,2520392800000.0
Available For Sale Securities,24254200000.0,69713500000.0,60538453000.0,113796500000.0
Long Term Equity Investment,46419200000.0,35697700000.0,32763016000.0,17431900000.0
Investmentsin Associatesat Cost,46419200000.0,35697700000.0,32763016000.0,17431900000.0
Goodwill And Other Intangible Assets,1988900000.0,2959500000.0,3250594000.0,1362700000.0
Other Intangible Assets,1988900000.0,2959500000.0,3250594000.0,1362700000.0
Net PPE,120839600000.0,104002700000.0,107236470000.0,143876900000.0
Accumulated Depreciation,-101005300000.0,-93486200000.0,-111414293000.0,-46352900000.0
Gross PPE,219856000000.0,197488900000.0,218650763000.0,117610000000.0
Other Properties,98925600000.0,92429800000.0,111964154000.0,49586200000.0
Machinery Furniture Equipment,0.0,0.0,12830201000.0,6416500000.0
Properties,120930400000.0,105059100000.0,106686609000.0,68023800000.0
Prepaid Assets,131719200000.0,120300500000.0,100013199000.0,35326900000.0
Receivables,127067800000.0,95389000000.0,88704967000.0,59499300000.0
Cash And Cash Equivalents,1573284800000.0,1341938800000.0,1133344292000.0,777557400000.0
Cash Equivalents,233332800000.0,291294800000.0,275000000000.0,200935900000.0
Cash Financial,782135200000.0,35136800000.0,34978582000.0,27621800000.0
