,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,220397100000.0,193959500000.0,4526935000.0,-143320600000.0
Issuance Of Capital Stock,0.0,17930500000.0,37773263000.0,160910000000.0
Capital Expenditure,-5523900000.0,-5363800000.0,-7868387000.0,-15885300000.0
End Cash Position,1573284800000.0,1341938800000.0,1133344291000.0,777557500000.0
Other Cash Adjustment Outside Changein Cash,-100000.0,0.0,297108220000.0,0.0
Beginning Cash Position,1341938800000.0,1133344300000.0,777557500000.0,772959700000.0
Changes In Cash,231346100000.0,208594500000.0,58678571000.0,4597800000.0
Financing Cash Flow,12749800000.0,20315000000.0,54151636000.0,141904100000.0
Net Other Financing Charges,-140900000.0,-133200000.0,1256017000.0,4958600000.0
Interest Paid Cff,-24679400000.0,-22022500000.0,-19928701000.0,-11762000000.0
Cash Dividends Paid,-7047100000.0,0.0,0.0,-300100000.0
Common Stock Dividend Paid,-7047100000.0,0.0,0.0,-300100000.0
Net Common Stock Issuance,0.0,17930500000.0,37773263000.0,160910000000.0
Common Stock Issuance,0.0,17930500000.0,37773263000.0,160910000000.0
Net Issuance Payments Of Debt,44617200000.0,24540200000.0,35051057000.0,-11902400000.0
Net Long Term Debt Issuance,44617200000.0,24540200000.0,35051057000.0,-11902400000.0
Investing Cash Flow,-7324700000.0,-11043800000.0,-7868387000.0,-9871000000.0
Net Other Investing Changes,0.0,-100000.0,0.0,0.0
Dividends Received Cfi,0.0,0.0,0.0,1541400000.0
Net Business Purchase And Sale,-1800800000.0,-5679900000.0,0.0,4472900000.0
Net PPE Purchase And Sale,-5523900000.0,-5363800000.0,-7868387000.0,-15885300000.0
Operating Cash Flow,225921000000.0,199323300000.0,12395322000.0,-127435300000.0
Taxes Refund Paid,-12041500000.0,-16291200000.0,-3143186000.0,-21981100000.0
Change In Working Capital,-42894100000.0,-29707100000.0,-249973415000.0,-272519500000.0
Change In Other Current Liabilities,936200000.0,42864700000.0,-95234583000.0,-5946200000.0
Change In Other Current Assets,11300000000.0,9387400000.0,-64185379000.0,1691400000.0
Other Non Cash Items,24679400000.0,22022500000.0,19928701000.0,11762000000.0
Provisionand Write Offof Assets,178975600000.0,160955900000.0,192519581000.0,146992300000.0
Depreciation And Amortization,9048700000.0,8961700000.0,9822322000.0,6144400000.0
Depreciation,9048700000.0,8961700000.0,9822322000.0,6144400000.0
Gain Loss On Investment Securities,0.0,0.0,0.0,-1541400000.0
Gain Loss On Sale Of PPE,-25800000.0,-144000000.0,127377000.0,-416700000.0
Net Income From Continuing Operations,51405300000.0,47793000000.0,41940004000.0,9021300000.0
