,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,6975452864.0,6975452864.0,6975451120.0,6975451120.0
Share Issued,6975452864.0,6975452864.0,6975451120.0,6975451120.0
Net Debt,1214027300000.0,1320881600000.0,1387231000000.0,1434295200000.0
Total Debt,1266612000000.0,1346956300000.0,1432325000000.0,1482733800000.0
Tangible Book Value,813238300000.0,744689400000.0,681611300000.0,627600700000.0
Invested Capital,2096094100000.0,2109124000000.0,2131464000000.0,2129649900000.0
Working Capital,-136374400000.0,-224534500000.0,-149244400000.0,-228856500000.0
Net Tangible Assets,813238300000.0,744689400000.0,681611300000.0,627600700000.0
Capital Lease Obligations,663000000.0,303600000.0,221700000.0,37400000.0
Common Stock Equity,830145100000.0,762471300000.0,699360700000.0,646953500000.0
Total Capitalization,1969058000000.0,1904465300000.0,1991108600000.0,2001164600000.0
Total Equity Gross Minority Interest,830145100000.0,762471300000.0,699360700000.0,646953500000.0
Stockholders Equity,830145100000.0,762471300000.0,699360700000.0,646953500000.0
Other Equity Interest,760390600000.0,692716800000.0,647044800000.0,0.0
Retained Earnings,40317000000.0,40434600000.0,36670300000.0,34236400000.0
Additional Paid In Capital,78344300000.0,78344300000.0,95782900000.0,95782900000.0
Capital Stock,69754500000.0,69754500000.0,52315900000.0,52315900000.0
Common Stock,69754500000.0,69754500000.0,52315900000.0,52315900000.0
Total Liabilities Net Minority Interest,1672810400000.0,1746963000000.0,1858130500000.0,1919578700000.0
Total Non Current Liabilities Net Minority Interest,1289752300000.0,1298670100000.0,1454456700000.0,1509602700000.0
Other Non Current Liabilities,2003600000.0,48300000.0,1313400000.0,1290300000.0
Non Current Pension And Other Postretirement Benefit Plans,0.0,0.0,0.0,4247100000.0
Tradeand Other Payables Non Current,69300000.0,157000000.0,124800000.0,132900000.0
Non Current Deferred Revenue,2643900000.0,2578800000.0,3227200000.0,2558500000.0
Non Current Deferred Taxes Liabilities,106788700000.0,113569800000.0,118366200000.0,112287800000.0
Long Term Debt And Capital Lease Obligation,1139534600000.0,1142269800000.0,1291929900000.0,1354211100000.0
Long Term Capital Lease Obligation,621700000.0,275800000.0,182000000.0,0.0
Long Term Debt,1138912900000.0,1141994000000.0,1291747900000.0,1354211100000.0
Long Term Provisions,5778700000.0,5171400000.0,4620200000.0,0.0
