,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,1338049100000.0,-61193610000.0,-62939082000.0,21455632000.0
Repayment Of Debt,-1000000000000.0,-3000000000.0,-2000000000.0,-5750000000.0
Issuance Of Debt,0.0,0.0,0.0,7373000000.0
Issuance Of Capital Stock,0.0,46000001000.0,54999999000.0,8870000000.0
Capital Expenditure,-90312500000.0,-1207941000.0,-4462274000.0,-643522000.0
End Cash Position,6296721600000.0,62882242000.0,83394484000.0,95782544000.0
Beginning Cash Position,6288224200000.0,83394484000.0,95782544000.0,66182236000.0
Changes In Cash,8497400000.0,-20512242000.0,-12388060000.0,29600308000.0
Financing Cash Flow,-1331705600000.0,40681368000.0,50551022000.0,8135037000.0
Net Other Financing Charges,-5000000000.0,0.0,0.0,0.0
Interest Paid Cff,-116594200000.0,-2313978000.0,-2444149000.0,-2345897000.0
Cash Dividends Paid,-210111400000.0,0.0,0.0,0.0
Common Stock Dividend Paid,-210111400000.0,0.0,0.0,0.0
Net Common Stock Issuance,0.0,46000001000.0,54999999000.0,8870000000.0
Common Stock Issuance,0.0,46000001000.0,54999999000.0,8870000000.0
Net Issuance Payments Of Debt,-1000000000000.0,-3000000000.0,-2000000000.0,1623000000.0
Net Long Term Debt Issuance,-1000000000000.0,-3000000000.0,-2000000000.0,1623000000.0
Long Term Debt Payments,-1000000000000.0,-3000000000.0,-2000000000.0,-5750000000.0
Long Term Debt Issuance,0.0,0.0,0.0,7373000000.0
Investing Cash Flow,-88158600000.0,-1207941000.0,-4462274000.0,-633883000.0
Net PPE Purchase And Sale,-88158600000.0,-1207941000.0,-4462274000.0,-633883000.0
Sale Of PPE,2153900000.0,0.0,0.0,9639000.0
Purchase Of PPE,-90312500000.0,-1207941000.0,-4462274000.0,-643522000.0
Operating Cash Flow,1428361600000.0,-59985669000.0,-58476808000.0,22099154000.0
Taxes Refund Paid,-149389500000.0,8539541000.0,-2235780000.0,-3624676000.0
Change In Working Capital,-134961200000.0,-85512579000.0,-67418809000.0,11879330000.0
Change In Other Current Liabilities,195216400000.0,-124722000.0,539795000.0,-221459000.0
Change In Other Current Assets,156500000000.0,-7029853000.0,225852000.0,-417099000.0
Other Non Cash Items,116594200000.0,2313978000.0,2444149000.0,2345897000.0
Provisionand Write Offof Assets,136909800000.0,2910359000.0,35049329000.0,21003569000.0
Deferred Tax,0.0,0.0,0.0,0.0
Depreciation And Amortization,148333200000.0,1370904000.0,1021333000.0,539094000.0
Depreciation,148333200000.0,1370904000.0,1021333000.0,539094000.0
Gain Loss On Sale Of PPE,-2153900000.0,1582000.0,95000.0,-9639000.0
Net Income From Continuing Operations,1313029000000.0,10390546000.0,-27329004000.0,-9907983000.0
