,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-196810.0596,-18734.6133,3365644.7851
Tax Rate For Calcs,0.1894,0.1244,0.1972,0.3491
Total Unusual Items,0.0,-1582000.0,-95000.0,9639000.0
Total Unusual Items Excluding Goodwill,0.0,-1582000.0,-95000.0,9639000.0
Net Income From Continuing Operation Net Minority Interest,13130300000.0,10390546000.0,-27329004000.0,-9907983000.0
Reconciled Depreciation,148333200000.0,1370904000.0,1021333000.0,539094000.0
Net Interest Income,29733800000.0,26513148000.0,22619150000.0,20575448000.0
Interest Expense,50193500000.0,44444954000.0,47119993000.0,58719813000.0
Interest Income,79927300000.0,70958102000.0,69739143000.0,79295261000.0
Normalized Income,13130300000.0,10391931189.9403,-27328927734.6133,-9914256355.2148
Net Income From Continuing And Discontinued Operation,13130300000.0,10390546000.0,-27329004000.0,-9907983000.0
Diluted Average Shares,6777800000.0,4060100000.0,765300000.0,628900000.0
Basic Average Shares,6777800000.0,4060100000.0,765300000.0,628900000.0
Diluted EPS,1.94,2.56,-35.71,-15.76
Basic EPS,1.94,2.56,-35.71,-15.76
Diluted NI Availto Com Stockholders,13130300000.0,10390546000.0,-27329004000.0,-9907983000.0
Net Income Common Stockholders,13130300000.0,10390546000.0,-27329004000.0,-9907983000.0
Net Income,13130300000.0,10390546000.0,-27329004000.0,-9907983000.0
Net Income Including Noncontrolling Interests,13130300000.0,10390505000.0,-27329096000.0,-9907952000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,13130300000.0,10390505000.0,-27329096000.0,-9907952000.0
Tax Provision,3068100000.0,1476300000.0,-6713400000.0,-5315600000.0
Pretax Income,16198400000.0,11866805000.0,-34042496000.0,-15223552000.0
Special Income Charges,0.0,-1582000.0,-95000.0,9639000.0
Other Special Charges,-21539000.0,1582000.0,95000.0,-9639000.0
Gain On Sale Of Security,-141781000.0,2706643000.0,4151028000.0,4048278000.0
Operating Expense,18224400000.0,24179929000.0,24660565000.0,19055375000.0
Other Operating Expenses,2780200000.0,5251093000.0,3989556000.0,3836417000.0
Depreciation And Amortization In Income Statement,1483332000.0,1370904000.0,1021333000.0,539094000.0
Depreciation Income Statement,1483332000.0,1370904000.0,1021333000.0,539094000.0
Selling General And Administration,354968000.0,264349000.0,278811000.0,287519000.0
Selling And Marketing Expense,76181000.0,38716000.0,27179000.0,56266000.0
General And Administrative Expense,278787000.0,225633000.0,251632000.0,231253000.0
Insurance And Claims,1370738000.0,1297940000.0,1087933000.0,895463000.0
Rent And Landing Fees,1367262000.0,1459762000.0,1396901000.0,1376175000.0
Total Revenue,39133400000.0,36627116000.0,30633664000.0,27358284000.0
Operating Revenue,39133400000.0,36627116000.0,30633664000.0,27358284000.0
