,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,474960000.0,132090000.0,198730000.0,136580000.0
Repayment Of Debt,0.0,-1125820000.0,-22270000.0,-10850000.0
Issuance Of Debt,0.0,0.0,0.0,867840000.0
Issuance Of Capital Stock,21730000.0,3777890000.0,1110540000.0,0.0
Capital Expenditure,-44220000.0,-35960000.0,-7310000.0,-54780000.0
End Cash Position,999300000.0,340980000.0,537560000.0,209610000.0
Other Cash Adjustment Outside Changein Cash,0.0,188780000.0,0.0,0.0
Beginning Cash Position,340980000.0,537560000.0,209610000.0,396210000.0
Effect Of Exchange Rate Changes,30340000.0,-1080000.0,10350000.0,17630000.0
Changes In Cash,627980000.0,-384280000.0,317600000.0,-204230000.0
Financing Cash Flow,-17010000.0,2399070000.0,928830000.0,727820000.0
Net Other Financing Charges,0.0,3810000.0,370000.0,-20000.0
Interest Paid Cff,-14340000.0,-64080000.0,-69170000.0,-61060000.0
Net Preferred Stock Issuance,0.0,0.0,1110540000.0,0.0
Preferred Stock Issuance,0.0,0.0,1110540000.0,0.0
Net Common Stock Issuance,21730000.0,3777890000.0,0.0,0.0
Common Stock Issuance,21730000.0,3777890000.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,-1125820000.0,-22270000.0,856990000.0
Net Long Term Debt Issuance,0.0,-1125820000.0,-22270000.0,856990000.0
Long Term Debt Payments,0.0,-1125820000.0,-22270000.0,-10850000.0
Long Term Debt Issuance,0.0,0.0,0.0,867840000.0
Investing Cash Flow,125810000.0,-2951400000.0,-817270000.0,-1123410000.0
Net Other Investing Changes,-1610000.0,-29990000.0,0.0,0.0
Interest Received Cfi,182820000.0,28000000.0,2070000.0,2800000.0
Net Investment Purchase And Sale,1353030000.0,-2394200000.0,-812030000.0,-1071720000.0
Sale Of Investment,13011430000.0,928980000.0,0.0,18130000.0
Purchase Of Investment,-11658400000.0,-3323180000.0,-812030000.0,-1089850000.0
Net Business Purchase And Sale,-1366540000.0,-565350000.0,0.0,0.0
Purchase Of Business,-1366540000.0,-565350000.0,0.0,0.0
Net PPE Purchase And Sale,-41890000.0,-34680000.0,-7310000.0,-54490000.0
Sale Of PPE,2330000.0,1280000.0,0.0,290000.0
Purchase Of PPE,-44220000.0,-35960000.0,-7310000.0,-54780000.0
Operating Cash Flow,519180000.0,168050000.0,206040000.0,191360000.0
Taxes Refund Paid,-117530000.0,-33380000.0,-22950000.0,-36610000.0
Change In Working Capital,-332390000.0,-342170000.0,-61980000.0,-256290000.0
Change In Other Current Liabilities,-122090000.0,30940000.0,-54150000.0,-225000000.0
Change In Other Current Assets,156470000.0,-42470000.0,101340000.0,-28000000.0
Change In Payable,-106900000.0,-58520000.0,-141270000.0,121290000.0
Change In Receivables,-264750000.0,-276600000.0,29080000.0,-89650000.0
Other Non Cash Items,-151430000.0,10370000.0,72590000.0,76440000.0
Stock Based Compensation,46940000.0,71280000.0,96400000.0,73180000.0
Provisionand Write Offof Assets,28590000.0,22260000.0,20260000.0,37150000.0
Depreciation And Amortization,358140000.0,300640000.0,358850000.0,426960000.0
Amortization Cash Flow,292000000.0,240990000.0,0.0,0.0
Depreciation,358140000.0,59650000.0,358850000.0,426960000.0
Gain Loss On Investment Securities,-10380000.0,-36430000.0,-31070000.0,-564750000.0
Net Foreign Currency Exchange Gain Loss,-56010000.0,-20000.0,-140000.0,28210000.0
Gain Loss On Sale Of PPE,-980000.0,20000.0,50000.0,-230000.0
Net Income From Continuing Operations,672580000.0,108370000.0,-246280000.0,-177620000.0
