,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-14088079.7268,0.0,-17124000.0
Tax Rate For Calcs,0.4,0.2231,0.3,0.3
Normalized EBITDA,1045830000.0,524480000.0,360490000.0,-141740000.0
Total Unusual Items,0.0,-63140000.0,0.0,480340000.0
Total Unusual Items Excluding Goodwill,0.0,-63140000.0,0.0,-57080000.0
Net Income From Continuing Operation Net Minority Interest,684010000.0,84190000.0,-198630000.0,-201040000.0
Reconciled Depreciation,358140000.0,300640000.0,358850000.0,426960000.0
EBITDA,1045830000.0,461340000.0,360490000.0,338600000.0
EBIT,687690000.0,160700000.0,-31430000.0,-88360000.0
Net Interest Income,-15110000.0,-18230000.0,-84480000.0,-88960000.0
Interest Expense,15110000.0,52330000.0,84480000.0,89260000.0
Interest Income,165770000.0,49440000.0,0.0,9480000.0
Normalized Income,684010000.0,133241920.2731,-198630000.0,376336000.0
Net Income From Continuing And Discontinued Operation,684010000.0,84190000.0,-198630000.0,-201040000.0
Total Expenses,5162910000.0,3551050000.0,3284510000.0,4029350000.0
Rent Expense Supplemental,36790000.0,35590000.0,0.0,74570000.0
Diluted Average Shares,108781818.0,100943811.0,106758112.0,106758112.0
Basic Average Shares,108078612.0,99704395.0,106758112.0,106758112.0
Diluted EPS,6.29,0.83,-2.6766,-1.8831
Basic EPS,6.33,0.84,-2.6766,-1.8831
Diluted NI Availto Com Stockholders,684010000.0,84190000.0,-198630000.0,-201040000.0
Net Income Common Stockholders,684010000.0,84190000.0,-198630000.0,-201040000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,684010000.0,84190000.0,-198630000.0,-201040000.0
Net Income Including Noncontrolling Interests,684010000.0,84190000.0,-198630000.0,-201040000.0
Net Income Continuous Operations,684010000.0,84190000.0,-198630000.0,-201040000.0
Tax Provision,-11430000.0,24180000.0,82720000.0,23420000.0
Pretax Income,672580000.0,108370000.0,-115910000.0,-177620000.0
Other Non Operating Income Expenses,199320000.0,40840000.0,241780000.0,11390000.0
Special Income Charges,0.0,-99570000.0,0.0,-621830000.0
Other Special Charges,-980000.0,6590000.0,0.0,-230000.0
Write Off,110240000.0,80080000.0,0.0,84640000.0
Impairment Of Capital Assets,0.0,12900000.0,0.0,0.0
Net Non Operating Interest Income Expense,-15110000.0,-18230000.0,-84480000.0,-88960000.0
Total Other Finance Cost,19680000.0,15340000.0,0.0,9180000.0
Interest Expense Non Operating,15110000.0,52330000.0,84480000.0,89260000.0
Interest Income Non Operating,165770000.0,49440000.0,0.0,9480000.0
Operating Income,488370000.0,114860000.0,-273210000.0,-42210000.0
Operating Expense,5162910000.0,3551050000.0,3284510000.0,4029350000.0
Other Operating Expenses,2277210000.0,581430000.0,1267600000.0,827410000.0
Depreciation And Amortization In Income Statement,358140000.0,300640000.0,391920000.0,426950000.0
Amortization,292000000.0,240990000.0,0.0,259410000.0
Depreciation Income Statement,358140000.0,59650000.0,391920000.0,167540000.0
Research And Development,0.0,0.0,0.0,25330000.0
Selling General And Administration,1074350000.0,566000000.0,0.0,274660000.0
Selling And Marketing Expense,266000000.0,173800000.0,0.0,65050000.0
General And Administrative Expense,808350000.0,392200000.0,0.0,209610000.0
Rent And Landing Fees,36790000.0,35590000.0,0.0,74570000.0
Total Revenue,5651280000.0,3665910000.0,3011300000.0,3987140000.0
Operating Revenue,5651280000.0,3665910000.0,3011300000.0,3987140000.0
