,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,-588483.2087,-4501586.6646,46963.4638
Tax Rate For Calcs,0.2469,0.1954,0.2550,0.3307
Total Unusual Items,0.0,-3011000.0,-17648000.0,142000.0
Total Unusual Items Excluding Goodwill,0.0,-3011000.0,-17648000.0,142000.0
Net Income From Continuing Operation Net Minority Interest,9195400000.0,-1661470000.0,5294677000.0,5001821000.0
Reconciled Depreciation,2130900000.0,1801621000.0,1696089000.0,1458692000.0
Net Interest Income,48709400000.0,42966142000.0,41364151000.0,38939165000.0
Interest Expense,46786200000.0,41482436000.0,44249850000.0,48847380000.0
Interest Income,95495600000.0,84448578000.0,85614001000.0,87786545000.0
Normalized Income,9195400000.0,-1659047483.2087,5307823413.3353,5001725963.4638
Net Income From Continuing And Discontinued Operation,9195400000.0,-1661470000.0,5294677000.0,5001821000.0
Diluted Average Shares,599439374.0,599819495.0,547060678.0,455409508.0
Basic Average Shares,599439374.0,599819495.0,542966844.0,453043538.0
Diluted EPS,15.34,-2.77,9.68,10.98
Basic EPS,15.34,-2.77,9.75,11.04
Diluted NI Availto Com Stockholders,9195400000.0,-1661470000.0,5294677000.0,5001821000.0
Net Income Common Stockholders,9195400000.0,-1661470000.0,5294677000.0,5001821000.0
Net Income,9195400000.0,-1661470000.0,5294677000.0,5001821000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,9195400000.0,-1661437000.0,5294677000.0,5001799000.0
Net Income Extraordinary,0.0,0.0,0.0,0.0
Net Income Continuous Operations,9195400000.0,-1661437000.0,5294677000.0,5001799000.0
Tax Provision,3016100000.0,-403600000.0,1813000000.0,2471700000.0
Pretax Income,12211500000.0,-2065037000.0,7107677000.0,7473499000.0
Special Income Charges,0.0,-3011000.0,-17648000.0,142000.0
Other Special Charges,0.0,3011000.0,17648000.0,-142000.0
Gain On Sale Of Security,0.0,2491821000.0,2872687000.0,1595297000.0
Operating Expense,51347700000.0,40024216000.0,30724817000.0,30757136000.0
Other Operating Expenses,34813000000.0,20851101000.0,14271880000.0,16530587000.0
Depreciation And Amortization In Income Statement,0.0,1801621000.0,1696089000.0,1458692000.0
Depreciation Income Statement,0.0,1801621000.0,1696089000.0,1458692000.0
Selling General And Administration,0.0,675950000.0,450925000.0,423957000.0
Selling And Marketing Expense,0.0,414010000.0,234718000.0,267302000.0
General And Administrative Expense,0.0,261940000.0,216207000.0,156655000.0
Insurance And Claims,0.0,1160790000.0,910200000.0,764407000.0
Rent And Landing Fees,0.0,2399422000.0,2147073000.0,1885490000.0
Total Revenue,73778600000.0,65999790000.0,61695178000.0,58255593000.0
Operating Revenue,73778600000.0,65999790000.0,61695178000.0,58255593000.0
