,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Ordinary Shares Number,6766094014.0,6765994014.0,6762068814.0,6399357426.0
Share Issued,6766094014.0,6765994014.0,6762068814.0,6399357426.0
Net Debt,2400000000000.0,2327960000000.0,2373050000000.0,3104910000000.0
Total Debt,3351340000000.0,2819740000000.0,2601250000000.0,3449910000000.0
Tangible Book Value,4919100000000.0,5476870000000.0,5551980000000.0,3065840000000.0
Invested Capital,11358610000000.0,10457900000000.0,9519830000000.0,7896260000000.0
Working Capital,454440000000.0,383570000000.0,954430000000.0,-1546560000000.0
Net Tangible Assets,4919100000000.0,5476870000000.0,5551980000000.0,3065840000000.0
Capital Lease Obligations,204260000000.0,156690000000.0,83140000000.0,86970000000.0
Common Stock Equity,8211530000000.0,7794850000000.0,7001720000000.0,4533320000000.0
Total Capitalization,10043290000000.0,9671840000000.0,8638550000000.0,6509630000000.0
Total Equity Gross Minority Interest,9341620000000.0,8889840000000.0,7994320000000.0,4613480000000.0
Minority Interest,1130090000000.0,1094990000000.0,992600000000.0,80160000000.0
Stockholders Equity,8211530000000.0,7794850000000.0,7001720000000.0,4533320000000.0
Other Equity Interest,8143870000000.0,4340000000.0,405800000000.0,41850000000.0
Retained Earnings,0.0,2479510000000.0,1960590000000.0,329720000000.0
Additional Paid In Capital,0.0,1148460000000.0,745580000000.0,614450000000.0
Capital Stock,67660000000.0,67650000000.0,64450000000.0,63390000000.0
Common Stock,67660000000.0,67650000000.0,64450000000.0,63390000000.0
Total Liabilities Net Minority Interest,7793440000000.0,6106810000000.0,5217800000000.0,7045670000000.0
Total Non Current Liabilities Net Minority Interest,3828100000000.0,3020190000000.0,2442120000000.0,2916510000000.0
Other Non Current Liabilities,1137660000000.0,377920000000.0,193390000000.0,193030000000.0
Tradeand Other Payables Non Current,0.0,120240000000.0,0.0,0.0
Non Current Deferred Taxes Liabilities,603270000000.0,496440000000.0,370010000000.0,541230000000.0
Long Term Debt And Capital Lease Obligation,1994060000000.0,2007060000000.0,1706310000000.0,2051470000000.0
Long Term Capital Lease Obligation,162300000000.0,130070000000.0,69480000000.0,75160000000.0
Long Term Debt,1831760000000.0,1876990000000.0,1636830000000.0,1976310000000.0
Long Term Provisions,16070000000.0,18530000000.0,26250000000.0,17900000000.0
Current Liabilities,3965340000000.0,3086620000000.0,2775680000000.0,4129160000000.0
Other Current Liabilities,429310000000.0,215840000000.0,330340000000.0,0.0
Current Debt And Capital Lease Obligation,1357280000000.0,812680000000.0,894940000000.0,1398440000000.0
Current Capital Lease Obligation,41960000000.0,26620000000.0,13660000000.0,11810000000.0
Current Debt,1315320000000.0,786060000000.0,881280000000.0,1386630000000.0
Current Provisions,21800000000.0,19360000000.0,25040000000.0,18900000000.0
Payables,1471780000000.0,2232840000000.0,1695450000000.0,2064890000000.0
Other Payable,0.0,637520000000.0,604400000000.0,1094710000000.0
Dividends Payable,0.0,2020000000.0,2080000000.0,2190000000.0
Accounts Payable,1471780000000.0,1593300000000.0,1088970000000.0,967990000000.0
Total Assets,17135060000000.0,14996650000000.0,13212120000000.0,11659150000000.0
Total Non Current Assets,12715280000000.0,11526460000000.0,9482010000000.0,9076550000000.0
